instanceID	dataIDs	label_set	non_label
pair_0_(Isaiah 41:10)	666_(Isaiah 41:10),691_(Isaiah 41:10)	1,2,3,4	-
pair_1_(Isaiah 41:10)	676_(Isaiah 41:10),692_(Isaiah 41:10)	1,2,3,4	-
pair_2_(Isaiah 41:10)	669_(Isaiah 41:10),684_(Isaiah 41:10)	1,2,3,4	-
pair_3_(Isaiah 41:10)	665_(Isaiah 41:10),675_(Isaiah 41:10)	1,2,3,4	-
pair_4_(Isaiah 41:10)	663_(Isaiah 41:10),685_(Isaiah 41:10)	1,2,3,4	-
pair_5_(Isaiah 41:10)	683_(Isaiah 41:10),688_(Isaiah 41:10)	1,2,3,4	-
pair_6_(Isaiah 41:10)	680_(Isaiah 41:10),681_(Isaiah 41:10)	1,2,3,4	-
pair_7_(Isaiah 41:10)	679_(Isaiah 41:10),691_(Isaiah 41:10)	1,2,3,4	-
pair_8_(Isaiah 41:10)	673_(Isaiah 41:10),687_(Isaiah 41:10)	1,2,3,4	-
pair_9_(Isaiah 41:10)	663_(Isaiah 41:10),666_(Isaiah 41:10)	1,2,3,4	-
pair_10_(Isaiah 41:10)	672_(Isaiah 41:10),679_(Isaiah 41:10)	1,2,3,4	-
pair_11_(Isaiah 41:10)	665_(Isaiah 41:10),672_(Isaiah 41:10)	1,2,3,4	-
pair_12_(Isaiah 41:10)	688_(Isaiah 41:10),692_(Isaiah 41:10)	1,2,3,4	-
pair_13_(Isaiah 41:10)	688_(Isaiah 41:10),691_(Isaiah 41:10)	1,2,3,4	-
pair_14_(Isaiah 41:10)	678_(Isaiah 41:10),679_(Isaiah 41:10)	1,2,3,4	-
pair_15_(Isaiah 41:10)	678_(Isaiah 41:10),685_(Isaiah 41:10)	1,2,3,4	-
pair_16_(Isaiah 41:10)	665_(Isaiah 41:10),683_(Isaiah 41:10)	1,2,3,4	-
pair_17_(Isaiah 41:10)	664_(Isaiah 41:10),668_(Isaiah 41:10)	1,2,3,4	-
pair_18_(Isaiah 41:10)	666_(Isaiah 41:10),690_(Isaiah 41:10)	1,2,3,4	-
pair_19_(Isaiah 41:10)	676_(Isaiah 41:10),687_(Isaiah 41:10)	1,2,3,4	-
pair_20_(Isaiah 41:10)	663_(Isaiah 41:10),668_(Isaiah 41:10)	1,2,3,4	-
pair_21_(Isaiah 41:10)	663_(Isaiah 41:10),686_(Isaiah 41:10)	1,2,3,4	-
pair_22_(Isaiah 41:10)	664_(Isaiah 41:10),689_(Isaiah 41:10)	1,2,3,4	-
pair_23_(Isaiah 41:10)	668_(Isaiah 41:10),677_(Isaiah 41:10)	1,2,3,4	-
pair_24_(Isaiah 41:10)	677_(Isaiah 41:10),692_(Isaiah 41:10)	1,2,3,4	-
pair_25_(Isaiah 41:10)	671_(Isaiah 41:10),687_(Isaiah 41:10)	1,2,3,4	-
pair_26_(Isaiah 41:10)	675_(Isaiah 41:10),686_(Isaiah 41:10)	1,2,3,4	-
pair_27_(Isaiah 41:10)	667_(Isaiah 41:10),671_(Isaiah 41:10)	1,2,3,4	-
pair_28_(Isaiah 41:10)	671_(Isaiah 41:10),682_(Isaiah 41:10)	1,2,3,4	-
pair_29_(Isaiah 41:10)	679_(Isaiah 41:10),681_(Isaiah 41:10)	1,2,3,4	-
pair_30_(Isaiah 41:10)	665_(Isaiah 41:10),682_(Isaiah 41:10)	1,2,3,4	-
pair_31_(Isaiah 41:10)	666_(Isaiah 41:10),671_(Isaiah 41:10)	1,2,3,4	-
pair_32_(Isaiah 41:10)	687_(Isaiah 41:10),692_(Isaiah 41:10)	1,2,3,4	-
pair_33_(Isaiah 41:10)	679_(Isaiah 41:10),692_(Isaiah 41:10)	1,2,3,4	-
pair_34_(Isaiah 41:10)	684_(Isaiah 41:10),690_(Isaiah 41:10)	1,2,3,4	-
pair_35_(Isaiah 41:10)	672_(Isaiah 41:10),685_(Isaiah 41:10)	1,2,3,4	-
pair_36_(Isaiah 41:10)	670_(Isaiah 41:10),671_(Isaiah 41:10)	1,2,3,4	-
pair_37_(Isaiah 41:10)	680_(Isaiah 41:10),691_(Isaiah 41:10)	1,2,3,4	-
pair_38_(Isaiah 41:10)	674_(Isaiah 41:10),679_(Isaiah 41:10)	1,2,3,4	-
pair_39_(Isaiah 41:10)	680_(Isaiah 41:10),688_(Isaiah 41:10)	1,2,3,4	-
pair_40_(Isaiah 41:10)	682_(Isaiah 41:10),687_(Isaiah 41:10)	1,2,3,4	-
pair_41_(Isaiah 41:10)	665_(Isaiah 41:10),679_(Isaiah 41:10)	1,2,3,4	-
pair_42_(Isaiah 41:10)	687_(Isaiah 41:10),688_(Isaiah 41:10)	1,2,3,4	-
pair_43_(Isaiah 41:10)	666_(Isaiah 41:10),689_(Isaiah 41:10)	1,2,3,4	-
pair_44_(Isaiah 41:10)	668_(Isaiah 41:10),686_(Isaiah 41:10)	1,2,3,4	-
pair_45_(Isaiah 41:10)	668_(Isaiah 41:10),678_(Isaiah 41:10)	1,2,3,4	-
pair_46_(Isaiah 41:10)	686_(Isaiah 41:10),691_(Isaiah 41:10)	1,2,3,4	-
pair_47_(Isaiah 41:10)	672_(Isaiah 41:10),688_(Isaiah 41:10)	1,2,3,4	-
pair_48_(Isaiah 41:10)	681_(Isaiah 41:10),685_(Isaiah 41:10)	1,2,3,4	-
pair_49_(Isaiah 41:10)	674_(Isaiah 41:10),689_(Isaiah 41:10)	1,2,3,4	-
pair_50_(Isaiah 41:10)	673_(Isaiah 41:10),692_(Isaiah 41:10)	1,2,3,4	-
pair_51_(Isaiah 41:10)	676_(Isaiah 41:10),678_(Isaiah 41:10)	1,2,3,4	-
pair_52_(Isaiah 41:10)	668_(Isaiah 41:10),670_(Isaiah 41:10)	1,2,3,4	-
pair_53_(Isaiah 41:10)	666_(Isaiah 41:10),688_(Isaiah 41:10)	1,2,3,4	-
pair_54_(Isaiah 41:10)	668_(Isaiah 41:10),671_(Isaiah 41:10)	1,2,3,4	-
pair_55_(Isaiah 41:10)	665_(Isaiah 41:10),681_(Isaiah 41:10)	1,2,3,4	-
pair_56_(Isaiah 41:10)	667_(Isaiah 41:10),684_(Isaiah 41:10)	1,2,3,4	-
pair_57_(Isaiah 41:10)	683_(Isaiah 41:10),684_(Isaiah 41:10)	1,2,3,4	-
pair_58_(Isaiah 41:10)	681_(Isaiah 41:10),684_(Isaiah 41:10)	1,2,3,4	-
pair_59_(Isaiah 41:10)	677_(Isaiah 41:10),687_(Isaiah 41:10)	1,2,3,4	-
pair_60_(Isaiah 41:10)	669_(Isaiah 41:10),689_(Isaiah 41:10)	1,2,3,4	-
pair_61_(Isaiah 41:10)	675_(Isaiah 41:10),684_(Isaiah 41:10)	1,2,3,4	-
pair_62_(Isaiah 41:10)	674_(Isaiah 41:10),690_(Isaiah 41:10)	1,2,3,4	-
pair_63_(Isaiah 41:10)	671_(Isaiah 41:10),671_(Isaiah 41:10)	1,2,3,4	-
pair_64_(Isaiah 41:10)	670_(Isaiah 41:10),683_(Isaiah 41:10)	1,2,3,4	-
pair_65_(Isaiah 41:10)	676_(Isaiah 41:10),685_(Isaiah 41:10)	1,2,3,4	-
pair_66_(Isaiah 41:10)	664_(Isaiah 41:10),666_(Isaiah 41:10)	1,2,3,4	-
pair_67_(Isaiah 41:10)	677_(Isaiah 41:10),688_(Isaiah 41:10)	1,2,3,4	-
pair_68_(Isaiah 41:10)	683_(Isaiah 41:10),692_(Isaiah 41:10)	1,2,3,4	-
pair_69_(Isaiah 41:10)	663_(Isaiah 41:10),676_(Isaiah 41:10)	1,2,3,4	-
