dataID	context	indices_target_token	indices_target_sentence	lemma
693_(John 8:32)	Ever since #Jesus said "the truth will set you free", each and everyone misuses that word to manipulate never to come freedoms of their own.	24:51	0:140	the truth will set you free
694_(John 8:32)	The world can twist & shout lies but we Believers in Christ know the real truth that sets us free! "And you will know the truth, and the truth will set you free."	133:160	0:162	the truth will set you free
695_(John 8:32)	It's illogical to attempt to reconcile the truth with every man and his dog's beliefs. Seek the truth. "Then you will know the truth, and the truth will set you free."	138:165	0:167	the truth will set you free
696_(John 8:32)	just found out the CIA's unofficial motto is: "Then you will know the truth, and the truth will set you free." Ironically enough, the CIA have, in recent years, revealed the truth. (In their declassified & leaked documents that show the truth of their imperialism)	81:108	0:264	the truth will set you free
697_(John 8:32)	The true patriots aren't politicians or their loyalists, but "We The People" who defend the ideals espoused in Declaration of Independence and #Constitution by seeking, spreading, and defending TRUTH."... and you will know the truth, and the truth will set you free."	238:265	0:267	the truth will set you free
698_(John 8:32)	Whether I'm told I'm beautiful or I'm told I'm hideous, I can take it to the feet of Jesus and rest in what He's already said about me. His Word is freeing. "You will know the truth and it will set you free."	158:206	0:208	the truth will set you free
699_(John 8:32)	A testimony a day to keep the pride at bay 🙏 Don't count out God's salvation ✝ and love 🙌 💗 She is detransitioning back to her God given gender. Praise Jesus 🙌 Jesus said: "Then you will know the truth, and the truth will set you free."	207:234	0:236	the truth will set you free
700_(John 8:32)	you will know the truth, and the truth will set you free. This is a wonderful promise that can be taken seriously.	29:56	0:114	the truth will set you free
701_(John 8:32)	"Ye will know the truth, and the truth will set you free." Thank God Nigeria isn't in the wrong hands of bigot.	29:56	0:111	the truth will set you free
702_(John 8:32)	This is one of the reasons why the So-called Black community is the way it is. We Hate The #TRUTH. Don't you know that the #Truth will set you free. The Bible is so-called Black, Hispanic, and Native American History book	123:147	0:221	the truth will set you free
703_(John 8:32)	A lie can never be the truth, no matter how many times it's repeated. Only the truth will dispel the darkness around it. Become an explosion of truth, wherever you are. Expose the darkness with the light of God's truth." And ye you will know the truth, and the truth will set you free."	257:284	0:286	the truth will set you free
704_(John 8:32)	Don't feel sad. Subject every claim to facts and figures. The Bible says"And you will know the truth, and the truth will set you free." Stick to the truth.	106:133	0:155	the truth will set you free
705_(John 8:32)	"And you shall know the truth, and the truth shall make you free." Looks like more members of Congress are seeing J6 for what it was. A peaceful and patriotic election justice rally, to give McCarthy and Pence the courage needed to exercise their 12th Amendment duties and remedy the constitutional violations by the states!	1:64	0:324	the truth will set you free
706_(John 8:32)	If you are a #True follower of #Christ, know that some that you once called #Brother/#Sister will betray you in these last days. #Truth will set you free. The Bible is so-called Black, Hispanic, and Native American History book	129:153	0:227	the truth will set you free
707_(John 8:32)	"The truth will set you free"If it's forced on you it's not the truth. But most don't want freedom, as Arendt said: "One pays for liberation [...] This humanity ... has never yet survived the hour of liberation, of freedom, by so much as a minute"	1:28	0:247	the truth will set you free
708_(John 8:32)	If you knew the meaning of love u would not cover it with lies you would speak the truth. God hates the deeds not the person. John 8:32 says "And you will know the truth, and the truth will set you free."#Speaktruthnotlies . Love speaks truth	175:202	0:242	the truth will set you free
709_(John 8:32)	Lord. I am so blessed. You made me free from sin, fear and death. Now I'm in your presence with a heart full of joy. Thank you so much Lord. The truth will set you free.	141:168	0:169	the truth will set you free
710_(John 8:32)	Jesus is the reason we have freedom. Unfortunately, Christians do not understand how to walk in it... It takes making a decision to walk and live the word of God. And ye will know the truth, and the truth will set you free.	195:222	0:223	the truth will set you free
711_(John 8:32)	"And you will know the truth, and the truth will set you free." Praise the lord. We will all be free from centuries of unjust cruel brutal subjugation	34:61	0:150	the truth will set you free
712_(John 8:32)	In the midst of all deceptions and fake news, it is critical to know the TRUTH that will set us all to godly FREEDOM. Our Father promised thru His Son, "and you will know the truth, and the truth will set you free."	186:213	0:215	the truth will set you free
713_(John 8:32)	From the Holy Bible:"The truth will set you free." But I think this is so funny:	21:48	0:80	the truth will set you free
714_(John 8:32)	Telling and knowing the truth itself is a virtue that we need to have as humans. Jesus says "And you will know the truth, and the truth will set you free"	126:153	0:154	the truth will set you free
715_(John 8:32)	Only you and your Creator know if you are; "And you will know the truth, and the truth will set you free."	77:104	0:106	the truth will set you free
716_(John 8:32)	Free will is unforced choice. We must distinguish free will and Christian freedom. You will know the truth and the truth will set you free.	111:138	0:139	the truth will set you free
717_(John 8:32)	you will know the truth, and the truth will set you free. There is a significant difference between truth and facts - I am talking about the truth as revealed in the person of Jesus Christ and written in the scriptures. Facts are information presented as reality, but they may not be from scripture: biblical truth is eternal, but facts are temporal; biblical truth is absolute, but facts are changing; biblical truth is always true, but facts may not be true. As a believer in Jesus, biblical truth will change your life and set you free.	29:56	0:539	the truth will set you free
718_(John 8:32)	Ignorance isn't bliss, it's bondage. ⛓ "And you will know the truth and the truth will set you free." ☀ 	72:99	0:104	the truth will set you free
719_(John 8:32)	It says in John 8:32, "The truth will set you free." Tell the truth brother and be freed from the shackles of that football franchise.	23:50	0:134	the truth will set you free
720_(John 8:32)	There is no darkness in Christ Jesus! The true winner of the presidential elections is our president. Only the truth will set you free. No shaking.	107:134	0:147	the truth will set you free
721_(John 8:32)	👉 Brother Jamal, may God bless you 🙏 Those who stand for the truth have their value from the Creator.... "The truth will set you free."  As an Amhara, my admiration for you is unparalleled. Thank you, brother 🙏	106:133	0:210	the truth will set you free
