instanceID	dataIDs	label_set	non_label
pair_0_(Leviticus 20:13)	302_(Leviticus 20:13),323_(Leviticus 20:13)	1,2,3,4	-
pair_1_(Leviticus 20:13)	322_(Leviticus 20:13),327_(Leviticus 20:13)	1,2,3,4	-
pair_2_(Leviticus 20:13)	312_(Leviticus 20:13),324_(Leviticus 20:13)	1,2,3,4	-
pair_3_(Leviticus 20:13)	311_(Leviticus 20:13),313_(Leviticus 20:13)	1,2,3,4	-
pair_4_(Leviticus 20:13)	295_(Leviticus 20:13),306_(Leviticus 20:13)	1,2,3,4	-
pair_5_(Leviticus 20:13)	304_(Leviticus 20:13),318_(Leviticus 20:13)	1,2,3,4	-
pair_6_(Leviticus 20:13)	297_(Leviticus 20:13),298_(Leviticus 20:13)	1,2,3,4	-
pair_7_(Leviticus 20:13)	306_(Leviticus 20:13),324_(Leviticus 20:13)	1,2,3,4	-
pair_8_(Leviticus 20:13)	296_(Leviticus 20:13),303_(Leviticus 20:13)	1,2,3,4	-
pair_9_(Leviticus 20:13)	306_(Leviticus 20:13),316_(Leviticus 20:13)	1,2,3,4	-
pair_10_(Leviticus 20:13)	312_(Leviticus 20:13),318_(Leviticus 20:13)	1,2,3,4	-
pair_11_(Leviticus 20:13)	306_(Leviticus 20:13),308_(Leviticus 20:13)	1,2,3,4	-
pair_12_(Leviticus 20:13)	297_(Leviticus 20:13),310_(Leviticus 20:13)	1,2,3,4	-
pair_13_(Leviticus 20:13)	302_(Leviticus 20:13),308_(Leviticus 20:13)	1,2,3,4	-
pair_14_(Leviticus 20:13)	298_(Leviticus 20:13),303_(Leviticus 20:13)	1,2,3,4	-
pair_15_(Leviticus 20:13)	315_(Leviticus 20:13),326_(Leviticus 20:13)	1,2,3,4	-
pair_16_(Leviticus 20:13)	300_(Leviticus 20:13),312_(Leviticus 20:13)	1,2,3,4	-
pair_17_(Leviticus 20:13)	302_(Leviticus 20:13),307_(Leviticus 20:13)	1,2,3,4	-
pair_18_(Leviticus 20:13)	326_(Leviticus 20:13),327_(Leviticus 20:13)	1,2,3,4	-
pair_19_(Leviticus 20:13)	295_(Leviticus 20:13),322_(Leviticus 20:13)	1,2,3,4	-
pair_20_(Leviticus 20:13)	321_(Leviticus 20:13),322_(Leviticus 20:13)	1,2,3,4	-
pair_21_(Leviticus 20:13)	297_(Leviticus 20:13),301_(Leviticus 20:13)	1,2,3,4	-
pair_22_(Leviticus 20:13)	312_(Leviticus 20:13),323_(Leviticus 20:13)	1,2,3,4	-
pair_23_(Leviticus 20:13)	304_(Leviticus 20:13),319_(Leviticus 20:13)	1,2,3,4	-
pair_24_(Leviticus 20:13)	319_(Leviticus 20:13),321_(Leviticus 20:13)	1,2,3,4	-
pair_25_(Leviticus 20:13)	297_(Leviticus 20:13),300_(Leviticus 20:13)	1,2,3,4	-
pair_26_(Leviticus 20:13)	308_(Leviticus 20:13),319_(Leviticus 20:13)	1,2,3,4	-
pair_27_(Leviticus 20:13)	306_(Leviticus 20:13),314_(Leviticus 20:13)	1,2,3,4	-
pair_28_(Leviticus 20:13)	306_(Leviticus 20:13),309_(Leviticus 20:13)	1,2,3,4	-
pair_29_(Leviticus 20:13)	317_(Leviticus 20:13),325_(Leviticus 20:13)	1,2,3,4	-
pair_30_(Leviticus 20:13)	306_(Leviticus 20:13),320_(Leviticus 20:13)	1,2,3,4	-
pair_31_(Leviticus 20:13)	313_(Leviticus 20:13),318_(Leviticus 20:13)	1,2,3,4	-
pair_32_(Leviticus 20:13)	312_(Leviticus 20:13),326_(Leviticus 20:13)	1,2,3,4	-
pair_33_(Leviticus 20:13)	315_(Leviticus 20:13),320_(Leviticus 20:13)	1,2,3,4	-
pair_34_(Leviticus 20:13)	324_(Leviticus 20:13),327_(Leviticus 20:13)	1,2,3,4	-
pair_35_(Leviticus 20:13)	312_(Leviticus 20:13),321_(Leviticus 20:13)	1,2,3,4	-
