instanceID	dataIDs	label_set	non_label
pair_0_(Proverbs 12:25)	818_(Proverbs 12:25),840_(Proverbs 12:25)	1,2,3,4	-
pair_1_(Proverbs 12:25)	830_(Proverbs 12:25),831_(Proverbs 12:25)	1,2,3,4	-
pair_2_(Proverbs 12:25)	812_(Proverbs 12:25),837_(Proverbs 12:25)	1,2,3,4	-
pair_3_(Proverbs 12:25)	822_(Proverbs 12:25),836_(Proverbs 12:25)	1,2,3,4	-
pair_4_(Proverbs 12:25)	813_(Proverbs 12:25),829_(Proverbs 12:25)	1,2,3,4	-
pair_5_(Proverbs 12:25)	817_(Proverbs 12:25),820_(Proverbs 12:25)	1,2,3,4	-
pair_6_(Proverbs 12:25)	825_(Proverbs 12:25),838_(Proverbs 12:25)	1,2,3,4	-
pair_7_(Proverbs 12:25)	815_(Proverbs 12:25),837_(Proverbs 12:25)	1,2,3,4	-
pair_8_(Proverbs 12:25)	823_(Proverbs 12:25),832_(Proverbs 12:25)	1,2,3,4	-
pair_9_(Proverbs 12:25)	816_(Proverbs 12:25),828_(Proverbs 12:25)	1,2,3,4	-
pair_10_(Proverbs 12:25)	831_(Proverbs 12:25),834_(Proverbs 12:25)	1,2,3,4	-
pair_11_(Proverbs 12:25)	812_(Proverbs 12:25),835_(Proverbs 12:25)	1,2,3,4	-
pair_12_(Proverbs 12:25)	813_(Proverbs 12:25),821_(Proverbs 12:25)	1,2,3,4	-
pair_13_(Proverbs 12:25)	813_(Proverbs 12:25),831_(Proverbs 12:25)	1,2,3,4	-
pair_14_(Proverbs 12:25)	840_(Proverbs 12:25),840_(Proverbs 12:25)	1,2,3,4	-
pair_15_(Proverbs 12:25)	813_(Proverbs 12:25),824_(Proverbs 12:25)	1,2,3,4	-
pair_16_(Proverbs 12:25)	825_(Proverbs 12:25),840_(Proverbs 12:25)	1,2,3,4	-
pair_17_(Proverbs 12:25)	814_(Proverbs 12:25),817_(Proverbs 12:25)	1,2,3,4	-
pair_18_(Proverbs 12:25)	829_(Proverbs 12:25),838_(Proverbs 12:25)	1,2,3,4	-
pair_19_(Proverbs 12:25)	825_(Proverbs 12:25),832_(Proverbs 12:25)	1,2,3,4	-
pair_20_(Proverbs 12:25)	821_(Proverbs 12:25),825_(Proverbs 12:25)	1,2,3,4	-
pair_21_(Proverbs 12:25)	824_(Proverbs 12:25),834_(Proverbs 12:25)	1,2,3,4	-
pair_22_(Proverbs 12:25)	818_(Proverbs 12:25),837_(Proverbs 12:25)	1,2,3,4	-
pair_23_(Proverbs 12:25)	825_(Proverbs 12:25),834_(Proverbs 12:25)	1,2,3,4	-
pair_24_(Proverbs 12:25)	823_(Proverbs 12:25),835_(Proverbs 12:25)	1,2,3,4	-
pair_25_(Proverbs 12:25)	817_(Proverbs 12:25),819_(Proverbs 12:25)	1,2,3,4	-
