dataID	context	indices_target_token	indices_target_sentence	lemma
633_(Romans 12:10)	"Love one another with brotherly affection. Outdo one another in showing honor." I was recently blocked by a self-professing Christian (who is all about Christian Nationalism in the Stephen Wolfe sense) by saying affection was Biblical.	1:42	0:236	Love one another with brotherly affection
634_(Romans 12:10)	Goodmorning! We have opportunities to show love. Recognize them. Take them. "Love one another with brotherly affection. Outdo one another in showing honor. Do not be slothful in zeal, be fervent in spirit, serve the Lord."	77:118	0:222	Love one another with brotherly affection
635_(Romans 12:10)	Just because you are allergic to affection does not mean the Bible is. "Love one another with brotherly affection. Outdo one another in showing honor."	72:113	0:151	Love one another with brotherly affection
636_(Romans 12:10)	here's some more since you claim to spread the word of the bible yet don't know the bible tells you to love regardless: Love one another with brotherly affection. Outdo one another in showing honor.	120:161	0:198	Love one another with brotherly affection
637_(Romans 12:10)	Love one another with brotherly affection. Outdo one another in showing honor. If am not the antichrist who will be the Christ because you all are afraid of imaginary devils and real gods on earth your heart	0:41	0:207	Love one another with brotherly affection
638_(Romans 12:10)	Love one another with brotherly affection. Outdo one another in showing honor. Never be lacking in zeal (enthusiasm for God), but keep your spiritual fervor (passion), serving the Lord. Be joyful in hope, patient in affliction (suffering), faithful in prayer. 	0:41	0:260	Love one another with brotherly affection
639_(Romans 12:10)	A powerful example of what koinonia should look like can be found in a study of the phrase 'one another' in the Bible. Scripture commands us to love one another with brotherly affection(Romans 12:10), honor one another (Romans 12:10), live in harmony with one another 	144:185	0:268	Love one another with brotherly affection
640_(Romans 12:10)	"Honor takes the high road." - Pastor Mike Such a powerful word this weekend about honor 🔥 🙌 "Love one another with brotherly affection. Outdo one another in showing honor."	94:135	0:173	Love one another with brotherly affection
641_(Romans 12:10)	Proverbs:Love one another with brotherly affection.	9:50	0:51	Love one another with brotherly affection
642_(Romans 12:10)	Let love be genuine. Abhor what is evil; hold fast to what is good. Love one another with brotherly affection. Outdo one another in showing honor 	68:109	0:146	Love one another with brotherly affection
643_(Romans 12:10)	Romans 12:10 encourages us, "Love one another with brotherly affection. Outdo one another in showing honor." Our love should be selfless, sacrificial, and constantly growing	29:70	0:173	Love one another with brotherly affection
644_(Romans 12:10)	"Love one another with brotherly affection. Honor one another above yourselves." Use this verse to change how you enter the office. Walk in with a purpose - to love your coworkers and build relationships with them.	1:42	0:214	Love one another with brotherly affection
645_(Romans 12:10)	We would do well to remember that too. "Love one another with brotherly affection;" In Greek, the word translated as "brotherly" literally means "from the same womb."	40:81	0:166	Love one another with brotherly affection
