model	train-spearman_corr	train-spearman_pvalue	train-pearson_corr	train-pearson_pvalue	train-f1_score	train-f1_scores_label1	train-f1_scores_label0	test.iov-spearman_corr	test.iov-spearman_pvalue	test.iov-pearson_corr	test.iov-pearson_pvalue	test.iov-f1_score	test.iov-f1_scores_label1	test.iov-f1_scores_label0	test.oov-spearman_corr	test.oov-spearman_pvalue	test.oov-pearson_corr	test.oov-pearson_pvalue	test.oov-f1_score	test.oov-f1_scores_label1	test.oov-f1_scores_label0	dev-spearman_corr	dev-spearman_pvalue	dev-pearson_corr	dev-pearson_pvalue	dev-f1_score	dev-f1_scores_label1	dev-f1_scores_label0	thr
all-mpnet-base-v2	0.434	0.0	0.444	0.0	0.5417638609579114	0.4674108750450126	0.6438718998314472	0.492	0.0	0.511	0.0	0.5562464224587301	0.4505494505494505	0.6808510638297872	0.563	0.0	0.572	0.0	0.6127794476731598	0.5270506108202443	0.7076591154261057	0.414	0.0	0.434	0.0	0.5968526623280999	0.49079754601226994	0.7080890973036343	0.647
all-mpnet-base-v2_mask	0.594	0.0	0.598	0.0	0.7083101844046028	0.6832762379321085	0.7265393923097607	0.624	0.0	0.629	0.0	0.7312103552473131	0.7237569060773481	0.7375328083989502	0.723	0.0	0.719	0.0	0.7678012124327915	0.7521367521367522	0.7819548872180453	0.611	0.0	0.619	0.0	0.7195316546055843	0.7259475218658893	0.7134146341463417	0.647
multi-qa-mpnet-base-dot-v1	0.435	0.0	0.438	0.0	0.5196964579943303	0.4333333333333333	0.6382978723404256	0.484	0.0	0.502	0.0	0.5565530723531472	0.44935543278084716	0.6829268292682926	0.47	0.0	0.487	0.0	0.5786602219835303	0.49319727891156456	0.6732456140350876	0.437	0.0	0.456	0.0	0.564040722207904	0.4309031556039173	0.7036827195467422	0.512
multi-qa-mpnet-base-dot-v1_mask	0.572	0.0	0.573	0.0	0.7060233596808917	0.6777742848160956	0.7265937583355562	0.619	0.0	0.619	0.0	0.7163547578925326	0.7105624142661179	0.7212681638044913	0.63	0.0	0.635	0.0	0.7259803726816267	0.702467343976778	0.7472256473489519	0.619	0.0	0.627	0.0	0.7280129000830557	0.7282204020848845	0.7278150633855333	0.512
all-distilroberta-v1	0.489	0.0	0.495	0.0	0.5823340888746484	0.5231949773282176	0.6635491016490278	0.528	0.0	0.545	0.0	0.5736272319322641	0.4842105263157894	0.6790393013100436	0.517	0.0	0.531	0.0	0.5663949957765451	0.4623655913978495	0.6815286624203822	0.454	0.0	0.478	0.0	0.5928300590583423	0.4883485309017224	0.7024160282852092	0.622
all-distilroberta-v1_mask	0.622	0.0	0.625	0.0	0.7323250645518874	0.6834924965893588	0.7678839419709855	0.658	0.0	0.659	0.0	0.7427105257448138	0.7170370370370371	0.7644882860665845	0.747	0.0	0.743	0.0	0.7590899829562122	0.7210031347962381	0.7935034802784223	0.653	0.0	0.652	0.0	0.7469381878934598	0.7324388318863457	0.7607621736062103	0.622
all-MiniLM-L12-v2	0.445	0.0	0.448	0.0	0.5039030148225551	0.40459770114942534	0.6402777777777777	0.487	0.0	0.51	0.0	0.50698006206432	0.3686274509803921	0.6700819672131146	0.548	0.0	0.564	0.0	0.5369356621757787	0.40077821011673154	0.6876267748478702	0.411	0.0	0.431	0.0	0.5412179936253632	0.3942093541202673	0.6954087346024638	0.64
all-MiniLM-L12-v2_mask	0.62	0.0	0.621	0.0	0.7304171262654642	0.6952288218111002	0.7560405300077941	0.68	0.0	0.679	0.0	0.7594341564179804	0.7446504992867333	0.7719745222929936	0.764	0.0	0.761	0.0	0.8036724429152331	0.7884892086330935	0.8173913043478261	0.64	0.0	0.642	0.0	0.7496274217585693	0.7435114503816794	0.7554585152838428	0.64
multi-qa-distilbert-cos-v1	0.459	0.0	0.469	0.0	0.4853554397278248	0.37101910828025475	0.6423721140787687	0.516	0.0	0.529	0.0	0.48258381209333556	0.32586558044806524	0.6673366834170854	0.561	0.0	0.577	0.0	0.5865988463271395	0.4767225325884544	0.7082035306334372	0.435	0.0	0.454	0.0	0.5191392093567488	0.3526682134570766	0.6937431394072447	0.645
multi-qa-distilbert-cos-v1_mask	0.625	0.0	0.622	0.0	0.7346332783585177	0.6984334203655352	0.7609932747025349	0.681	0.0	0.673	0.0	0.7634325571286953	0.7478510028653295	0.7766497461928934	0.763	0.0	0.76	0.0	0.7961088053707366	0.7731343283582088	0.8168674698795181	0.648	0.0	0.654	0.0	0.740535572862013	0.7302325581395349	0.7503586800573888	0.645
