identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
140_(1 Samuel 16:7)-c1	137_(1 Samuel 16:7)-c2	AndreaMariaC	0.7731904480439878		The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart	
144_(1 Samuel 16:7)-c1	137_(1 Samuel 16:7)-c2	AndreaMariaC	-0.609858905356672		The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart	
135_(1 Samuel 16:7)-c2	137_(1 Samuel 16:7)-c2	AndreaMariaC	-0.609858905356672		The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart	
147_(1 Samuel 16:7)-c1	137_(1 Samuel 16:7)-c2	AndreaMariaC	-0.609858905356672		The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart	
139_(1 Samuel 16:7)-c1	137_(1 Samuel 16:7)-c2	AndreaMariaC	-0.609858905356672		The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart	
148_(1 Samuel 16:7)-c1	137_(1 Samuel 16:7)-c2	AndreaMariaC	-0.609858905356672		The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart	
148_(1 Samuel 16:7)-c2	137_(1 Samuel 16:7)-c2	AndreaMariaC	-0.609858905356672		The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart	
140_(1 Samuel 16:7)-c1	141_(1 Samuel 16:7)-c1	AndreaMariaC	-0.609858905356672		The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart	
139_(1 Samuel 16:7)-c2	141_(1 Samuel 16:7)-c1	AndreaMariaC	-1.9929082587573317		The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart	
136_(1 Samuel 16:7)-c1	141_(1 Samuel 16:7)-c1	AndreaMariaC	0.7731904480439878		The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart	
139_(1 Samuel 16:7)-c1	141_(1 Samuel 16:7)-c1	AndreaMariaC	-0.609858905356672		The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart	
