lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
For_everything_there_is_a_season				283_(Ecclesiastes 3:1)-c2		My condolences may God continue to be with you. Remember that God is with us even in times of death. Ecclesiastes 3:1-8 says For everything there is a season, and a time for every matter under heaven: a time to be born, and a time to die. Read the rest of this verse.	125:157	0:267
For_everything_there_is_a_season				277_(Ecclesiastes 3:1)-c2		"For everything there is a season, and a time for every matter under heaven... a time to break down, and a time to build up... a time to weep, and a time to laugh"4 years ago, a lot of us wept with Hanbin, today we are delighted with new converts. 😍	1:33	0:249
For_everything_there_is_a_season				281_(Ecclesiastes 3:1)-c2		Happy fall, y'all! What's your favorite thing about this season? For everything there is a season, and a time for every matter under heaven	65:97	0:139
For_everything_there_is_a_season				272_(Ecclesiastes 3:1)-c1		God is never LATE, because He is the controller of times and seasons. Your breakthrough cannot be late, if it is delayed, it is being prepared for a perfect time and season. For everything there is a season, and a time for every matter under heaven 😍👇 😍👇 😍👇	174:206	0:257
For_everything_there_is_a_season				277_(Ecclesiastes 3:1)-c1		Let go of stress and embrace the assurance that comes from faith. Remember the comforting words from Ecclesiastes 3:1, "For everything there is a season, and a time for every matter under heaven."	120:152	0:196
For_everything_there_is_a_season				279_(Ecclesiastes 3:1)-c2		"For everything there is a season, and a time..."What time is it? What season is it? Am laughing & joyful? Is my joy due to my salvation or selfishness? Am I in distress or turmoil? Is my drama self induced or consequence of living Godly?	1:33	0:238
For_everything_there_is_a_season				280_(Ecclesiastes 3:1)-c1		For everything there is a season, and a time to every purpose under the heaven: A time to weep, and a time to laugh; a time to mourn, and a time to dance; Wisdom and strength, in this case, is knowing the proper times express/hold back emotion.	0:32	0:244
For_everything_there_is_a_season				276_(Ecclesiastes 3:1)-c1		Today at Bible study we learn about our time & God ( Kairos ) time. "For everything there is a season, and a time for every matter under heaven" Nothing can change your set purpose. Your set time & set purpose is under God authority.	69:101	0:233
For_everything_there_is_a_season				274_(Ecclesiastes 3:1)-c2		Hey – nobody wants war. But no one wants an evil dictator ruling the world either. Freedom has never been free, cheap or easy. For everything there is a season, and a time for every matter under heaven... even a time for fighting	127:159	0:229
For_everything_there_is_a_season				282_(Ecclesiastes 3:1)-c1		"For everything there is a season, and a time for every matter under heaven" It's just a matter of time. Just trust the process!	1:33	0:128
For_everything_there_is_a_season				272_(Ecclesiastes 3:1)-c2		Everyone and everything has a season. And your seasons and timings are not identical to other people's. "For everything there is a season, and a time for every matter under heaven:"	105:137	0:181
For_everything_there_is_a_season				282_(Ecclesiastes 3:1)-c2		"For everything there is a season"You better SACRIFICE something of else you'll be stuck in the same place again. The choice is yours.	1:33	0:134
For_everything_there_is_a_season				274_(Ecclesiastes 3:1)-c1		For everything there is a season, and a time for every matter under heaven. Thank you my God for being so good!	0:32	0:111
For_everything_there_is_a_season				278_(Ecclesiastes 3:1)-c2		One day power will leave you and you will be come normal person. Just know that you will not be in power forever "For everything there is a season, and a time for every matter under heaven:" 😍 😍 😍	114:146	0:196
For_everything_there_is_a_season				270_(Ecclesiastes 3:1)-c2		For everything there is a season. Everything in this world is temporary. Humans shouldn't be making permanent mistakes for temporary needs. The mistakes children potential could end up doing would be irreversible. They will regret in long run. Don't ignore.	0:32	0:257
For_everything_there_is_a_season				275_(Ecclesiastes 3:1)-c1		Ecclesiastes tells us that God is a God of timing: "For everything there is a season, and a time for every matter under heaven"	52:84	0:127
For_everything_there_is_a_season				284_(Ecclesiastes 3:1)-c1		For everything there is a season! Thanks for spending a few with our club. We are a better club for having you and I wish you the best of luck and shutouts against everyone... except Arsenal!	0:32	0:191
For_everything_there_is_a_season				279_(Ecclesiastes 3:1)-c1		Time And Purpose "FOR EVERYTHING there is a season and a time for every matter or purpose under heaven." It is one thing to discover your purpose, it's another to know the timing of your purpose.	18:50	0:195
For_everything_there_is_a_season				281_(Ecclesiastes 3:1)-c1		Ecclesiastes 3:1 talks about how for everything there is a season. Don't believe that? Look outside. You'll see colors, that are constantly changing. If snow is on the ground today, it may not be on the ground tomorrow. That's just how life goes. It happens in seasons.	33:65	0:269
For_everything_there_is_a_season				284_(Ecclesiastes 3:1)-c2		"For everything there is a season, and a time for every matter under heaven" A reckoning is coming sure as night follows day.	1:33	0:125
For_everything_there_is_a_season				275_(Ecclesiastes 3:1)-c2		The time. "For everything there is a season, and a time for every matter under heaven". This word from God is so powerful that it gives meaning to purpose and existence. Understanding the TIME of your studentship. Stuentship is such an important phase of ones live that is engulfed with so much good things if properly harnessed but you may not see farther if you are bond by religion. By religion I mean the norm of going to school, studying, getting a good grade and graduating with a distinction . Just look around your varsity community. Can you see opportunities imbedded ? Check my next post tomorrow by 8pm . I will be sharing five secrets on how you can utilize your student days and be financially viable.	11:43	0:714
For_everything_there_is_a_season				273_(Ecclesiastes 3:1)-c2		"For everything there is a season, and a time for every matter under heaven: a time of war, and a time of peace."When the council of Elohim by their Divine counsel declare that God wants to make us "a new sharp threshing instrument having teeth: [that will] thresh the mountains", it is an indicator that we are in a season of warfare because the kingdom advances by conquest. But to war effectively you need strategies and wise counsel. Join us at the threshing floor as God gives us direction for the season. It's 2 days to go.	1:33	0:529
For_everything_there_is_a_season				273_(Ecclesiastes 3:1)-c1		Sunday Reminder: Give up your timeline in exchange for God's timeline. It's not your responsibility to know when it will happen, only to trust that He will make it happen. "For everything there is a season, and a time for every matter under heaven:"	173:205	0:249
For_everything_there_is_a_season				278_(Ecclesiastes 3:1)-c1		Some things to learn from Ecclesiastes! "For everything there is a season, and a time for every matter under heaven... He is made everything beautiful in its time"Our lives move in seasons. Hang in there. There are amazing and beautiful moments.	41:73	0:245
For_everything_there_is_a_season				271_(Ecclesiastes 3:1)-c2		For everything there is a season, and a time for every matter under heaven.  🙏🍁 Happy First Day of Fall! As the leaves change and the air turns crisper, we're reminded of the continuous cycle of renewal. What are you looking forward to this season?	0:32	0:248
For_everything_there_is_a_season				280_(Ecclesiastes 3:1)-c2		For everything there is a season - Spin, spin spin. Ukrainian officials...would not accept an end that resulted in Ukraine losing territory or putting the conflict on hold.	0:32	0:172
For_everything_there_is_a_season				271_(Ecclesiastes 3:1)-c1		"For everything there is a season, and a time for every matter under heaven:"Thank you JESUS 😍🙏🌌🙏 😍🙌🌌🙏 ❤️ never loose hope always never give up and always persevere JEHOVAH GOD almighty is with us all 😍🙏🌌🙏.	1:33	0:206
For_everything_there_is_a_season				276_(Ecclesiastes 3:1)-c2		We need Christian Leaders who are not afraid to carry the fight to the Wicked Fascist Fake Jews who have imbedded themselves deep into our Gov't.  They are Termites... they destroy our Christian Nation from the inside-out.  For everything there is a season... it is time for War!!	224:256	0:280
For_everything_there_is_a_season				270_(Ecclesiastes 3:1)-c1		Pray & trust God. Even when it doesn't make sense to U about where U are or where you're going. 1. For everything there is a season, a time for every purpose under heaven. We go thru seasons of preparation for purpose. The Lord is your help & your guide.	99:131	0:254
For_everything_there_is_a_season				283_(Ecclesiastes 3:1)-c1		Time is a part of our lives. It's inescapable. That is what Solomon was talking about when he wrote, "For everything there is a season, a time for every activity under heaven" 	102:134	0:176
