lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Husbands_love_your_wives_as_Christ_loved_the_church				438_(Ephesians 5:25)-c2		Husbands, love your wives, as Christ loved the church; the Gospel was not meant merely to reside in our intellect, memories, and tongues but to be seen in our lives.	0:53	0:165
Husbands_love_your_wives_as_Christ_loved_the_church				439_(Ephesians 5:25)-c1		Ooga Booga I hope people aren't using the Bible to justify abuse. Husbands, love your wives, as Christ loved the church. Seek the highest good for her and surround her with a caring, unselfish love	66:119	0:197
Husbands_love_your_wives_as_Christ_loved_the_church				441_(Ephesians 5:25)-c2		IS IT POSSIBLE FOR HUSBANDS LOVE HIS WIVES AS CHRIST LOVED THE CHURCH AND GAVE HIMSELF UP FOR THE CHURCH, THAT HE MIGHT SANCTIFY HER? LOVE YOUR WIFE IS A COMMAND AND NOT A CHOICE.	19:69	0:179
Husbands_love_your_wives_as_Christ_loved_the_church				440_(Ephesians 5:25)-c2		For the record, that guy isn't speaking for me. I've been married for many decades and counseled many couples. This is the standard:Husbands, love your wives, as Christ loved the church, and gave himself for it; Forcing a spouse to bed isn't Biblical.	132:185	0:251
Husbands_love_your_wives_as_Christ_loved_the_church				442_(Ephesians 5:25)-c1		"Husbands, love your wives, as Christ loved the church". Loved who? and gave himself up for who?	1:54	0:96
Husbands_love_your_wives_as_Christ_loved_the_church				442_(Ephesians 5:25)-c2		"Husbands, love your wives, as Christ loved the church". The word love here is Agapao. From my understanding and research this is the love of will, which eclipses all other loves, the type that by its nature is selfless and sacrificial. That is marriage	1:54	0:253
Husbands_love_your_wives_as_Christ_loved_the_church				450_(Ephesians 5:25)-c2		Husbands, love your wives, as Christ loved the church. Wives submit to your own husbands,as to the Lord. No marriage is perfect ,be completely humble and gentle,be patient bearing with one and other in love.	0:53	0:207
Husbands_love_your_wives_as_Christ_loved_the_church				447_(Ephesians 5:25)-c2		"Husbands, love your wives, as Christ loved the church." You cannot truly love your wife if you are stepping out of your marriage. Also, Jesus would be very against your teaching.	1:54	0:179
Husbands_love_your_wives_as_Christ_loved_the_church				448_(Ephesians 5:25)-c2		Husbands, love your wives, as Christ loved the church; Marry a guy that will literally die for you the way Jesus died. If he's not loving you in the sacrificial way that Jesus Christ sacrificed for us all, he is not the one.	0:53	0:224
Husbands_love_your_wives_as_Christ_loved_the_church				445_(Ephesians 5:25)-c1		Husbands, love your wives, as Christ loved the church. Husbands are called to serve their wives and family. Men, time to start making them sammiches.	0:53	0:149
Husbands_love_your_wives_as_Christ_loved_the_church				443_(Ephesians 5:25)-c1		The Bible teaches, "Husbands, love your wives, as Christ loved the church" and "teach the young women to love their husbands". Love in marriage can be deeper and more selfless than in any other relationship. It is this type of love that Jesus expects of HIS followers.	20:73	0:268
Husbands_love_your_wives_as_Christ_loved_the_church				443_(Ephesians 5:25)-c2		Husbands, love your wives, as Christ loved the church(He died for her). That's the ultimate model of self-sacrificial love. The husband denies himself to ensure the best for his wife. She submits to his loving authority in return.	0:53	0:230
Husbands_love_your_wives_as_Christ_loved_the_church				450_(Ephesians 5:25)-c1		Not just that, Ephesians 5:25 says, "Husbands, love your wives, as Christ loved the church." Any husband who really loves his wife the way Paul commanded him to under inspiration of the Holy Spirit (2 Tim 3:16), he would be willing to die for her.	37:90	0:247
Husbands_love_your_wives_as_Christ_loved_the_church				436_(Ephesians 5:25)-c1		Live the life you proudly can tell your grandchildren about. Don't be a slave of your selfishness. Love is a choice. Lust is a choice. Husbands, love your wives, as Christ loved the church.	135:188	0:189
Husbands_love_your_wives_as_Christ_loved_the_church				441_(Ephesians 5:25)-c1		And-Husbands, love your wives, as Christ loved the church. Love does not insist on its own way. There is no way for the husband to obey that without submitting to his wife.	4:57	0:172
Husbands_love_your_wives_as_Christ_loved_the_church				446_(Ephesians 5:25)-c1		SERVE AND HONOR YOUR SPOUSE. In Ephesians 5:25-28, it says"Husbands, love your wives, as Christ loved the church." When we serve and honour our spouse, we demonstrate the sacrificial love of Christ and show them the value they have in our lives.	59:112	0:245
Husbands_love_your_wives_as_Christ_loved_the_church				444_(Ephesians 5:25)-c1		Always missing from these models of the "ideal" marriage: the rest of Ephesians 5:25 "Husbands, love your wives, as Christ loved the church." Funny how the wife is supposed to do all the work, when the standard for the man was total sacrifice.	86:139	0:243
Husbands_love_your_wives_as_Christ_loved_the_church				439_(Ephesians 5:25)-c2		Certainly not "Husbands, love your wives, as Christ loved the church." if you truly love your wide you won't beat her. To sum up the bible doesn't support any form of violence in marriage	15:68	0:187
Husbands_love_your_wives_as_Christ_loved_the_church				448_(Ephesians 5:25)-c1		Husbands, love your wives, as Christ loved the church; I see how you tried to substitute the word/idea of "love" with "serve". Love is much more than just service. Love is protection. Love is provision. Love is guidance. Love is leadership. Love is sacrifice. In order for relationships to work, they need to be patterned after how YAH purposed them to function. If husbands are called to love and cover their wives like Christ loved the church, then wives need to do their part.	0:53	0:479
Husbands_love_your_wives_as_Christ_loved_the_church				444_(Ephesians 5:25)-c2		Ephesians 5:25 is the key to you getting the respect and honor you want from your woman. "Husbands, love your wives, as Christ loved the church". Christ refers to the church as his BRIDE. He SACRIFICED his life for his bride (the church). This is the standard.	90:143	0:260
Husbands_love_your_wives_as_Christ_loved_the_church				445_(Ephesians 5:25)-c2		"Husbands, love your wives, as Christ loved the church." So I'm the context of marriage the matter of love does not really conceren woman but it is the define assignment of A man to love his wife unconditionally.	1:54	0:212
Husbands_love_your_wives_as_Christ_loved_the_church				437_(Ephesians 5:25)-c1		Disagree with you here. Husbands, love your wives, as Christ loved the church.. 1 Corinthians 13:4-8 tells us exactly what love truly is. A husband who is patient, kind, and humble will be attentive to his wife's needs.	24:77	0:219
Husbands_love_your_wives_as_Christ_loved_the_church				436_(Ephesians 5:25)-c2		Husbands, love your wives, as Christ loved the church. 2x, a wife is a true gift from GOD. What a blessing baby. Don't you ever give up on each other. You keep going. Congratulations. Love yall, GOD bless you	0:53	0:208
Husbands_love_your_wives_as_Christ_loved_the_church				437_(Ephesians 5:25)-c2		"Husbands, love your wives, as Christ loved the church."Embrace the role of a patient husband, showing unwavering support and understanding. Let your love be a beacon of hope and encouragement, just as Christ's love guides and nurtures us.	1:54	0:239
Husbands_love_your_wives_as_Christ_loved_the_church				438_(Ephesians 5:25)-c1		I love being married to a patient Ephesians 5 man. Husbands, love your wives, as Christ loved the church	51:104	0:104
Husbands_love_your_wives_as_Christ_loved_the_church				446_(Ephesians 5:25)-c2		the Bible says in Ephesians 5:25 reads, "Husbands, love your wives, as Christ loved the church." Your unconditional acceptance of your wife is not based upon her performance, but on her worth as God's gift to you	41:94	0:212
Husbands_love_your_wives_as_Christ_loved_the_church				449_(Ephesians 5:25)-c2		Husbands, love your wives, as Christ loved the church. Husbands are to have sacrificial love for their wives, so, it's not misogyny.	0:53	0:132
Husbands_love_your_wives_as_Christ_loved_the_church				449_(Ephesians 5:25)-c1		In my tweet I was paraphrasing about Jesus if I ever quote a scripture I'll actually use the words quoted. "Husbands, love your wives, as Christ loved the church."Jesus loves and serves us by being our pathway to God and sacrifice.	108:161	0:231
Husbands_love_your_wives_as_Christ_loved_the_church				440_(Ephesians 5:25)-c1		Husbands, love your wives, as Christ loved the church, and remember that Violence against women is never acceptable! 	0:53	0:117
Husbands_love_your_wives_as_Christ_loved_the_church				447_(Ephesians 5:25)-c1		The Bible also tells husbands, love your wives, as Christ loved the church, meaning to be willing to die for them. These passages aren't just about wives' submission, but also husbands' sacrificial love.	21:74	0:203
