lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
They have sown the wind, and they shall reap the whirlwind				229_(Hosea 8:7)-c2		😍📍% correct. There could be no better use of funds. Russia has sown the wind, and for they have sown the wind, and they shall reap the whirlwind. Don't forget that they are waging war not only against Ukraine but against the whole West.	86:144	0:236
They have sown the wind, and they shall reap the whirlwind				238_(Hosea 8:7)-c2		"I realise it's unfashionable these days to quote scripture in political discourse, but does the phrase ""they have sown the wind, and they shall reap the whirlwind"" mean nothing to these people?"	104:162	0:193
They have sown the wind, and they shall reap the whirlwind				235_(Hosea 8:7)-c1		For they have sown the wind, and they shall reap the whirlwind. Shorter! non-ecclesiastical version: Y'aint seen nothin' yet, Clowndaddy.	4:62	0:137
They have sown the wind, and they shall reap the whirlwind				231_(Hosea 8:7)-c1		For they have sown the wind, and they shall reap the whirlwind means that works have rewards and actions have consequences, with a focus on negative consequences for bad actions.	4:62	0:178
They have sown the wind, and they shall reap the whirlwind				227_(Hosea 8:7)-c2		If you wage a war on another country, you shall be ready that your people will die too. Anywhere, in your capital or hundreds of kms behind the frontline. For they have sown the wind, and they shall reap the whirlwind.	159:217	0:218
They have sown the wind, and they shall reap the whirlwind				230_(Hosea 8:7)-c2		"""They have sown the wind, and they shall reap the whirlwind."" This image represents the total combat losses of the enemy from February 24, 2022 to May 26, 2023."	1:59	0:160
They have sown the wind, and they shall reap the whirlwind				232_(Hosea 8:7)-c2		Russia started this war under the childish delusion that they could attack everyone, and no one could attack them. But for they have sown the wind, and they shall reap the whirlwind	123:181	0:181
They have sown the wind, and they shall reap the whirlwind				239_(Hosea 8:7)-c2		They have sown the wind, and they shall reap the whirlwind. Putin's speaker said that they don't want negotiations. So, they brought violence to Ukraine and will get more violence in response. 	1:58	0:193
They have sown the wind, and they shall reap the whirlwind				239_(Hosea 8:7)-c1		For they have sown the wind, and they shall reap the whirlwind. Let us be careful of our actions. For they betray our thoughts and feelings. If we focus on the darkness. We will do damage instead of healing	4:62	0:206
They have sown the wind, and they shall reap the whirlwind				225_(Hosea 8:7)-c2		Like all bullies, Russia doesn't like it when the victim of its aggression hits back. For they have sown the wind, and they shall reap the whirlwind	90:148	0:148
They have sown the wind, and they shall reap the whirlwind				226_(Hosea 8:7)-c1		Interesting you raise the issue of immorality. If people lived morally responsible lives the need for abortions would sharply decrease, but people demand the right to make love whenever, wherever & with whomever they want. They have sown the wind, and they shall reap the whirlwind	223:281	0:281
They have sown the wind, and they shall reap the whirlwind				232_(Hosea 8:7)-c1		People's consensual sex lives don't bother or interest me a whit. 1 exception is when it exposes Xtian hypocrisy & an elitist abuse of the People's house. They that sow the wind shall reap the whirlwind. For they have sown the wind, and they shall reap the whirlwind	208:266	0:266
They have sown the wind, and they shall reap the whirlwind				237_(Hosea 8:7)-c2		Today's Bible verse for Hawley, Trump and the others who incited the insurrection: For they have sown the wind, and they shall reap the whirlwind.	87:145	0:146
They have sown the wind, and they shall reap the whirlwind				237_(Hosea 8:7)-c1		For they have sown the wind, and they shall reap the whirlwind. EVERY seed (thought/action) has a harvest. Before u plant, ask urself if u r prepared to receive the associated harvest.	4:62	0:184
They have sown the wind, and they shall reap the whirlwind				238_(Hosea 8:7)-c1		For they have sown the wind, and they shall reap the whirlwind. Every decision and action has consequences but we often realise too late.	4:62	0:137
They have sown the wind, and they shall reap the whirlwind				231_(Hosea 8:7)-c2		Russia is not even able to protect it's borders!! How will you protect your people? ❤️🤣 ❤️🤣 ❤️🤣 #russiaIsCollapsing They have sown the wind, and they shall reap the whirlwind	116:174	0:174
They have sown the wind, and they shall reap the whirlwind				226_(Hosea 8:7)-c2		The best comment on what we see now in the Belgorod/Bilhorod region of Russia is in the Bible. For they have sown the wind, and they shall reap the whirlwind.	99:157	0:158
They have sown the wind, and they shall reap the whirlwind				225_(Hosea 8:7)-c1		Keep it up. For they have sown the wind, and they shall reap the whirlwind. For the idiots that went to government schools. Actions have consequences, especially that people may face negative consequences for their bad actions.	16:74	0:227
They have sown the wind, and they shall reap the whirlwind				236_(Hosea 8:7)-c1		The cowardly terrorists who attacked us a few days ago should know that they have sown the wind, and they shall reap the whirlwind.	72:130	0:131
They have sown the wind, and they shall reap the whirlwind				230_(Hosea 8:7)-c1		She's 100% right. Ukraine is perfectly within its rights to strike military and infrastructure targets within Russia. They have sown the wind, and they shall reap the whirlwind	118:176	0:176
They have sown the wind, and they shall reap the whirlwind				233_(Hosea 8:7)-c1		You can say Karma is a stone cold bitch. Or, as I prefer, the Biblical quote on it: They have sown the wind, and they shall reap the whirlwind	84:142	0:142
They have sown the wind, and they shall reap the whirlwind				227_(Hosea 8:7)-c1		They have sown the wind, and they shall reap the whirlwind. What we are a wittiness of today is what the Bible says about the storm of consequences we reap when we sow corrupt and foolish actions in our lives.	0:58	0:209
They have sown the wind, and they shall reap the whirlwind				236_(Hosea 8:7)-c2		"Remember Susan Sarandon and Chris Hayes giggling on MSNBC over the prospect of Trump's chaos hastening Bernie's sacred ""Revolution."" For they have sown the wind, and they shall reap the whirlwind."	137:195	0:196
They have sown the wind, and they shall reap the whirlwind				235_(Hosea 8:7)-c2		They've all been cleared multiple times by Congress and Trump's DOJ. What's coming for the maga traitors and their financiers is going to make the War on Drugs look like preschool. For they have sown the wind, and they shall reap the whirlwind.	185:243	0:244
They have sown the wind, and they shall reap the whirlwind				229_(Hosea 8:7)-c1		Karma never forgets... The shit you're putting other people into will find a way back to you.. and believe me or not, it won't be fun when it is your turn. They have sown the wind, and they shall reap the whirlwind	156:214	0:214
They have sown the wind, and they shall reap the whirlwind				234_(Hosea 8:7)-c1		Sir Isaac Newton: For every action, there is an opposite and equal reaction. The Bible said it first: For they have sown the wind, and they shall reap the whirlwind.	106:164	0:165
They have sown the wind, and they shall reap the whirlwind				234_(Hosea 8:7)-c2		Trump picked a fight he was never going to win. He was warned not to do so. He did anyway. Now he'll suffer the consequences. @realdonaldTrump For they have sown the wind, and they shall reap the whirlwind	147:205	0:205
They have sown the wind, and they shall reap the whirlwind				228_(Hosea 8:7)-c2		Putin and Russia started this war thinking they could bomb everyone else and no one would bomb them. They have sewn the wind and for they have sown the wind, and they shall reap the whirlwind. Slava Ukraini	133:191	0:206
They have sown the wind, and they shall reap the whirlwind				233_(Hosea 8:7)-c2		"Are the Russians exempt? ""The Nazis entered this war under the rather childish delusion that they were going to bomb everyone else, and nobody was going to bomb them. They have sown the wind, and they shall reap the whirlwind."""	167:225	0:227
They have sown the wind, and they shall reap the whirlwind				228_(Hosea 8:7)-c1		They have sown the wind, and they shall reap the whirlwind... in modern terms, it is called Karma. You get what you give	0:58	0:120
