lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
you_are_precious_in_my_eyes_and_honored_and_I_love_you				510_(Isaiah 43:4)-c2		Since you are precious in my eyes and honored, and I love you. This is a great  morning because I have had a good word from the child of God in the book of Isaiah 43:4.	6:61	0:168
you_are_precious_in_my_eyes_and_honored_and_I_love_you				508_(Isaiah 43:4)-c2		"You are precious in my eyes and honored, and I love you." St. Valentine was a holy Roman priest ministering to a great number of martyrs, and was himself martyred about 270.	1:56	0:174
you_are_precious_in_my_eyes_and_honored_and_I_love_you				503_(Isaiah 43:4)-c2		How lovely it is to celebrate a birthday, not just with the celebrant, but with the presence of the Holy Spirit....you are precious in my eyes and honored, and I love you	115:170	0:170
you_are_precious_in_my_eyes_and_honored_and_I_love_you				510_(Isaiah 43:4)-c1		Good Morning y'all ☕ Thank you Father for the gift of another day. 😍🙏 "Since you are precious in my eyes and honored, and I love you..." Have a Blessed and awesome day everyone! 😍🙏 😍 	77:132	0:183
you_are_precious_in_my_eyes_and_honored_and_I_love_you				498_(Isaiah 43:4)-c2		"you are precious in my eyes and honored, and I love you" Isaiah 43:4 Let Jesus speak these words to your heart tonight. YOU are precious to Him and loved by Him. Be at peace	1:56	0:174
you_are_precious_in_my_eyes_and_honored_and_I_love_you				505_(Isaiah 43:4)-c2		So beautiful words Roma. 🌌🌸 🌌🌸 " you are precious in my eyes and honored, and I love you." Life has probably thrown more at you than you can handle. Just think about this: We are so precious to God. Let Him whisper these words to you, "I love you, I love you."🌌🌸🌌🌸🌌🌸	33:88	0:266
you_are_precious_in_my_eyes_and_honored_and_I_love_you				502_(Isaiah 43:4)-c1		Since you are precious in my eyes and honored, and I love you.' Happy Birthday to all Born in August.   May your day be blessed and full of great things. 	6:61	0:154
you_are_precious_in_my_eyes_and_honored_and_I_love_you				496_(Isaiah 43:4)-c2		Because you are precious in my eyes and honored, and I love you. Look at how much God loves us ❤️	8:63	0:97
you_are_precious_in_my_eyes_and_honored_and_I_love_you				504_(Isaiah 43:4)-c1		We met for the very first time FOUR whole years ago and til this very day, I find myself getting butterflies just thinking about you. To be able to celebrate another birthday with you makes me feel so lucky. You are precious in my eyes and honored, and I love you.	208:263	0:264
you_are_precious_in_my_eyes_and_honored_and_I_love_you				508_(Isaiah 43:4)-c1		"you are precious in my eyes and honored, and I love you" The first step to overcoming rejection is to keep God’s opinion of you in your mind at all times.	1:56	0:155
you_are_precious_in_my_eyes_and_honored_and_I_love_you				503_(Isaiah 43:4)-c1		Since you are precious in my eyes and honored, and I love you. Happy birthday to my humble self. Thank God for life and His great benevolence to celebrate another day like this 😍🙏	6:61	0:179
you_are_precious_in_my_eyes_and_honored_and_I_love_you				500_(Isaiah 43:4)-c2		"You are precious in my eyes and honored, and I love you. "If the Creator spoke this way to those in Israel, what words of affection would he use for those who are in Christ?	1:56	0:174
you_are_precious_in_my_eyes_and_honored_and_I_love_you				506_(Isaiah 43:4)-c2		Be encouraged today. You are extremely valuable to God, and deeply loved. He even said in Isaiah 43:4, 'you are precious in my eyes and honored, and I love you' (ESV).	104:159	0:167
you_are_precious_in_my_eyes_and_honored_and_I_love_you				499_(Isaiah 43:4)-c1		God on why he will redeem a rebellious and sinful people:"Because you are precious in my eyes and honored, and I love you" 	66:121	0:123
you_are_precious_in_my_eyes_and_honored_and_I_love_you				496_(Isaiah 43:4)-c1		There are manynstances where God shows His love throughout Scripture. But in Isaiah 43:4, He directly says it:"Because you are precious in my eyes and honored, And I love you"	119:174	0:175
you_are_precious_in_my_eyes_and_honored_and_I_love_you				506_(Isaiah 43:4)-c1		"You are precious in my eyes and honored, and I love you."You are not alone. You are worthy. You are important. You matter so much in this world, and I'm glad you're in it. You are loved by the Most High God. Keep fighting our brave mighty warrior.	1:56	0:248
you_are_precious_in_my_eyes_and_honored_and_I_love_you				507_(Isaiah 43:4)-c2		Since you are precious in my eyes and honored, and I love you. If you’re a believer in Christ, remember to remind yourself of who He says you are (identity). Don’t let rejection from others, sorrow from life, and discouragement from unmet expectations dictate your worth. He is alive & He says you are precious in His eyes.	6:61	0:323
you_are_precious_in_my_eyes_and_honored_and_I_love_you				504_(Isaiah 43:4)-c2		A special day for our family. Proud of our Patrick. Great job reading at his First Communion Mass. "Do not be afraid. You are precious in my eyes and honored, and I love you." 	118:173	0:176
you_are_precious_in_my_eyes_and_honored_and_I_love_you				497_(Isaiah 43:4)-c2		YOU ARE LOVED ❤️ 🌌 "You are precious in my eyes and honored, and I love you" - God demonstrates His love for us through His words, His actions; holding our hand as we walk through life. As long as we are holding on tight, He will not let us fall.	20:75	0:246
you_are_precious_in_my_eyes_and_honored_and_I_love_you				500_(Isaiah 43:4)-c1		"you are precious in my eyes and honored, and I love you". Learn more about what God says about you and how to embrace your identity in Christ here: https://hopefortheheart.org/product/identity-self-image/	1:56	0:205
you_are_precious_in_my_eyes_and_honored_and_I_love_you				501_(Isaiah 43:4)-c2		Isaiah 43:4 "you are precious in my eyes and honored, and I love you" These words just hit deep this morning... MY God thinks this about me... about you....	13:68	0:156
you_are_precious_in_my_eyes_and_honored_and_I_love_you				498_(Isaiah 43:4)-c1		You are precious in my eyes and honored, and I love you. No matter what you may be going through this message is a must to remember, our God loves us so deeply.	0:55	0:160
you_are_precious_in_my_eyes_and_honored_and_I_love_you				509_(Isaiah 43:4)-c1		"Because you are precious in my eyes and honored, and I love you." Abba be making me blush this morning, awwwn thanks Daddy.	9:64	0:124
you_are_precious_in_my_eyes_and_honored_and_I_love_you				497_(Isaiah 43:4)-c1		God's Word For You Today"You are precious in my eyes and honored, and I love you."Thank god for loving us every day.	25:80	0:116
you_are_precious_in_my_eyes_and_honored_and_I_love_you				507_(Isaiah 43:4)-c1		Overcoming rejection (1) "You are precious in my eyes and honored, and i love you"	26:81	0:82
you_are_precious_in_my_eyes_and_honored_and_I_love_you				502_(Isaiah 43:4)-c2		Since you are precious in my eyes and honored, and I love you. HAPPY BIRTHDAY PHYNA ODOGWU PHYNA DAY THE STREET MADE A QUEEN	6:61	0:124
you_are_precious_in_my_eyes_and_honored_and_I_love_you				505_(Isaiah 43:4)-c1		You are precious in my eyes and honored, and I love you. Don't underestimate yourself 😍🙏	0:55	0:88
you_are_precious_in_my_eyes_and_honored_and_I_love_you				509_(Isaiah 43:4)-c2		God Has Placed Great Value On You As His Creation. Since you are precious in my eyes and honored, and I love you	57:112	0:112
you_are_precious_in_my_eyes_and_honored_and_I_love_you				499_(Isaiah 43:4)-c2		If you are ever in doubt of the love of God for you, this is the scripture you need to remind him and yourself. Since you are precious in my eyes and honored, and I love you.	118:173	0:174
you_are_precious_in_my_eyes_and_honored_and_I_love_you				501_(Isaiah 43:4)-c1		you are precious in my eyes and honored, and I love you. These are God's words to YOU! YOU are precious in His sight - let this sink deep into your heart! Peace	0:55	0:160
