identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
34_(Joshua 1:9)-c2	30_(Joshua 1:9)-c1	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
30_(Joshua 1:9)-c2	30_(Joshua 1:9)-c1	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
40_(Joshua 1:9)-c2	30_(Joshua 1:9)-c1	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
33_(Joshua 1:9)-c1	30_(Joshua 1:9)-c1	AndreaMariaC	-0.609858905356672		Be_strong_and_courageous._Do_not_be_afraid	
44_(Joshua 1:9)-c1	30_(Joshua 1:9)-c1	AndreaMariaC	-0.609858905356672		Be_strong_and_courageous._Do_not_be_afraid	
35_(Joshua 1:9)-c1	30_(Joshua 1:9)-c1	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
36_(Joshua 1:9)-c1	30_(Joshua 1:9)-c1	AndreaMariaC	-0.609858905356672		Be_strong_and_courageous._Do_not_be_afraid	
40_(Joshua 1:9)-c1	30_(Joshua 1:9)-c1	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
34_(Joshua 1:9)-c2	31_(Joshua 1:9)-c1	AndreaMariaC	-0.609858905356672		Be_strong_and_courageous._Do_not_be_afraid	
41_(Joshua 1:9)-c2	31_(Joshua 1:9)-c1	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
33_(Joshua 1:9)-c1	31_(Joshua 1:9)-c1	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
34_(Joshua 1:9)-c2	32_(Joshua 1:9)-c2	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
30_(Joshua 1:9)-c2	32_(Joshua 1:9)-c2	AndreaMariaC	-0.609858905356672		Be_strong_and_courageous._Do_not_be_afraid	
31_(Joshua 1:9)-c2	32_(Joshua 1:9)-c2	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
39_(Joshua 1:9)-c2	32_(Joshua 1:9)-c2	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
40_(Joshua 1:9)-c2	32_(Joshua 1:9)-c2	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
41_(Joshua 1:9)-c1	32_(Joshua 1:9)-c2	AndreaMariaC	-0.609858905356672		Be_strong_and_courageous._Do_not_be_afraid	
34_(Joshua 1:9)-c1	32_(Joshua 1:9)-c2	AndreaMariaC	-0.609858905356672		Be_strong_and_courageous._Do_not_be_afraid	
44_(Joshua 1:9)-c1	32_(Joshua 1:9)-c2	AndreaMariaC	-0.609858905356672		Be_strong_and_courageous._Do_not_be_afraid	
38_(Joshua 1:9)-c1	32_(Joshua 1:9)-c2	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
36_(Joshua 1:9)-c2	32_(Joshua 1:9)-c2	AndreaMariaC	-0.609858905356672		Be_strong_and_courageous._Do_not_be_afraid	
36_(Joshua 1:9)-c1	32_(Joshua 1:9)-c2	AndreaMariaC	-0.609858905356672		Be_strong_and_courageous._Do_not_be_afraid	
43_(Joshua 1:9)-c1	32_(Joshua 1:9)-c2	AndreaMariaC	-0.609858905356672		Be_strong_and_courageous._Do_not_be_afraid	
42_(Joshua 1:9)-c1	32_(Joshua 1:9)-c2	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
42_(Joshua 1:9)-c2	32_(Joshua 1:9)-c2	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
34_(Joshua 1:9)-c2	38_(Joshua 1:9)-c1	AndreaMariaC	-0.609858905356672		Be_strong_and_courageous._Do_not_be_afraid	
34_(Joshua 1:9)-c2	38_(Joshua 1:9)-c2	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
30_(Joshua 1:9)-c2	38_(Joshua 1:9)-c2	AndreaMariaC	-0.609858905356672		Be_strong_and_courageous._Do_not_be_afraid	
32_(Joshua 1:9)-c1	38_(Joshua 1:9)-c2	AndreaMariaC	0.7731904480439878		Be_strong_and_courageous._Do_not_be_afraid	
