identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
486_(Luke 17:3)-c1	485_(Luke 17:3)-c2	Nisha	2.0		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
486_(Luke 17:3)-c1	485_(Luke 17:3)-c2	AndreaMariaC	2.0		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
488_(Luke 17:3)-c2	485_(Luke 17:3)-c2	AndreaMariaC	3.0		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
488_(Luke 17:3)-c2	485_(Luke 17:3)-c2	Nisha	1.0		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
489_(Luke 17:3)-c1	485_(Luke 17:3)-c2	Nisha	1.0		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
489_(Luke 17:3)-c1	485_(Luke 17:3)-c2	AndreaMariaC	2.0		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
489_(Luke 17:3)-c1	485_(Luke 17:3)-c2	shur	2.0		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
494_(Luke 17:3)-c1	485_(Luke 17:3)-c2	Nisha	1.0		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
494_(Luke 17:3)-c1	485_(Luke 17:3)-c2	AndreaMariaC	2.0		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
494_(Luke 17:3)-c1	485_(Luke 17:3)-c2	shur	1.0		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
483_(Luke 17:3)-c1	485_(Luke 17:3)-c2	Nisha	2.0		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
