lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him				489_(Luke 17:3)-c1		Sadly you are leaving out repentance... there are 50 verses in the Bible about it. Here is one: Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him. CONSTANTLY WORKING OUT OUR SALVATION WITH FEAR AND TREMBLING.	96:197	0:260
Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him				495_(Luke 17:3)-c1		"Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him."" That forgiveness is for the following verses. That forgiveness has nothing to do with condoning ill behaviors. It's allowing yourself & them to move forward & not be held back by their ill behavior. We don't blindly forgive & allow them to continue harmful behaviors, but we can approach the situation just like Michael the archangel."	0:101	0:438
Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him				482_(Luke 17:3)-c1		Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him. Sadly suicide is the one sin you can't repent 😍😭	0:101	0:151
Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him				491_(Luke 17:3)-c2		"Regarding forgiveness: we should have ""spirit of forgiveness"" BUT according to Jesus Christ Himself who said in Luke 17:3 ""Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him"" Forgiveness is conditional on repentance"	123:224	0:266
Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him				491_(Luke 17:3)-c1		"It's amazing how triggered people get by reading a Bible quote. Lol. Here is another one. ""Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him."" Forgiveness comes after repentance."	91:192	0:230
Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him				485_(Luke 17:3)-c1		Sad that Faye believes that we are not called to correct/admonish others. She must not know of the spiritual works of mercy. Oh and some scripture... Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him; I thought that we were to help one another make it to eternal life with Holy God. Or, as Faye thinks we just worry about our own souls?? So sad. Speaking, sharing His word, truth with others with love and compassion is the utmost love!	150:251	0:488
Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him				490_(Luke 17:3)-c2		Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him. There is no forgiveness without repentance. I will not forgive corporate sin until I see corporate repentance Mr. White man.	0:101	0:227
Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him				492_(Luke 17:3)-c1		Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him. We must be ready to forgive, but forgiveness without repentance is a one-sided coin, as is repentance without forgiveness.	0:101	0:225
Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him				494_(Luke 17:3)-c2		"""Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him"" How many times should I forgive a offender?"	1:102	0:147
Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him				483_(Luke 17:3)-c1		"Back at ya: ""Take heed to yourselves. If your brother sins against you, rebuke him; and if he repents, forgive him."" The NT is clear that Christians are to walk w others and hold each other accountable in love. Helping each other to grow in Christ's likeness and get saved."	13:114	0:273
