lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Give_to_Caesar_what_belongs_to_Caesar				301_(Mark 12:17)-c2		There is no such thing as legal theory. Jesus himself taught the separation of church and state when His disciples tried to entangle him in a political protest. Give to Caesar what belongs to Caesar; and to God what belongs to God	161:198	0:230
Give_to_Caesar_what_belongs_to_Caesar				314_(Mark 12:17)-c2		Good praying partner with lousy sex will not hold a relationship whereas the reverse is true... I think we should Give to Caesar what belongs to Caesar...	114:151	0:154
Give_to_Caesar_what_belongs_to_Caesar				303_(Mark 12:17)-c2		When asked about taxes, Jesus asked whose picture is on your coins?   Caesar, they answered. Give to Caesar what belongs to Caesar. Jesus did not cheat on his taxes, falsify business records, or pay hush money payment to a porn star. Borderline insane.	93:130	0:252
Give_to_Caesar_what_belongs_to_Caesar				314_(Mark 12:17)-c1		Give to Caesar what belongs to Caesar, AKA pay your damned taxes. Its right there in the Bible. The same Bible his newest SCOTUS nominee lives by right? Trump has never read it so he has no clue its there. He's a fraud, a cheat, a fake, a broke liar. LOCK. HIM. UP.	0:37	0:265
Give_to_Caesar_what_belongs_to_Caesar				313_(Mark 12:17)-c2		When Jesus said Give to Caesar what belongs to Caesar; and to God what belongs to God we have to ask ourselves what belongs to Cesar? Does the money you work for belong to the government? No.	16:53	0:191
Give_to_Caesar_what_belongs_to_Caesar				302_(Mark 12:17)-c2		Jesus said to them, "Give to Caesar what belongs to Caesar; and to God what belongs to God". All of you must obey the government rulers. Everyone who rules was given the power to rule by God. And all those who rule now were given that power by God	21:58	0:247
Give_to_Caesar_what_belongs_to_Caesar				304_(Mark 12:17)-c1		Middle class America has carried the burden of paying for ❤️🤬 everything. Time to tax the ❤️🤬 rich. Joel Olsteen needs to Give to Caesar what belongs to Caesar	122:159	0:159
Give_to_Caesar_what_belongs_to_Caesar				304_(Mark 12:17)-c2		Christians / Jews created porn and 99% of the porn is created in their lands due to beliefs such as Whoever is without sin let him cast the first stone and Give to Caesar what belongs to Caesar	156:193	0:193
Give_to_Caesar_what_belongs_to_Caesar				310_(Mark 12:17)-c1		I know Mark 12:17, Give to Caesar what belongs to Caesar. Of course I pay my taxes but this is not charity. Raising tax is TAKING money from people, charity is GIVING money. I can't believe I have to explain this.	19:56	0:213
Give_to_Caesar_what_belongs_to_Caesar				301_(Mark 12:17)-c1		just prepared taxes I've been putting off and WOW. There really is something to this whole "chop wood, carry water" and "Give to Caesar what belongs to Caesar" thing, huh?	121:158	0:171
Give_to_Caesar_what_belongs_to_Caesar				306_(Mark 12:17)-c2		Hey Joe, where in the bible does it say cheat on your pregnant wife with a porn star and then try to overthrow the rightfully elected govt?  Give to Caesar what belongs to Caesar.	141:178	0:179
Give_to_Caesar_what_belongs_to_Caesar				312_(Mark 12:17)-c2		The government has nothing to do with the church. Separation of church & state. America is NOT a christian nation. It is a nation of many religions and many people who have no religion. Thus, give to Caesar what belongs to Caesar	192:229	0:229
Give_to_Caesar_what_belongs_to_Caesar				305_(Mark 12:17)-c1		Give to Caesar what belongs to Caesar and to God what is God's. You cannot control whether you have to pay taxes (Mark 12:17), so pay them!	0:37	0:139
Give_to_Caesar_what_belongs_to_Caesar				307_(Mark 12:17)-c2		Balance is important! Give to Caesar what belongs to Caesar. But don't work yourself into the ground! Rest, recreation exercise, sex, and family time are critical	22:59	0:162
Give_to_Caesar_what_belongs_to_Caesar				311_(Mark 12:17)-c1		Jesus said to give to Caesar what belongs to Caesar (Mark 12:17). He also paid taxes himself (Matthew 17:24-27). Not paying taxes is dishonest and disobedient to God's authority (Romans 13:1-7). We should honor God with our money (Proverbs 3:9). #payyourtaxes	14:51	0:259
Give_to_Caesar_what_belongs_to_Caesar				308_(Mark 12:17)-c1		Republicans don't want to pay taxes. Have they not read the Bible verse where Jesus said Give to Caesar what belongs to Caesar	89:126	0:126
Give_to_Caesar_what_belongs_to_Caesar				302_(Mark 12:17)-c1		Even Jesus said you have to Give to Caesar what belongs to Caesar. You cannot live anywhere without paying taxes. Grow up.	28:65	0:122
Give_to_Caesar_what_belongs_to_Caesar				311_(Mark 12:17)-c2		Biblically, you shouldn't be having sex before you're married. But once you're married, boom! Anything goes, provided there's mutual consent. Until you're married, don't give to Caesar what belongs to Caesar	170:207	0:207
Give_to_Caesar_what_belongs_to_Caesar				312_(Mark 12:17)-c1		even Jesus Christ knew not to fuck with the tax man. Give to Caesar what belongs to Caesar (Mark 12:17)	53:90	0:103
Give_to_Caesar_what_belongs_to_Caesar				315_(Mark 12:17)-c1		Give to Caesar what belongs to Caesar. (Mark 12:17) Christ was talking about paying taxes to the government not going to Church on Sunday and to the Shrine on Monday.	0:27	0:166
Give_to_Caesar_what_belongs_to_Caesar				305_(Mark 12:17)-c2		A socialist organisation, desiring ethnic clensing is not my cup of tea. You are mixing politics with the Bible. Then Jesus said to them, Give to Caesar what belongs to Caesar's and to God what is God's. And they were amazed at him.	138:175	0:232
Give_to_Caesar_what_belongs_to_Caesar				306_(Mark 12:17)-c1		does Give to Caesar what belongs to Caesar mean to pay taxes?	5:42	0:61
Give_to_Caesar_what_belongs_to_Caesar				309_(Mark 12:17)-c1		You know it's funny: "Give to Caesar what belongs to Caesar" doesn't sound like a libertarian screed against taxation to me.	22:59	0:124
Give_to_Caesar_what_belongs_to_Caesar				307_(Mark 12:17)-c1		Taxes. Jesus did preach to Give to Caesar what belongs to Caesar	27:64	0:64
Give_to_Caesar_what_belongs_to_Caesar				310_(Mark 12:17)-c2		The younger brother is shameless too... No manner of temptation or horniness should ever make you sleep with your sister-in-law... Sex is very important in a marriage. Give to Caesar what belongs to Caesar. Give to your wife the attention she deserves. 8 months is a long time!	168:205	0:277
Give_to_Caesar_what_belongs_to_Caesar				303_(Mark 12:17)-c1		Give to Caesar what belongs to Caesar; and to God what belongs to God. #Clergy etc., have no place in making laws, setting policy. This isn't Italy, we aren't run by a Vatican. America is not a #theocracy. #DavidLane needs to go to a theocratic #authoritarian country to live. #SeparationOfChurchAndState	0:37	0:304
Give_to_Caesar_what_belongs_to_Caesar				313_(Mark 12:17)-c1		This isn't even like, creative interpretation. Mark 12:17 and the end of Mark 17. Two separate stories where Jesus practically shrugs and says "pay the taxes". Give to Caesar what belongs to Caesar	160:197	0:197
Give_to_Caesar_what_belongs_to_Caesar				308_(Mark 12:17)-c2		Give to Caesar what belongs to Caesar and rendering to God, what is God's .. the government can steal my cash, money, or my poop coins or my doge... but I don't want anybody taking my heart or my identity or my Bitcoin tenth of a satoshi or my punk	0:37	0:248
Give_to_Caesar_what_belongs_to_Caesar				315_(Mark 12:17)-c2		Separation of church and state WHERE?!? They said fuck Give to Caesar what belongs to Caesar... let's BE Cesar and the sinners can render to us.	55:92	0:144
Give_to_Caesar_what_belongs_to_Caesar				309_(Mark 12:17)-c2		Even Jesus was for separation of church and state: Give to Caesar what belongs to Caesar; and to God what belongs to God. Remember?	51:88	0:131
