identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
565_(Philippians 4:13)-c2	564_(Philippians 4:13)-c2	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
570_(Philippians 4:13)-c2	564_(Philippians 4:13)-c2	AndreaMariaC	-0.609858905356672		I_can_do_all_things_through_Christ_who_strengthens_me	
568_(Philippians 4:13)-c1	564_(Philippians 4:13)-c2	AndreaMariaC	-0.609858905356672		I_can_do_all_things_through_Christ_who_strengthens_me	
561_(Philippians 4:13)-c2	564_(Philippians 4:13)-c2	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
565_(Philippians 4:13)-c2	567_(Philippians 4:13)-c2	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
566_(Philippians 4:13)-c2	567_(Philippians 4:13)-c2	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
560_(Philippians 4:13)-c1	567_(Philippians 4:13)-c2	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
570_(Philippians 4:13)-c2	567_(Philippians 4:13)-c2	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
556_(Philippians 4:13)-c2	567_(Philippians 4:13)-c2	AndreaMariaC	-0.609858905356672		I_can_do_all_things_through_Christ_who_strengthens_me	
561_(Philippians 4:13)-c2	567_(Philippians 4:13)-c2	AndreaMariaC	-0.609858905356672		I_can_do_all_things_through_Christ_who_strengthens_me	
557_(Philippians 4:13)-c1	567_(Philippians 4:13)-c2	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
558_(Philippians 4:13)-c2	567_(Philippians 4:13)-c2	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
562_(Philippians 4:13)-c1	567_(Philippians 4:13)-c2	AndreaMariaC	-0.609858905356672		I_can_do_all_things_through_Christ_who_strengthens_me	
565_(Philippians 4:13)-c2	558_(Philippians 4:13)-c1	AndreaMariaC	-0.609858905356672		I_can_do_all_things_through_Christ_who_strengthens_me	
570_(Philippians 4:13)-c2	558_(Philippians 4:13)-c1	AndreaMariaC	-0.609858905356672		I_can_do_all_things_through_Christ_who_strengthens_me	
559_(Philippians 4:13)-c2	558_(Philippians 4:13)-c1	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
559_(Philippians 4:13)-c1	558_(Philippians 4:13)-c1	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
558_(Philippians 4:13)-c2	558_(Philippians 4:13)-c1	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
565_(Philippians 4:13)-c2	563_(Philippians 4:13)-c1	AndreaMariaC	-0.609858905356672		I_can_do_all_things_through_Christ_who_strengthens_me	
566_(Philippians 4:13)-c2	563_(Philippians 4:13)-c1	AndreaMariaC	-0.609858905356672		I_can_do_all_things_through_Christ_who_strengthens_me	
557_(Philippians 4:13)-c1	563_(Philippians 4:13)-c1	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
560_(Philippians 4:13)-c2	563_(Philippians 4:13)-c1	AndreaMariaC	-0.609858905356672		I_can_do_all_things_through_Christ_who_strengthens_me	
559_(Philippians 4:13)-c1	563_(Philippians 4:13)-c1	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
566_(Philippians 4:13)-c1	563_(Philippians 4:13)-c1	AndreaMariaC	-0.609858905356672		I_can_do_all_things_through_Christ_who_strengthens_me	
568_(Philippians 4:13)-c2	563_(Philippians 4:13)-c1	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
562_(Philippians 4:13)-c1	563_(Philippians 4:13)-c1	AndreaMariaC	0.7731904480439878		I_can_do_all_things_through_Christ_who_strengthens_me	
