lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Hatred_stirs_up_conflict_but_love_covers_over_all_wrongs				571_(Proverbs 10:12)-c1		Choose love, not hate!Hatred stirs up conflict, but love covers over all wrongs. Let's choose empathy and understanding to build a better world together.	22:79	0:153
Hatred_stirs_up_conflict_but_love_covers_over_all_wrongs				580_(Proverbs 10:12)-c2		"""Hatred stirs up conflict, but love covers over all wrongs."" Love not only forgives, it doesn't keep the record of wrong."	1:58	0:121
Hatred_stirs_up_conflict_but_love_covers_over_all_wrongs				580_(Proverbs 10:12)-c1		"Forgiveness is a powerful force that liberates us from the burden of hatred and resentment. As we reflect on the significance of #forgiveness, let's remember that ""Hatred stirs up conflict, but love covers over all wrongs"	164:221	0:221
Hatred_stirs_up_conflict_but_love_covers_over_all_wrongs				581_(Proverbs 10:12)-c2		"Don't expect the imperfect people in your life to show you perfect love 100% of the time. It's not gonna happen. They'll fail eventually. Have Grace. Give forgiveness. Love them through it anyways. ""Hatred stirs up conflict, but love covers over all wrongs."""	199:256	0:258
Hatred_stirs_up_conflict_but_love_covers_over_all_wrongs				571_(Proverbs 10:12)-c2		"""Hatred stirs up conflict, but love covers over all wrongs."" Don't tolerate open sin, but love the people who seem to be lost and point them to God"	1:58	0:147
Hatred_stirs_up_conflict_but_love_covers_over_all_wrongs				584_(Proverbs 10:12)-c2		In times of turmoil, let's remember that Hatred stirs up conflict, but love covers over all wrongs. As we join in prayer, may we seek love, compassion, and unity to heal the world's wounds. Let our hearts be filled with kindness, understanding, and forgiveness, spreading light where darkness once prevailed	41:98	0:307
Hatred_stirs_up_conflict_but_love_covers_over_all_wrongs				581_(Proverbs 10:12)-c1		Love Forgives all Offenses. Hatred stirs up conflict, but love covers over all wrongs	28:85	0:85
Hatred_stirs_up_conflict_but_love_covers_over_all_wrongs				575_(Proverbs 10:12)-c1		"""Hatred stirs up conflict, but love covers over all wrongs."" Love has the power to heal and mend, while hatred only fuels division. Let's choose love and understanding to bridge the gaps and overcome any wrongs"	1:58	0:210
Hatred_stirs_up_conflict_but_love_covers_over_all_wrongs				576_(Proverbs 10:12)-c2		"I love the hypocrisy.Easter baskets near a case of beer. You are a Christian in name only! You hate LGTBQ+ people, which is against all of Jesus' teachings. A true Christan accepts everyone.""Hatred stirs up conflict, but love covers over all wrongs."" But keep spreading hate."	190:247	0:275
Hatred_stirs_up_conflict_but_love_covers_over_all_wrongs				577_(Proverbs 10:12)-c2		Hatred stirs up conflict, but love covers over all wrongs. I won't be going to my sons wedding during #PrideMonth because a staff member who is the #bride called me last night w/homophobic overtones regarding your church. practice the bible yall not your own ideas	0:57	0:264
Hatred_stirs_up_conflict_but_love_covers_over_all_wrongs				579_(Proverbs 10:12)-c1		Hatred stirs up conflict, but love covers over all wrongs. Good morning. Let God's love flow through you today and forgiveness of what people have done and are doing too you. So that there is peace.Have a blessed and peaceful week!	0:57	0:231
