lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
This_is_the_day_that_the_Lord_has_made;_let_us_rejoice_and_be_glad_in_it				191_(Psalm 118:24)-c2		Sunday blessings to all! 😍🙏 Let us embrace this day with gratitude and reflect on the words of Psalm 118:24 - "This is the day that the Lord has made; let us rejoice and be glad in it."	111:183	0:185
This_is_the_day_that_the_Lord_has_made;_let_us_rejoice_and_be_glad_in_it				185_(Psalm 118:24)-c2		"This is the day that the Lord has made; let us rejoice and be glad in it." Good morning! Today is a new day and a new opportunity to rejoice and be glad. Make the most of it!	1:73	0:175
This_is_the_day_that_the_Lord_has_made;_let_us_rejoice_and_be_glad_in_it				192_(Psalm 118:24)-c1		"This is the day that the LORD has made; let us rejoice and be glad in it." Explore the depths of God's Word every day and today. Have a good day!	1:73	0:146
This_is_the_day_that_the_Lord_has_made;_let_us_rejoice_and_be_glad_in_it				187_(Psalm 118:24)-c1		Rejoice in the #FridayFeeling! reminds us, "This is the day that the Lord has made; let us rejoice and be glad in it." Embrace the gift of today, spreading love and kindness wherever you go. Let your light shine bright! 😍🙌 ❤️	44:116	0:225
This_is_the_day_that_the_Lord_has_made;_let_us_rejoice_and_be_glad_in_it				182_(Psalm 118:24)-c2		"This is the day that the Lord has made; let us rejoice and be glad in it." Praying you have a blessed Sunday worshipping the Lord with your church family ❤️	1:73	0:157
This_is_the_day_that_the_Lord_has_made;_let_us_rejoice_and_be_glad_in_it				185_(Psalm 118:24)-c1		Good morning people of God! Thank you Lord for another day to praise you - ❌ 😍 😍 "This is the day that the Lord has made; let us rejoice and be glad in it."	82:154	0:156
This_is_the_day_that_the_Lord_has_made;_let_us_rejoice_and_be_glad_in_it				181_(Psalm 118:24)-c2		This is the day that the Lord has made; let us rejoice and be glad in it. Sunday is a day for self-reflection and prayer. Enjoy your Sunday and spend time to refuel your soul and reflect on your blessings while planning for a productive week ahead. #SpiritualSunday	0:72	0:265
This_is_the_day_that_the_Lord_has_made;_let_us_rejoice_and_be_glad_in_it				189_(Psalm 118:24)-c2		This is the day that the Lord has made; let us rejoice and be glad in it! Have a great week everybody - Choose Joy, choose Peace, choose to Love & Be Kind - Help where ever You can & be good to yourself and to those you cross path with!	0:72	0:236
This_is_the_day_that_the_Lord_has_made;_let_us_rejoice_and_be_glad_in_it				180_(Psalm 118:24)-c2		This is the day that the LORD has made; let us rejoice and be glad in it. HAPPIEST BIRTHDAY PING DALMACIO @iamgnip GOD BLESS YOU MORE!!! 😍🙏 😍 🌌 ❤️	0:72	0:146
This_is_the_day_that_the_Lord_has_made;_let_us_rejoice_and_be_glad_in_it				187_(Psalm 118:24)-c2		HELLO TUESDAY! "This is the day that the Lord has made; let us rejoice and be glad in it." You're filled with overflowing & uncontainable joy, you walk in the power of the Holy Spirit, because you're abundantly helped. Amen! Do have a Great Tuesday!	16:88	0:249
