identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
16_(Psalm 121:7)-c2	26_(Psalm 121:7)-c1	Nisha	2.0		The_Lord_will_keep_you_from_all_harm	
16_(Psalm 121:7)-c2	26_(Psalm 121:7)-c1	AndreaMariaC	3.0		The_Lord_will_keep_you_from_all_harm	
16_(Psalm 121:7)-c2	26_(Psalm 121:7)-c1	shur	4.0		The_Lord_will_keep_you_from_all_harm	
21_(Psalm 121:7)-c1	26_(Psalm 121:7)-c1	AndreaMariaC	3.0		The_Lord_will_keep_you_from_all_harm	
21_(Psalm 121:7)-c1	26_(Psalm 121:7)-c1	Nisha	3.0		The_Lord_will_keep_you_from_all_harm	
21_(Psalm 121:7)-c1	26_(Psalm 121:7)-c1	shur	4.0		The_Lord_will_keep_you_from_all_harm	
19_(Psalm 121:7)-c2	26_(Psalm 121:7)-c1	AndreaMariaC	2.0		The_Lord_will_keep_you_from_all_harm	
19_(Psalm 121:7)-c2	26_(Psalm 121:7)-c1	Nisha	3.0		The_Lord_will_keep_you_from_all_harm	
28_(Psalm 121:7)-c2	26_(Psalm 121:7)-c1	AndreaMariaC	3.0		The_Lord_will_keep_you_from_all_harm	
28_(Psalm 121:7)-c2	26_(Psalm 121:7)-c1	Nisha	3.0		The_Lord_will_keep_you_from_all_harm	
28_(Psalm 121:7)-c2	26_(Psalm 121:7)-c1	shur	3.0		The_Lord_will_keep_you_from_all_harm	
16_(Psalm 121:7)-c1	26_(Psalm 121:7)-c1	Nisha	3.0		The_Lord_will_keep_you_from_all_harm	
16_(Psalm 121:7)-c1	26_(Psalm 121:7)-c1	AndreaMariaC	3.0		The_Lord_will_keep_you_from_all_harm	
16_(Psalm 121:7)-c1	26_(Psalm 121:7)-c1	shur	3.0		The_Lord_will_keep_you_from_all_harm	
16_(Psalm 121:7)-c2	20_(Psalm 121:7)-c1	Nisha	3.0		The_Lord_will_keep_you_from_all_harm	
16_(Psalm 121:7)-c2	20_(Psalm 121:7)-c1	AndreaMariaC	2.0		The_Lord_will_keep_you_from_all_harm	
22_(Psalm 121:7)-c2	20_(Psalm 121:7)-c1	Nisha	4.0		The_Lord_will_keep_you_from_all_harm	
22_(Psalm 121:7)-c2	20_(Psalm 121:7)-c1	AndreaMariaC	3.0		The_Lord_will_keep_you_from_all_harm	
20_(Psalm 121:7)-c2	20_(Psalm 121:7)-c1	AndreaMariaC	3.0		The_Lord_will_keep_you_from_all_harm	
20_(Psalm 121:7)-c2	20_(Psalm 121:7)-c1	Nisha	4.0		The_Lord_will_keep_you_from_all_harm	
22_(Psalm 121:7)-c1	20_(Psalm 121:7)-c1	AndreaMariaC	2.0		The_Lord_will_keep_you_from_all_harm	
22_(Psalm 121:7)-c1	20_(Psalm 121:7)-c1	Nisha	1.0		The_Lord_will_keep_you_from_all_harm	
22_(Psalm 121:7)-c1	20_(Psalm 121:7)-c1	shur	3.0		The_Lord_will_keep_you_from_all_harm	
18_(Psalm 121:7)-c1	20_(Psalm 121:7)-c1	AndreaMariaC	2.0		The_Lord_will_keep_you_from_all_harm	
18_(Psalm 121:7)-c1	20_(Psalm 121:7)-c1	Nisha	3.0		The_Lord_will_keep_you_from_all_harm	
18_(Psalm 121:7)-c1	20_(Psalm 121:7)-c1	shur	4.0		The_Lord_will_keep_you_from_all_harm	
26_(Psalm 121:7)-c1	20_(Psalm 121:7)-c1	AndreaMariaC	2.0		The_Lord_will_keep_you_from_all_harm	
26_(Psalm 121:7)-c1	20_(Psalm 121:7)-c1	Nisha	2.0		The_Lord_will_keep_you_from_all_harm	
26_(Psalm 121:7)-c1	20_(Psalm 121:7)-c1	shur	3.0		The_Lord_will_keep_you_from_all_harm	
23_(Psalm 121:7)-c2	20_(Psalm 121:7)-c1	AndreaMariaC	3.0		The_Lord_will_keep_you_from_all_harm	
