lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Love one another with brotherly affection				464_(Romans 12:10)-c1		Would love to see this 😍👇 walked out by everyone in our country. We should all being honoring and taking care of those who've fought so hard from our freedom. Love one another with brotherly affection.	159:200	0:201
Love one another with brotherly affection				455_(Romans 12:10)-c1		Love one another with brotherly affection. SHOWING  LOVE AND RESPECT. One of the first signs of trouble in a marriage is taking each other for granted.	0:41	0:151
Love one another with brotherly affection				457_(Romans 12:10)-c2		A powerful example of what koinonia should look like can be found in a study of the phrase 'one another' in the Bible. Scripture commands us to love one another with brotherly affection(Romans 12:10), live in harmony with one another 	144:185	0:234
Love one another with brotherly affection				454_(Romans 12:10)-c2		"Treat others how you want to be treated, love others how our heavenly father loves us. ""Love one another with brotherly affection."""	88:129	0:131
Love one another with brotherly affection				454_(Romans 12:10)-c1		"Acts of kindness, service, and sacrifice add the dynamic dimension to love. ""Love one another with brotherly affection. Outdo one another in showing honor."" Love is patient, love is kind. It does not envy, it does not boast, it is not. Proud"	77:118	0:241
Love one another with brotherly affection				462_(Romans 12:10)-c1		LOVE OTHERS!!! Proverbs: Love one another with brotherly affection.	25:66	0:67
Love one another with brotherly affection				459_(Romans 12:10)-c1		"""Honor takes the high road."" - Pastor Mike Such a powerful word this weekend about love and honor 😍 😍🙌 ""Love one another with brotherly affection."""	104:145	0:147
Love one another with brotherly affection				461_(Romans 12:10)-c1		Love one another with brotherly affection. Owe no one anything, except to love each other, for the one who loves another has fulfilled the law.	0:41	0:143
Love one another with brotherly affection				451_(Romans 12:10)-c2		"Just because you are allergic to affection does not mean the Bible is. ""Love one another with brotherly affection."""	72:113	0:115
Love one another with brotherly affection				458_(Romans 12:10)-c1		"""Love one another with brotherly affection, and take delight in honoring each other.""Who can you applaud today? Who are you cheering on and honoring?!"	1:42	0:150
Love one another with brotherly affection				460_(Romans 12:10)-c2		Let love be genuine. Abhor what is evil; hold fast to what is good. Love one another with brotherly affection. Outdo one another in showing honor 	68:109	0:146
Love one another with brotherly affection				463_(Romans 12:10)-c1		Hey friends! Today, I'm reflecting on Romans 12:10. Let's love one another with brotherly affection. Imagine a world where everyone strives to show love and respect to one another - let's make it happen!	58:99	0:203
Love one another with brotherly affection				456_(Romans 12:10)-c2		"""Love one another with brotherly affection.""Congratulations Asaph and @NamakumbiJ.Love wins. We wish you a happy and fruitful marriage"	1:42	0:134
Love one another with brotherly affection				458_(Romans 12:10)-c2		"Love you, bro! Happy to support you as you support me. ""Love one another with brotherly affection. Take the lead in honoring one another."""	56:97	0:138
Love one another with brotherly affection				453_(Romans 12:10)-c2		"""Love one another with brotherly affection."" It's really simple. Love is putting the needs of others before our own wants. And if we're not willing to do that, then it's impossible for us to be truly loving."	1:42	0:207
Love one another with brotherly affection				456_(Romans 12:10)-c1		Love one another with brotherly affection. To see these two together, to watch them dance, smile & laugh. 25 years and they still look at each other like that! Congratulations	0:41	0:175
Love one another with brotherly affection				453_(Romans 12:10)-c1		"Don't pretend to love others, actually, be sincere. Help others become better people. Look for others who need love and look for ay to do just that. ""Love one another with brotherly affection. Outdo one another in showing honor."" "	150:191	0:230
Love one another with brotherly affection				461_(Romans 12:10)-c2		"""Love one another with brotherly affection."" Use this verse to change how you enter the office. Walk in with a purpose - to love your coworkers and build relationships with them."	1:42	0:178
Love one another with brotherly affection				465_(Romans 12:10)-c2		"""Love one another with brotherly affection."" Apparently alot of ppl don't know how to put their pride and egotistic ways aside and just honor others rather than feeling superior than the other. Stop being fake to one another 😍🖤"	1:42	0:227
Love one another with brotherly affection				452_(Romans 12:10)-c1		Coach Hall and our Offensive Line spent a little time together during lunch today. Love one another with brotherly affection.	83:124	0:125
Love one another with brotherly affection				464_(Romans 12:10)-c2		Love one another with brotherly affection. You can disagree while being deferential, respectful, sacrificially loving, comforting, gentle, and kind.	0:41	0:148
Love one another with brotherly affection				463_(Romans 12:10)-c2		Love one another with brotherly affection. Oh, how much better the world would be if everyone followed this! We should all love one another and put others ahead of ourselves. This life isn't all about us, but it's about the way we treat others, including those we don't always agree with. It's about sharing a smile or a kind word to someone having a bad day, being ready to listen when someone wants to pour their heart out to you, and showing kindness to everyone you come across, even if they are unkind to you. The way you treat others says a lot about you. So treat others with the same love, compassion, and generosity you would want to be treated with. Let's all do this, and make the world a better place. :)	0:41	0:716
Love one another with brotherly affection				465_(Romans 12:10)-c1		"Romans 12:10 encourages us, ""Love one another with brotherly affection. "" Our love should be selfless, sacrificial, and constantly growing"	29:70	0:138
Love one another with brotherly affection				460_(Romans 12:10)-c1		"Goodmorning! We have opportunities to show love. Recognize them. Take them. ""Love one another with brotherly affection."""	77:118	0:120
Love one another with brotherly affection				459_(Romans 12:10)-c2		"We would do well to remember that too. ""Love one another with brotherly affection;"" In Greek, the word translated as ""brotherly"" literally means ""from the same womb."""	40:81	0:166
Love one another with brotherly affection				455_(Romans 12:10)-c2		Love one another with brotherly affection.Amen! In today's reading we see that love is always present and to honor others above ourselves helps to nurture a humble attitude which the Lord requires. Good morning and have a blessed day too	0:41	0:237
Love one another with brotherly affection				452_(Romans 12:10)-c2		"""Love one another with brotherly affection."" During our all-staff luncheons, employees come up to share how co-workers go above and beyond. It's a great way for us to recognize one another! "	1:42	0:190
Love one another with brotherly affection				462_(Romans 12:10)-c2		"Let's remember to love others EXTRAVAGANTLY, not just with minimal effort!""Love one another with brotherly affection. Outdo one another in showing honor."""	75:116	0:154
Love one another with brotherly affection				451_(Romans 12:10)-c1		"""Love one another with brotherly affection.""This is wise."	1:42	0:57
Love one another with brotherly affection				457_(Romans 12:10)-c1		Love one another with brotherly affection. If am not the antichrist who will be the Christ because you all are afraid of imaginary devils and real gods on earth your heart	0:41	0:171
