identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
272_(Ecclesiastes 3:1)-c2	275_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
278_(Ecclesiastes 3:1)-c2	275_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
277_(Ecclesiastes 3:1)-c2	275_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
281_(Ecclesiastes 3:1)-c1	275_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
272_(Ecclesiastes 3:1)-c1	275_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
277_(Ecclesiastes 3:1)-c1	275_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
282_(Ecclesiastes 3:1)-c2	275_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
270_(Ecclesiastes 3:1)-c2	275_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
284_(Ecclesiastes 3:1)-c2	275_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
279_(Ecclesiastes 3:1)-c1	275_(Ecclesiastes 3:1)-c2	AndreaMariaC	0.7731904480439878		For_everything_there_is_a_season	
272_(Ecclesiastes 3:1)-c2	274_(Ecclesiastes 3:1)-c1	AndreaMariaC	2.1562398014446478		For_everything_there_is_a_season	
272_(Ecclesiastes 3:1)-c1	274_(Ecclesiastes 3:1)-c1	AndreaMariaC	0.7731904480439878		For_everything_there_is_a_season	
282_(Ecclesiastes 3:1)-c1	274_(Ecclesiastes 3:1)-c1	AndreaMariaC	0.7731904480439878		For_everything_there_is_a_season	
274_(Ecclesiastes 3:1)-c2	274_(Ecclesiastes 3:1)-c1	AndreaMariaC	0.7731904480439878		For_everything_there_is_a_season	
283_(Ecclesiastes 3:1)-c2	274_(Ecclesiastes 3:1)-c1	AndreaMariaC	0.7731904480439878		For_everything_there_is_a_season	
272_(Ecclesiastes 3:1)-c2	280_(Ecclesiastes 3:1)-c2	AndreaMariaC	-1.9929082587573317		For_everything_there_is_a_season	
275_(Ecclesiastes 3:1)-c1	280_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
281_(Ecclesiastes 3:1)-c1	280_(Ecclesiastes 3:1)-c2	AndreaMariaC	-1.9929082587573317		For_everything_there_is_a_season	
272_(Ecclesiastes 3:1)-c1	280_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
282_(Ecclesiastes 3:1)-c1	280_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
277_(Ecclesiastes 3:1)-c1	280_(Ecclesiastes 3:1)-c2	AndreaMariaC	-1.9929082587573317		For_everything_there_is_a_season	
282_(Ecclesiastes 3:1)-c2	280_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
283_(Ecclesiastes 3:1)-c2	280_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
279_(Ecclesiastes 3:1)-c1	280_(Ecclesiastes 3:1)-c2	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
274_(Ecclesiastes 3:1)-c1	280_(Ecclesiastes 3:1)-c2	AndreaMariaC	-1.9929082587573317		For_everything_there_is_a_season	
273_(Ecclesiastes 3:1)-c1	280_(Ecclesiastes 3:1)-c2	AndreaMariaC	-1.9929082587573317		For_everything_there_is_a_season	
278_(Ecclesiastes 3:1)-c2	281_(Ecclesiastes 3:1)-c1	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
280_(Ecclesiastes 3:1)-c1	281_(Ecclesiastes 3:1)-c1	AndreaMariaC	-0.609858905356672		For_everything_there_is_a_season	
