identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
498_(Isaiah 43:4)-c2	498_(Isaiah 43:4)-c1	Nisha	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
498_(Isaiah 43:4)-c2	498_(Isaiah 43:4)-c1	AndreaMariaC	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
498_(Isaiah 43:4)-c2	498_(Isaiah 43:4)-c1	shur	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
502_(Isaiah 43:4)-c1	498_(Isaiah 43:4)-c1	Nisha	1.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
502_(Isaiah 43:4)-c1	498_(Isaiah 43:4)-c1	AndreaMariaC	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
504_(Isaiah 43:4)-c2	498_(Isaiah 43:4)-c1	AndreaMariaC	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
504_(Isaiah 43:4)-c2	498_(Isaiah 43:4)-c1	Nisha	1.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
504_(Isaiah 43:4)-c2	498_(Isaiah 43:4)-c1	shur	1.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
510_(Isaiah 43:4)-c2	498_(Isaiah 43:4)-c1	Nisha	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
510_(Isaiah 43:4)-c2	498_(Isaiah 43:4)-c1	AndreaMariaC	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
510_(Isaiah 43:4)-c2	498_(Isaiah 43:4)-c1	shur	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
505_(Isaiah 43:4)-c2	498_(Isaiah 43:4)-c1	AndreaMariaC	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
505_(Isaiah 43:4)-c2	498_(Isaiah 43:4)-c1	Nisha	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
505_(Isaiah 43:4)-c2	498_(Isaiah 43:4)-c1	shur	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
496_(Isaiah 43:4)-c1	498_(Isaiah 43:4)-c1	AndreaMariaC	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
496_(Isaiah 43:4)-c1	498_(Isaiah 43:4)-c1	Nisha	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
499_(Isaiah 43:4)-c1	498_(Isaiah 43:4)-c1	AndreaMariaC	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
499_(Isaiah 43:4)-c1	498_(Isaiah 43:4)-c1	Nisha	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
498_(Isaiah 43:4)-c2	506_(Isaiah 43:4)-c2	Nisha	4.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
498_(Isaiah 43:4)-c2	506_(Isaiah 43:4)-c2	AndreaMariaC	4.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
498_(Isaiah 43:4)-c2	506_(Isaiah 43:4)-c2	shur	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
502_(Isaiah 43:4)-c1	506_(Isaiah 43:4)-c2	AndreaMariaC	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
502_(Isaiah 43:4)-c1	506_(Isaiah 43:4)-c2	Nisha	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
504_(Isaiah 43:4)-c1	506_(Isaiah 43:4)-c2	AndreaMariaC	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
504_(Isaiah 43:4)-c1	506_(Isaiah 43:4)-c2	Nisha	1.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
498_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	AndreaMariaC	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
498_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	Nisha	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
498_(Isaiah 43:4)-c1	497_(Isaiah 43:4)-c1	Nisha	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
498_(Isaiah 43:4)-c1	497_(Isaiah 43:4)-c1	AndreaMariaC	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
498_(Isaiah 43:4)-c1	497_(Isaiah 43:4)-c1	shur	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
502_(Isaiah 43:4)-c1	497_(Isaiah 43:4)-c1	AndreaMariaC	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
502_(Isaiah 43:4)-c1	497_(Isaiah 43:4)-c1	Nisha	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
508_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	Nisha	1.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
508_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	AndreaMariaC	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
505_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	AndreaMariaC	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
505_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	Nisha	1.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
508_(Isaiah 43:4)-c1	497_(Isaiah 43:4)-c1	AndreaMariaC	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
508_(Isaiah 43:4)-c1	497_(Isaiah 43:4)-c1	Nisha	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
496_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	Nisha	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
496_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	AndreaMariaC	4.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
496_(Isaiah 43:4)-c1	497_(Isaiah 43:4)-c1	Nisha	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
496_(Isaiah 43:4)-c1	497_(Isaiah 43:4)-c1	AndreaMariaC	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
496_(Isaiah 43:4)-c1	497_(Isaiah 43:4)-c1	shur	4.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
503_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	Nisha	1.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
503_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	AndreaMariaC	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
503_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	shur	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
497_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	AndreaMariaC	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
497_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	Nisha	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
501_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	AndreaMariaC	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
501_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	Nisha	2.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
501_(Isaiah 43:4)-c2	497_(Isaiah 43:4)-c1	shur	3.0		you_are_precious_in_my_eyes_and_honored_and_I_love_you	
