identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
486_(Luke 17:3)-c1	485_(Luke 17:3)-c2	AndreaMariaC	-0.609858905356672		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
488_(Luke 17:3)-c2	485_(Luke 17:3)-c2	AndreaMariaC	0.7731904480439878		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
489_(Luke 17:3)-c1	485_(Luke 17:3)-c2	AndreaMariaC	-0.609858905356672		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
494_(Luke 17:3)-c2	485_(Luke 17:3)-c2	AndreaMariaC	0.7731904480439878		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
494_(Luke 17:3)-c1	485_(Luke 17:3)-c2	AndreaMariaC	-0.609858905356672		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
483_(Luke 17:3)-c1	485_(Luke 17:3)-c2	AndreaMariaC	0.7731904480439878		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
492_(Luke 17:3)-c1	485_(Luke 17:3)-c2	AndreaMariaC	-0.609858905356672		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
483_(Luke 17:3)-c2	485_(Luke 17:3)-c2	AndreaMariaC	-0.609858905356672		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
485_(Luke 17:3)-c1	485_(Luke 17:3)-c2	AndreaMariaC	-0.609858905356672		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
487_(Luke 17:3)-c2	485_(Luke 17:3)-c2	AndreaMariaC	-0.609858905356672		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
481_(Luke 17:3)-c2	485_(Luke 17:3)-c2	AndreaMariaC	-0.609858905356672		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
493_(Luke 17:3)-c1	485_(Luke 17:3)-c2	AndreaMariaC	-0.609858905356672		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
484_(Luke 17:3)-c1	485_(Luke 17:3)-c2	AndreaMariaC	-0.609858905356672		Take_heed_to_yourselves._If_your_brother_sins_against_you_rebuke_him;_and_if_he_repents_forgive_him	
