identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
401_(Matthew 18:22)-c2	394_(Matthew 18:22)-c2	Nisha	3.0		Seventy_times_seven	
401_(Matthew 18:22)-c2	394_(Matthew 18:22)-c2	AndreaMariaC	3.0		Seventy_times_seven	
404_(Matthew 18:22)-c1	394_(Matthew 18:22)-c2	Nisha	2.0		Seventy_times_seven	
404_(Matthew 18:22)-c1	394_(Matthew 18:22)-c2	AndreaMariaC	2.0		Seventy_times_seven	
392_(Matthew 18:22)-c2	394_(Matthew 18:22)-c2	Nisha	1.0		Seventy_times_seven	
392_(Matthew 18:22)-c2	394_(Matthew 18:22)-c2	AndreaMariaC	2.0		Seventy_times_seven	
392_(Matthew 18:22)-c2	394_(Matthew 18:22)-c2	shur	1.0		Seventy_times_seven	
395_(Matthew 18:22)-c1	394_(Matthew 18:22)-c2	Nisha	3.0		Seventy_times_seven	
395_(Matthew 18:22)-c1	394_(Matthew 18:22)-c2	AndreaMariaC	4.0		Seventy_times_seven	
400_(Matthew 18:22)-c2	394_(Matthew 18:22)-c2	AndreaMariaC	3.0		Seventy_times_seven	
400_(Matthew 18:22)-c2	394_(Matthew 18:22)-c2	Nisha	2.0		Seventy_times_seven	
400_(Matthew 18:22)-c1	394_(Matthew 18:22)-c2	AndreaMariaC	3.0		Seventy_times_seven	
400_(Matthew 18:22)-c1	394_(Matthew 18:22)-c2	Nisha	2.0		Seventy_times_seven	
400_(Matthew 18:22)-c1	394_(Matthew 18:22)-c2	shur	1.0		Seventy_times_seven	
393_(Matthew 18:22)-c2	394_(Matthew 18:22)-c2	Nisha	3.0		Seventy_times_seven	
393_(Matthew 18:22)-c2	394_(Matthew 18:22)-c2	AndreaMariaC	3.0		Seventy_times_seven	
393_(Matthew 18:22)-c2	394_(Matthew 18:22)-c2	shur	1.0		Seventy_times_seven	
405_(Matthew 18:22)-c2	394_(Matthew 18:22)-c2	AndreaMariaC	2.0		Seventy_times_seven	
405_(Matthew 18:22)-c2	394_(Matthew 18:22)-c2	Nisha	1.0		Seventy_times_seven	
405_(Matthew 18:22)-c2	394_(Matthew 18:22)-c2	shur	1.0		Seventy_times_seven	
394_(Matthew 18:22)-c1	394_(Matthew 18:22)-c2	Nisha	2.0		Seventy_times_seven	
394_(Matthew 18:22)-c1	394_(Matthew 18:22)-c2	AndreaMariaC	3.0		Seventy_times_seven	
405_(Matthew 18:22)-c1	394_(Matthew 18:22)-c2	AndreaMariaC	3.0		Seventy_times_seven	
405_(Matthew 18:22)-c1	394_(Matthew 18:22)-c2	Nisha	3.0		Seventy_times_seven	
405_(Matthew 18:22)-c1	394_(Matthew 18:22)-c2	shur	1.0		Seventy_times_seven	
401_(Matthew 18:22)-c2	396_(Matthew 18:22)-c1	Nisha	3.0		Seventy_times_seven	
401_(Matthew 18:22)-c2	396_(Matthew 18:22)-c1	AndreaMariaC	3.0		Seventy_times_seven	
401_(Matthew 18:22)-c2	396_(Matthew 18:22)-c1	shur	3.0		Seventy_times_seven	
392_(Matthew 18:22)-c2	396_(Matthew 18:22)-c1	Nisha	1.0		Seventy_times_seven	
392_(Matthew 18:22)-c2	396_(Matthew 18:22)-c1	AndreaMariaC	2.0		Seventy_times_seven	
392_(Matthew 18:22)-c2	396_(Matthew 18:22)-c1	shur	1.0		Seventy_times_seven	
395_(Matthew 18:22)-c2	396_(Matthew 18:22)-c1	Nisha	3.0		Seventy_times_seven	
395_(Matthew 18:22)-c2	396_(Matthew 18:22)-c1	AndreaMariaC	3.0		Seventy_times_seven	
395_(Matthew 18:22)-c1	396_(Matthew 18:22)-c1	AndreaMariaC	3.0		Seventy_times_seven	
395_(Matthew 18:22)-c1	396_(Matthew 18:22)-c1	Nisha	4.0		Seventy_times_seven	
395_(Matthew 18:22)-c1	396_(Matthew 18:22)-c1	shur	2.0		Seventy_times_seven	
401_(Matthew 18:22)-c1	396_(Matthew 18:22)-c1	AndreaMariaC	3.0		Seventy_times_seven	
401_(Matthew 18:22)-c1	396_(Matthew 18:22)-c1	Nisha	3.0		Seventy_times_seven	
401_(Matthew 18:22)-c1	396_(Matthew 18:22)-c1	shur	2.0		Seventy_times_seven	
401_(Matthew 18:22)-c2	397_(Matthew 18:22)-c2	Nisha	2.0		Seventy_times_seven	
401_(Matthew 18:22)-c2	397_(Matthew 18:22)-c2	AndreaMariaC	3.0		Seventy_times_seven	
401_(Matthew 18:22)-c2	397_(Matthew 18:22)-c2	shur	1.0		Seventy_times_seven	
402_(Matthew 18:22)-c2	397_(Matthew 18:22)-c2	Nisha	2.0		Seventy_times_seven	
402_(Matthew 18:22)-c2	397_(Matthew 18:22)-c2	AndreaMariaC	2.0		Seventy_times_seven	
402_(Matthew 18:22)-c1	397_(Matthew 18:22)-c2	Nisha	2.0		Seventy_times_seven	
402_(Matthew 18:22)-c1	397_(Matthew 18:22)-c2	AndreaMariaC	2.0		Seventy_times_seven	
401_(Matthew 18:22)-c1	397_(Matthew 18:22)-c2	Nisha	2.0		Seventy_times_seven	
401_(Matthew 18:22)-c1	397_(Matthew 18:22)-c2	AndreaMariaC	3.0		Seventy_times_seven	
401_(Matthew 18:22)-c1	397_(Matthew 18:22)-c2	shur	2.0		Seventy_times_seven	
400_(Matthew 18:22)-c1	397_(Matthew 18:22)-c2	AndreaMariaC	3.0		Seventy_times_seven	
400_(Matthew 18:22)-c1	397_(Matthew 18:22)-c2	Nisha	2.0		Seventy_times_seven	
400_(Matthew 18:22)-c1	397_(Matthew 18:22)-c2	shur	2.0		Seventy_times_seven	
404_(Matthew 18:22)-c2	397_(Matthew 18:22)-c2	AndreaMariaC	2.0		Seventy_times_seven	
404_(Matthew 18:22)-c2	397_(Matthew 18:22)-c2	Nisha	1.0		Seventy_times_seven	
401_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	Nisha	2.0		Seventy_times_seven	
401_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	AndreaMariaC	3.0		Seventy_times_seven	
404_(Matthew 18:22)-c1	394_(Matthew 18:22)-c1	Nisha	2.0		Seventy_times_seven	
404_(Matthew 18:22)-c1	394_(Matthew 18:22)-c1	AndreaMariaC	3.0		Seventy_times_seven	
396_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	Nisha	1.0		Seventy_times_seven	
396_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	AndreaMariaC	3.0		Seventy_times_seven	
396_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	shur	1.0		Seventy_times_seven	
402_(Matthew 18:22)-c1	394_(Matthew 18:22)-c1	AndreaMariaC	3.0		Seventy_times_seven	
402_(Matthew 18:22)-c1	394_(Matthew 18:22)-c1	Nisha	3.0		Seventy_times_seven	
402_(Matthew 18:22)-c1	394_(Matthew 18:22)-c1	shur	4.0		Seventy_times_seven	
397_(Matthew 18:22)-c1	394_(Matthew 18:22)-c1	Nisha	3.0		Seventy_times_seven	
397_(Matthew 18:22)-c1	394_(Matthew 18:22)-c1	AndreaMariaC	3.0		Seventy_times_seven	
395_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	AndreaMariaC	3.0		Seventy_times_seven	
395_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	Nisha	3.0		Seventy_times_seven	
400_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	AndreaMariaC	2.0		Seventy_times_seven	
400_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	Nisha	3.0		Seventy_times_seven	
404_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	Nisha	1.0		Seventy_times_seven	
404_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	AndreaMariaC	2.0		Seventy_times_seven	
404_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	shur	1.0		Seventy_times_seven	
393_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	AndreaMariaC	4.0		Seventy_times_seven	
393_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	Nisha	3.0		Seventy_times_seven	
393_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	shur	2.0		Seventy_times_seven	
399_(Matthew 18:22)-c2	394_(Matthew 18:22)-c1	AndreaMariaC	3.0		Seventy_times_seven	
