lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Love_is_patient_love_is_kind				210_(1 Corinthians 13:4)-c1		Love is a flame that burns so bright. It fills our hearts with pure delight. It's a feeling that we can't ignore. A force that we can't help but adore. Love is patient, love is kind. It's a bond that's hard to find. So cherish love, and hold it dear. For it's a gift that's always near	152:181	0:285
Love_is_patient_love_is_kind				212_(1 Corinthians 13:4)-c1		The antidote for narcissism is love. Love is patient, love is kind, is humble, seeks the welfare of others, sacrificing of self.	37:66	0:128
Love_is_patient_love_is_kind				223_(1 Corinthians 13:4)-c2		Love is patient, Love is kind.  Even if I find it near impossible to love my wife - God doesn't.  So patient and kind is my goal.	0:29	0:129
Love_is_patient_love_is_kind				214_(1 Corinthians 13:4)-c1		Love is eternal, indestructible, and always worth fighting for. Love is patient, love is kind, and love endures forever. Father's rights are God-given.	64:93	0:151
Love_is_patient_love_is_kind				211_(1 Corinthians 13:4)-c2		Love is patient, love is kind. It does not envy, it does not boast, it is not proud. I love you so much dear. Keep moving forward in life... Everything gonna be okay in due time my baby 	0:29	0:186
Love_is_patient_love_is_kind				220_(1 Corinthians 13:4)-c1		Love is patient, love is kind, and what our loves express is true. No amount of tragedy can tear, or break the love I have for you	0:29	0:130
Love_is_patient_love_is_kind				212_(1 Corinthians 13:4)-c2		Dammit Elon, help me help you. I love you. Stop being impatient with with me. Love is patient, love is kind.	78:107	0:108
Love_is_patient_love_is_kind				221_(1 Corinthians 13:4)-c1		Of course, love is patient, love is kind but also temperamental. Even mutual love is seasonal. Love has its moments, moments that can make us question it. I'm still learning that love is not an assumption, it's a practice	11:40	0:221
Love_is_patient_love_is_kind				220_(1 Corinthians 13:4)-c2		Love is patient, love is kind. It does not envy, it does not boast, it is not proud. It does not dishonor others, it is not self-seeking, it is not easily angered, IT KEEPS NO RECORD OF WRONGS. Forgive me dear, I love you	0:29	0:221
Love_is_patient_love_is_kind				219_(1 Corinthians 13:4)-c2		Love is patient, love is kind... but mostly patient. Love you babe!! Happy 6 years of marriage today!!	0:29	0:102
Love_is_patient_love_is_kind				224_(1 Corinthians 13:4)-c2		Let all that you do be done in love. Love is that gift from God that binds everything together in perfect harmony. Good night, my dearest darlings. Don't forget to live and love. Remember: love is patient, love is kind	189:218	0:218
Love_is_patient_love_is_kind				213_(1 Corinthians 13:4)-c1		Love is patient, love is kind. Love comes in many different forms. I'm thankful for the realistic love my husband and I have. It's not like in every movie, but it's real. We lack materialism, and it works for us. It was love at first sight for us!	0:29	0:247
Love_is_patient_love_is_kind				213_(1 Corinthians 13:4)-c2		To my wife, I love you!  Love is patient, love is kind.	25:54	0:55
Love_is_patient_love_is_kind				221_(1 Corinthians 13:4)-c2		love is kind and patient, does not seek applause, expects nothing in return, does not bend downward, love is like the wind, you cannot see it, but you feel it	0:24	0:158
Love_is_patient_love_is_kind				214_(1 Corinthians 13:4)-c2		Love is patient, love is kind. Love always forgives, trusts, supports, and endures. Love never fails. When every star in the heavens grows cold, and when silence lies once more on the face of the deep, three things will endure: faith, hope, and love.	0:29	0:250
Love_is_patient_love_is_kind				215_(1 Corinthians 13:4)-c2		Love is patient, love is kind, love is forgiving. Love openly and freely don't keep it behind closed doors. Be with someone who loves and appreciates you for exactly who you are!!	0:29	0:179
Love_is_patient_love_is_kind				216_(1 Corinthians 13:4)-c1		Love is patient, love is kind. Love is to tolerate your wife. Love you babe	0:29	0:75
Love_is_patient_love_is_kind				211_(1 Corinthians 13:4)-c1		Love is the greatest gift of all. Love is patient, love is kind, peaceful, unconditional and unforgettable. Love heals.	34:63	0:119
Love_is_patient_love_is_kind				219_(1 Corinthians 13:4)-c1		There's the Love and Patience we have for each other then there's Love & Patience we have for others. Kinda the same... yet different. The heart will always wait for what it wants. even if it's painful. Love Changes! Love is Patient, love is Kind. Trust me... it will be worth the wait.	217:246	0:286
Love_is_patient_love_is_kind				217_(1 Corinthians 13:4)-c2		Love is caring for someone or a thing. It's a universal language that cuts across traditions, and cultures. We speak it daily. Love is patient, love is kind	127:156	0:156
