lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				49_(Solomon 4:7)-c1		Your beauty is a reflection of the love and light that reside within you. Let that love illuminate the world and touch the lives of those around you. You are altogether beautiful, my darling; there is no flaw in you. #BeautyLightsUpTheWorld #SpreadLoveAndLight	150:215	0:260
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				55_(Solomon 4:7)-c1		In a world that tries to define beauty, hold on to this: You are altogether beautiful, my darling; there is no flaw in you. Your uniqueness is your superpower! ✨ #UniqueBeauty #Strength	57:122	0:185
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				56_(Solomon 4:7)-c1		To any woman struggling with insecurities... You are altogether beautiful, my darling; there is no flaw in you. God loves you, you are worthy.	45:110	0:142
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				57_(Solomon 4:7)-c1		Girl: But what is in me that you like? Boy: You are altogether beautiful, my darling; there is no flaw in you. Girl: But I'm not beautiful. Boy: Charm is deceptive, and beauty is fleeting; but a woman who fears the Lord is to be praised.	44:109	0:237
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				50_(Solomon 4:7)-c2		You are altogether beautiful, my darling; there is no flaw in you. 😍😍❤️Women, a Beautiful heart makes anyone Beautiful!	0:65	0:119
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				48_(Solomon 4:7)-c1		Society's standards may try to define beauty, but remember that you are the author of your own beauty narrative. Celebrate your uniqueness, for it sets you apart and makes you shine. You are altogether beautiful, my darling; there is no flaw in you. #WriteYourBeautyStory #BeYourself	183:248	0:283
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				46_(Solomon 4:7)-c1		You are altogether beautiful, my darling; there is no flaw in you. Embrace your unique beauty with confidence.	0:65	0:110
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				50_(Solomon 4:7)-c1		ladies if you have a BODY then you have a bikini BODY. You are altogether beautiful, my darling; there is no flaw in you. Says the one true king!!! ✨✨	55:120	0:150
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				59_(Solomon 4:7)-c2		You are altogether beautiful, there is no flaw in you. International Women's Day (2023). Innovation and technological change, & education in the digital age for achieving gender equality & the empowerment of all women & girls. #InternationalWomensDay #IWD #IWD2023	0:65	0:264
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				53_(Solomon 4:7)-c1		Solomon to his girl: You are altogether beautiful, my darling; there is no flaw in you. Love attributes flawlessness to the beloved. One of two things is true: 1. We must beautify ourselves to earn God's love; 2. God already loves us and beautifies us by His love	21:86	0:263
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				47_(Solomon 4:7)-c2		Life's journey shapes us into the extraordinary beings we are today. Embrace every experience, for they add depth and richness to your unique beauty. You are altogether beautiful, my darling; there is no flaw in you. #JourneyOfBeauty #StrengthInAdversity	150:215	0:254
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				53_(Solomon 4:7)-c2		Happy International Women’s Day to all the Princess’ and Queens!! 💋 You are altogether beautiful, my darling; there is no flaw in you	68:133	0:133
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				47_(Solomon 4:7)-c1		Comparison is the thief of joy, and each of us possesses a captivating beauty that is uniquely our own. Celebrate your individuality and embrace the beauty that radiates from within. You are altogether beautiful, my darling; there is no flaw in you. #UniqueBeauty #SelfLoveJourney	183:248	0:280
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				57_(Solomon 4:7)-c2		Happy International Women's Day! As a woman I need the reminder: I am Beautiful: You are altogether beautiful, my darling; there is no flaw in you.	81:146	0:147
You_are_altogether_beautiful_my_darling;_there_is_no_flaw_in_you				49_(Solomon 4:7)-c2		You are altogether beautiful, my darling; there is no flaw in you. Charm is deceitful, and beauty is vain, but a woman who fears the Lord is to be praised	0:65	0:154
