instanceID	label	comment	annotator
pair_78_(Hosea 8:7)	1		francesco.periti
pair_138_(Hosea 8:7)	1		francesco.periti
pair_99_(Hosea 8:7)	1		francesco.periti
pair_70_(Hosea 8:7)	1		francesco.periti
pair_20_(Hosea 8:7)	1		francesco.periti
pair_141_(Hosea 8:7)	1		francesco.periti
pair_107_(Hosea 8:7)	3		francesco.periti
pair_88_(Hosea 8:7)	4		francesco.periti
pair_133_(Hosea 8:7)	4		francesco.periti
pair_4_(Hosea 8:7)	4		francesco.periti
pair_5_(1 Timothy 2:12)	4		francesco.periti
pair_65_(1 Timothy 2:12)	4		francesco.periti
pair_58_(1 Timothy 2:12)	4		francesco.periti
pair_132_(1 Timothy 2:12)	4		francesco.periti
pair_121_(1 Timothy 2:12)	3		francesco.periti
pair_100_(1 Timothy 2:12)	3		francesco.periti
pair_104_(1 Timothy 2:12)	1		francesco.periti
pair_75_(1 Timothy 2:12)	1		francesco.periti
pair_76_(1 Timothy 2:12)	1		francesco.periti
pair_25_(1 Timothy 2:12)	1		francesco.periti
pair_51_(Matthew 7:1)	1		francesco.periti
pair_145_(Matthew 7:1)	1		francesco.periti
pair_48_(Matthew 7:1)	1		francesco.periti
pair_53_(Matthew 7:1)	2		francesco.periti
pair_79_(Matthew 7:1)	2		francesco.periti
pair_125_(Matthew 7:1)	3		francesco.periti
pair_17_(Matthew 7:1)	3		francesco.periti
pair_34_(Matthew 7:1)	4		francesco.periti
pair_126_(Matthew 7:1)	4		francesco.periti
pair_72_(Matthew 7:1)	4		francesco.periti
pair_47_(1 Corinthians 13:4)	1		francesco.periti
pair_101_(1 Corinthians 13:4)	1		francesco.periti
pair_107_(1 Corinthians 13:4)	1		francesco.periti
pair_4_(1 Corinthians 13:4)	2		francesco.periti
pair_66_(1 Corinthians 13:4)	2		francesco.periti
pair_69_(1 Corinthians 13:4)	3		francesco.periti
pair_129_(1 Corinthians 13:4)	3		francesco.periti
pair_114_(1 Corinthians 13:4)	4		francesco.periti
pair_96_(1 Corinthians 13:4)	4		francesco.periti
pair_85_(1 Corinthians 13:4)	4		francesco.periti
pair_26_(Ephesians 5:25)	4		francesco.periti
pair_110_(Ephesians 5:25)	3		francesco.periti
pair_140_(Ephesians 5:25)	3		francesco.periti
pair_3_(Ephesians 5:25)	3		francesco.periti
pair_109_(Ephesians 5:25)	3		francesco.periti
pair_121_(Ephesians 5:25)	3		francesco.periti
pair_43_(Ephesians 5:25)	2		francesco.periti
pair_0_(Ephesians 5:25)	2		francesco.periti
pair_90_(Ephesians 5:25)	1		francesco.periti
pair_113_(Ephesians 5:25)	1		francesco.periti
pair_80_(John 8:32)	3		francesco.periti
pair_18_(John 8:32)	3		francesco.periti
pair_37_(John 8:32)	3		francesco.periti
pair_61_(John 8:32)	3		francesco.periti
pair_49_(John 8:32)	1		francesco.periti
pair_2_(John 8:32)	1		francesco.periti
pair_8_(John 8:32)	1		francesco.periti
pair_77_(John 8:32)	1		francesco.periti
pair_139_(John 8:32)	1		francesco.periti
pair_114_(John 8:32)	1		francesco.periti
pair_115_(1 Samuel 16:7)	4		francesco.periti
pair_138_(1 Samuel 16:7)	2		francesco.periti
pair_58_(1 Samuel 16:7)	2		francesco.periti
pair_100_(1 Samuel 16:7)	1		francesco.periti
pair_27_(1 Samuel 16:7)	3		francesco.periti
pair_97_(1 Samuel 16:7)	3		francesco.periti
pair_137_(1 Samuel 16:7)	3		francesco.periti
pair_3_(1 Samuel 16:7)	1		francesco.periti
pair_24_(1 Samuel 16:7)	1		francesco.periti
pair_57_(1 Samuel 16:7)	1		francesco.periti
pair_59_(2 Corinthians 5:7)	4		francesco.periti
pair_66_(2 Corinthians 5:7)	2		francesco.periti
pair_36_(2 Corinthians 5:7)	3		francesco.periti
pair_75_(2 Corinthians 5:7)	1		francesco.periti
pair_124_(2 Corinthians 5:7)	1		francesco.periti
pair_116_(2 Corinthians 5:7)	4		francesco.periti
pair_19_(2 Corinthians 5:7)	2		francesco.periti
pair_21_(2 Corinthians 5:7)	4		francesco.periti
pair_32_(2 Corinthians 5:7)	4		francesco.periti
pair_113_(2 Corinthians 5:7)	3		francesco.periti
pair_122_(Jeremiah 17:9)	1		francesco.periti
pair_32_(Jeremiah 17:9)	1		francesco.periti
pair_49_(Jeremiah 17:9)	1		francesco.periti
pair_71_(Jeremiah 17:9)	1		francesco.periti
pair_0_(Jeremiah 17:9)	1		francesco.periti
pair_130_(Jeremiah 17:9)	2		francesco.periti
pair_55_(Jeremiah 17:9)	3		francesco.periti
pair_70_(Jeremiah 17:9)	3		francesco.periti
pair_73_(Jeremiah 17:9)	4		francesco.periti
pair_116_(Jeremiah 17:9)	4		francesco.periti
pair_20_(Exodus 20:3)	4		francesco.periti
pair_84_(Exodus 20:3)	4		francesco.periti
pair_99_(Exodus 20:3)	4		francesco.periti
pair_48_(Exodus 20:3)	1		francesco.periti
pair_25_(Exodus 20:3)	1		francesco.periti
pair_56_(Exodus 20:3)	1		francesco.periti
pair_128_(Exodus 20:3)	1		francesco.periti
pair_47_(Exodus 20:3)	2		francesco.periti
pair_112_(Exodus 20:3)	1		francesco.periti
pair_130_(Exodus 20:3)	1		francesco.periti
pair_105_(Genesis 1:1)	4		francesco.periti
pair_80_(Genesis 1:1)	4		francesco.periti
pair_8_(Genesis 1:1)	4		francesco.periti
pair_88_(Genesis 1:1)	4		francesco.periti
pair_2_(Genesis 1:1)	1		francesco.periti
pair_87_(Genesis 1:1)	2		francesco.periti
pair_97_(Genesis 1:1)	1		francesco.periti
pair_89_(Genesis 1:1)	4		francesco.periti
pair_34_(Genesis 1:1)	4		francesco.periti
pair_43_(Genesis 1:1)	1		francesco.periti
pair_9_(Hebrews 11:1)	4		francesco.periti
pair_34_(Hebrews 11:1)	3		francesco.periti
pair_13_(Hebrews 11:1)	2		francesco.periti
