instanceID	dataIDs	label_set	non_label
pair_0_(1 Samuel 16:7)	144_(1 Samuel 16:7)-c1,147_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_1_(1 Samuel 16:7)	136_(1 Samuel 16:7)-c1,138_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_2_(1 Samuel 16:7)	137_(1 Samuel 16:7)-c2,142_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_3_(1 Samuel 16:7)	136_(1 Samuel 16:7)-c1,136_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_4_(1 Samuel 16:7)	147_(1 Samuel 16:7)-c1,148_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_5_(1 Samuel 16:7)	143_(1 Samuel 16:7)-c2,138_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_6_(1 Samuel 16:7)	139_(1 Samuel 16:7)-c2,146_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_7_(1 Samuel 16:7)	143_(1 Samuel 16:7)-c1,140_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_8_(1 Samuel 16:7)	137_(1 Samuel 16:7)-c2,136_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_9_(1 Samuel 16:7)	145_(1 Samuel 16:7)-c2,147_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_10_(1 Samuel 16:7)	149_(1 Samuel 16:7)-c2,144_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_11_(1 Samuel 16:7)	137_(1 Samuel 16:7)-c2,135_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_12_(1 Samuel 16:7)	141_(1 Samuel 16:7)-c2,144_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_13_(1 Samuel 16:7)	136_(1 Samuel 16:7)-c2,142_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_14_(1 Samuel 16:7)	145_(1 Samuel 16:7)-c2,135_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_15_(1 Samuel 16:7)	136_(1 Samuel 16:7)-c2,137_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_16_(1 Samuel 16:7)	143_(1 Samuel 16:7)-c2,144_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_17_(1 Samuel 16:7)	141_(1 Samuel 16:7)-c1,146_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_18_(1 Samuel 16:7)	138_(1 Samuel 16:7)-c1,145_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_19_(1 Samuel 16:7)	149_(1 Samuel 16:7)-c2,136_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_20_(1 Samuel 16:7)	135_(1 Samuel 16:7)-c2,137_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_21_(1 Samuel 16:7)	136_(1 Samuel 16:7)-c2,146_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_22_(1 Samuel 16:7)	144_(1 Samuel 16:7)-c1,145_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_23_(1 Samuel 16:7)	139_(1 Samuel 16:7)-c1,135_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_24_(1 Samuel 16:7)	145_(1 Samuel 16:7)-c2,143_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_25_(1 Samuel 16:7)	139_(1 Samuel 16:7)-c2,141_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_26_(1 Samuel 16:7)	136_(1 Samuel 16:7)-c1,138_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_27_(1 Samuel 16:7)	148_(1 Samuel 16:7)-c1,141_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_28_(1 Samuel 16:7)	139_(1 Samuel 16:7)-c2,146_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_29_(1 Samuel 16:7)	136_(1 Samuel 16:7)-c1,137_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_30_(1 Samuel 16:7)	147_(1 Samuel 16:7)-c1,137_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_31_(1 Samuel 16:7)	140_(1 Samuel 16:7)-c1,136_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_32_(1 Samuel 16:7)	140_(1 Samuel 16:7)-c2,136_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_33_(1 Samuel 16:7)	145_(1 Samuel 16:7)-c2,140_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_34_(1 Samuel 16:7)	139_(1 Samuel 16:7)-c1,140_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_35_(1 Samuel 16:7)	148_(1 Samuel 16:7)-c2,146_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_36_(1 Samuel 16:7)	145_(1 Samuel 16:7)-c2,138_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_37_(1 Samuel 16:7)	149_(1 Samuel 16:7)-c2,149_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_38_(1 Samuel 16:7)	138_(1 Samuel 16:7)-c1,135_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_39_(1 Samuel 16:7)	144_(1 Samuel 16:7)-c1,136_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_40_(1 Samuel 16:7)	141_(1 Samuel 16:7)-c2,145_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_41_(1 Samuel 16:7)	137_(1 Samuel 16:7)-c2,146_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_42_(1 Samuel 16:7)	136_(1 Samuel 16:7)-c1,146_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_43_(1 Samuel 16:7)	147_(1 Samuel 16:7)-c1,138_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_44_(1 Samuel 16:7)	145_(1 Samuel 16:7)-c2,140_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_45_(1 Samuel 16:7)	139_(1 Samuel 16:7)-c2,138_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_46_(1 Samuel 16:7)	144_(1 Samuel 16:7)-c1,146_(1 Samuel 16:7)-c1	1,2,3,4	-
pair_47_(1 Samuel 16:7)	135_(1 Samuel 16:7)-c2,147_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_48_(1 Samuel 16:7)	141_(1 Samuel 16:7)-c1,144_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_49_(1 Samuel 16:7)	139_(1 Samuel 16:7)-c1,138_(1 Samuel 16:7)-c2	1,2,3,4	-
pair_50_(1 Samuel 16:7)	140_(1 Samuel 16:7)-c1,148_(1 Samuel 16:7)-c2	1,2,3,4	-
