dataID	context	indices_target_token	indices_target_sentence	lemma
0_(1 Timothy 2:12)-c2	I love my female pastor. She preaches happy, joy, joy, love, love. Who made the rules about who can be a pastor? "But I suffer not a woman to teach, nor to usurp authority over a man, but to be in silence."	114:171	0:206	But I suffer not a woman to teach, nor to usurp authority
9_(1 Timothy 2:12)-c2	"But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence." You shouldn't base your belief and faith off of women who is supposed to be quiet	1:58	0:177	But I suffer not a woman to teach, nor to usurp authority
4_(1 Timothy 2:12)-c1	I think it's time for all of us to help Lauren remember her duty as a Christian woman to just stop talking. Per her Bible, But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. I sort of want this to become a thing, LOL.	123:180	0:260	But I suffer not a woman to teach, nor to usurp authority
8_(1 Timothy 2:12)-c2	But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. Let a woman learn quietly with all submissiveness. I do not permit a woman to teach or to exercise authority over a man; rather, she is to remain quiet.	0:57	0:246	But I suffer not a woman to teach, nor to usurp authority
11_(1 Timothy 2:12)-c1	Why women would never be equal in Christian thought in 1 quote 👇 Let the woman learn in silence with all subjection. But I suffer not a woman to teach, nor to usurp authority over the man...	117:174	0:190	But I suffer not a woman to teach, nor to usurp authority
12_(1 Timothy 2:12)-c2	But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. Suffer means Allow. Woman means Not a man. Teach means Instruct. Usurp means Steal, Defraud. Silence mean 'Ladies, shut your mouth'. THIS ONE VERSE would CURE feminism, quell gossip, and stop emotionalism.	0:57	0:299	But I suffer not a woman to teach, nor to usurp authority
14_(1 Timothy 2:12)-c2	But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. Zip your lips lady.	0:57	0:113	But I suffer not a woman to teach, nor to usurp authority
10_(1 Timothy 2:12)-c1	What saith the scriptures. But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. Not to teach. To be silent! So please, be silent.	27:84	0:170	But I suffer not a woman to teach, nor to usurp authority
1_(1 Timothy 2:12)-c2	Amen! Men and Women are equal but not the same. God created them equally in His image. But He gave them different but equally valuable functions in His kingdom🙏🏼❤️ But I suffer not a woman to teach, nor to usurp authority over a man, but to be in silence. 	164:221	0:256	But I suffer not a woman to teach, nor to usurp authority
2_(1 Timothy 2:12)-c2	How about YOU accept that your religion was made for a different time. But I suffer not a woman to teach, nor to usurp authority over a man; rather, she is to remain quiet. That's not a good mentality. All humans are equal, female or not, and your god is wrong about that.	71:128	0:272	But I suffer not a woman to teach, nor to usurp authority
7_(1 Timothy 2:12)-c1	But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. No wonder faith is on the decline when christian women don't know how to hold their tongue	0:57	0:184	But I suffer not a woman to teach, nor to usurp authority
6_(1 Timothy 2:12)-c2	Watch your tongue, blasphemer. You're not supposed to talk to a man. Remember 1 Timothy 2:12: But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence.	94:151	0:187	But I suffer not a woman to teach, nor to usurp authority
10_(1 Timothy 2:12)-c2	Oh you like the Bible huh? But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. So why don't you shut your mouth and get back in the kitchen like the Bible says	27:84	0:201	But I suffer not a woman to teach, nor to usurp authority
12_(1 Timothy 2:12)-c1	Yes. Definitely share the word. Men and women are equal in God's eyes. But there is order: But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. 	91:148	0:185	But I suffer not a woman to teach, nor to usurp authority
11_(1 Timothy 2:12)-c2	Woman you are not allowed to talk back to a man. Stay silent as your god wanted and remember: But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence.	94:151	0:187	But I suffer not a woman to teach, nor to usurp authority
5_(1 Timothy 2:12)-c1	But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. So, y'know, I'd say that part of the Bible sucks, but I'm not a hostile bigot so I have those advantages. You don't, so you have to stop talking.	0:57	0:239	But I suffer not a woman to teach, nor to usurp authority
0_(1 Timothy 2:12)-c1	Shut up and learn your place woman. But I suffer not a woman to teach, nor to usurp authority over a man, but to be in silence	36:93	0:126	But I suffer not a woman to teach, nor to usurp authority
4_(1 Timothy 2:12)-c2	All women preachers are false prophets but people would rather skip these verses: "But I suffer not a woman to teach, nor to usurp authority over the man". Let your women keep silence in the churches: for it is not permitted unto them to speak.	83:140	0:244	But I suffer not a woman to teach, nor to usurp authority
3_(1 Timothy 2:12)-c1	But I suffer not a woman to teach, nor to usurp authority over a man, but to be in silence. In other words, sit down and stay mute. See, I can cherry-pick the Bible to make my points, too!	0:57	0:188	But I suffer not a woman to teach, nor to usurp authority
8_(1 Timothy 2:12)-c1	I do not permit a woman to teach or to exercise authority over a man; rather, she is to remain quiet. But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence.	102:159	0:195	But I suffer not a woman to teach, nor to usurp authority
5_(1 Timothy 2:12)-c2	Did your husband give you permission to tweet this? Stay silient lady! "But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence."	72:129	0:166	But I suffer not a woman to teach, nor to usurp authority
9_(1 Timothy 2:12)-c1	In my opinion, women are the crown/cream of the crop and lack nothing in smartness/ capabilities. But an overseer/ elder is not a role appointed to her in the Lord's church. "But I suffer not a woman to teach, nor to usurp authority over the man"	175:232	0:246	But I suffer not a woman to teach, nor to usurp authority
3_(1 Timothy 2:12)-c2	In spite of English translations of gender neutral terms to male terms, 1 Timothy does not say that church overseers, pastors and deacons must be male. My latest blog goes into depth #empoweringwomen based on: 'But I suffer not a woman to teach, nor to usurp authority...'	211:268	0:272	But I suffer not a woman to teach, nor to usurp authority
2_(1 Timothy 2:12)-c1	The bible says women should zip the lips: But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. I personally believe in equality for women.. but be a good Christian and shush	42:99	0:214	But I suffer not a woman to teach, nor to usurp authority
14_(1 Timothy 2:12)-c1	But I suffer not a woman to teach, nor to usurp authority over a man... says something different. Women can be equal without access to same positions of authority. God is a God of order. Sin was attributed to Adam though Eve sinned first, and caused Adam to sin. It's clear that man is more accountable and should be in charge.	0:57	0:327	But I suffer not a woman to teach, nor to usurp authority
7_(1 Timothy 2:12)-c2	A real woman would know her place and keep her mouth shut. Either you're a good man or you're disobeying your god. "But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence."	116:173	0:210	But I suffer not a woman to teach, nor to usurp authority
1_(1 Timothy 2:12)-c1	If you're supposed to keep your mouth shut, why are you on Twitter? Pretty selective, aren't you? But I suffer not a woman to teach, nor to usurp authority	98:155	0:155	But I suffer not a woman to teach, nor to usurp authority
6_(1 Timothy 2:12)-c1	But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. Live by the book, died by the book. Time to pipe down, lady.	0:57	0:154	But I suffer not a woman to teach, nor to usurp authority
