instanceID	dataIDs	label_set	non_label
pair_0_(2 Corinthians 5:7)	203_(2 Corinthians 5:7)-c2,208_(2 Corinthians 5:7)-c1	1,2,3,4	-
pair_1_(2 Corinthians 5:7)	199_(2 Corinthians 5:7)-c2,195_(2 Corinthians 5:7)-c2	1,2,3,4	-
pair_2_(2 Corinthians 5:7)	196_(2 Corinthians 5:7)-c2,201_(2 Corinthians 5:7)-c1	1,2,3,4	-
pair_3_(2 Corinthians 5:7)	203_(2 Corinthians 5:7)-c2,205_(2 Corinthians 5:7)-c2	1,2,3,4	-
pair_4_(2 Corinthians 5:7)	208_(2 Corinthians 5:7)-c2,203_(2 Corinthians 5:7)-c1	1,2,3,4	-
pair_5_(2 Corinthians 5:7)	195_(2 Corinthians 5:7)-c1,201_(2 Corinthians 5:7)-c2	1,2,3,4	-
pair_6_(2 Corinthians 5:7)	197_(2 Corinthians 5:7)-c2,198_(2 Corinthians 5:7)-c1	1,2,3,4	-
pair_7_(2 Corinthians 5:7)	208_(2 Corinthians 5:7)-c2,199_(2 Corinthians 5:7)-c1	1,2,3,4	-
pair_8_(2 Corinthians 5:7)	199_(2 Corinthians 5:7)-c1,204_(2 Corinthians 5:7)-c1	1,2,3,4	-
pair_9_(2 Corinthians 5:7)	195_(2 Corinthians 5:7)-c1,200_(2 Corinthians 5:7)-c1	1,2,3,4	-
pair_10_(2 Corinthians 5:7)	197_(2 Corinthians 5:7)-c1,201_(2 Corinthians 5:7)-c1	1,2,3,4	-
pair_11_(2 Corinthians 5:7)	198_(2 Corinthians 5:7)-c2,207_(2 Corinthians 5:7)-c2	1,2,3,4	-
pair_12_(2 Corinthians 5:7)	198_(2 Corinthians 5:7)-c2,208_(2 Corinthians 5:7)-c1	1,2,3,4	-
pair_13_(2 Corinthians 5:7)	196_(2 Corinthians 5:7)-c1,206_(2 Corinthians 5:7)-c2	1,2,3,4	-
pair_14_(2 Corinthians 5:7)	199_(2 Corinthians 5:7)-c1,205_(2 Corinthians 5:7)-c2	1,2,3,4	-
pair_15_(2 Corinthians 5:7)	202_(2 Corinthians 5:7)-c1,203_(2 Corinthians 5:7)-c1	1,2,3,4	-
pair_16_(2 Corinthians 5:7)	202_(2 Corinthians 5:7)-c2,209_(2 Corinthians 5:7)-c1	1,2,3,4	-
pair_17_(2 Corinthians 5:7)	207_(2 Corinthians 5:7)-c1,206_(2 Corinthians 5:7)-c2	1,2,3,4	-
pair_18_(2 Corinthians 5:7)	203_(2 Corinthians 5:7)-c2,204_(2 Corinthians 5:7)-c1	1,2,3,4	-
pair_19_(2 Corinthians 5:7)	203_(2 Corinthians 5:7)-c1,206_(2 Corinthians 5:7)-c1	1,2,3,4	-
pair_20_(2 Corinthians 5:7)	197_(2 Corinthians 5:7)-c2,205_(2 Corinthians 5:7)-c2	1,2,3,4	-
