dataID	context	indices_target_token	indices_target_sentence	lemma
198_(2 Corinthians 5:7)-c2	For we walk by faith, not by sight! The CCP will never understand the power of faith and prayer and it will ultimately be their downfall!	0:34	0:137	For we walk by faith, not by sight
208_(2 Corinthians 5:7)-c2	If you're used to allowing your mind to go everywhere it pleases, meditating on God's Word will require making a new habit. Don't become discouraged if you discover you have good intentions but many failures. The Bible says "For we walk by faith, not by sight." 	225:259	0:262	For we walk by faith, not by sight
202_(2 Corinthians 5:7)-c1	No day is ever "just another day." Each is a step on God's planned journey, full of opportunities. Share your journey, inspire others. Remember, "for we walk by faith, not by sight" Your path is your testimony - let it glow! And for those facing a tough day: You can do this. God's got you! 😍📍 ✨	146:180	0:295	For we walk by faith, not by sight
203_(2 Corinthians 5:7)-c2	For we walk by faith, not by sight. Grateful for the faith path I'm on. Excited to keep improving.	0:34	0:98	For we walk by faith, not by sight
195_(2 Corinthians 5:7)-c1	I AM A FAITH WALKER FOR GOD: The best move that I have ever made was when I walked away from fear and stepped out on FAITH! IT IS WRITTEN: "For we walk by FAITH, not by sight."	140:174	0:176	For we walk by faith, not by sight
200_(2 Corinthians 5:7)-c2	"For we walk by faith, not by sight" Despite all the trouble in the world & the pushing of the anti-God agenda, I stay strong in my faith. I will stay courageous to speak for God & won't back down. 	1:35	0:198	For we walk by faith, not by sight
205_(2 Corinthians 5:7)-c1	"For we walk by faith, not by sight." Keep the faith and trust that God is guiding your path, even when you can't see the way forward	1:35	0:133	For we walk by faith, not by sight
204_(2 Corinthians 5:7)-c2	Good morning! ☀ Your verse for today:"For we walk by faith, not by sight." 🌌 Walking by faith and not by sight requires you to go to a place you do not know, one that God will reveal as you walk in obedience. Just look to Abraham as an example 	38:72	0:244	For we walk by faith, not by sight
199_(2 Corinthians 5:7)-c2	This will forever trap the limitless Self within the limited reflection of the mirror of external reality. "For we walk by faith, not by sight." To walk by Faith, you cannot walk by sight. To Trust is to go beyond the mind, in order to be led by Faith.	108:142	0:252	For we walk by faith, not by sight
197_(2 Corinthians 5:7)-c2	For we walk by faith, not by sight. We relate with God through faith because God is a Spirit and as a result we can not see him. We have to believe in his existence.	0:34	0:165	For we walk by faith, not by sight
207_(2 Corinthians 5:7)-c1	The world cannot remedy anything for anyone. Pride makes us seek mankind's approval or mercy. Humility strives to remain humble & thanks God for the lesson learnt through our trials. "For we walk by faith, not by sight". Follow, not the majority but God's authority!	184:218	0:266	For we walk by faith, not by sight
196_(2 Corinthians 5:7)-c2	Faith enables us to see the invisible, hear the inaudible, believe the incredible and stand against the inevitable. "For we walk by faith, not by sight."	117:151	0:153	For we walk by faith, not by sight
207_(2 Corinthians 5:7)-c2	"For we walk by faith, not by sight." In life, not everything is what it seems. Instead of honing down on how you feel about a specific situation and possibly acting impulsively, take a deep breath and let your faith help you make a better decision.	1:35	0:249	For we walk by faith, not by sight
199_(2 Corinthians 5:7)-c1	You may feel unqualified, uneducated & unworthy, yet those are excellent qualifications for God to do His mighty work in & thru you. Amen! 😍🙌 For we walk by faith, not by sight. What a blessing - to turn from our limitations to the One Who has none!	142:176	0:249	For we walk by faith, not by sight
203_(2 Corinthians 5:7)-c1	Stepping into a new month and quarter calls for some faith refreshers! Tip 1: Don't let what you see shake you! As 2 Corinthians 5:7 says," for we walk by faith, not by sight." God's vision may not align with our current reality, but He sees the finished product.	140:174	0:263	For we walk by faith, not by sight
209_(2 Corinthians 5:7)-c2	Following God's plan is not always easy. When you have faith and trust him, he puts amazing people in your life to fulfill those dreams. "For we walk by faith, not by sight."	138:172	0:174	For we walk by faith, not by sight
196_(2 Corinthians 5:7)-c1	For we walk by faith, not by sight. But also, there's plenty of evidence of the events that happened in the Bible, as well as its prophecies being fulfilled. All testaments to its divine inspiration	0:34	0:198	For we walk by faith, not by sight
206_(2 Corinthians 5:7)-c2	"For we walk by faith, not by sight." Life is a journey & sometimes, it's like walking in fog. We can't see far ahead, and the paths we're to take aren't always clear. But guess what? This is where the beauty of our faith in God comes in.	1:35	0:238	For we walk by faith, not by sight
197_(2 Corinthians 5:7)-c1	For we walk by faith, not by sight. I can't believe people still follow this Q nonsense after all these years. Your little false religion is in direct opposition to God and Christianity.	0:34	0:186	For we walk by faith, not by sight
204_(2 Corinthians 5:7)-c1	Remember: For we walk by faith, not by sight. Deconstruction can feel like walking in the dark, but it's a part of our faith journey. Keep walking, keep seeking. #FaithJourney #2Corinthians	10:44	0:189	For we walk by faith, not by sight
208_(2 Corinthians 5:7)-c1	"For we walk by faith, not by sight."Whatever you are facing today, look to the Word of God, not to your circumstances because breakthrough is on its way!	1:35	0:154	For we walk by faith, not by sight
205_(2 Corinthians 5:7)-c2	FOR WE WALK BY FAITH, NOT BY SIGHT. For those who do it is written, YOU WILL KEEP HIM IN PERFECT PEACE, WHOSE MIND IS STAYED ON YOU, BECAUSE HE TRUSTS IN YOU. 	0:34	0:159	For we walk by faith, not by sight
195_(2 Corinthians 5:7)-c2	2 Corinthians 5:7 is a reminder and exhortation that believers are to "walk by faith, not by sight.""Walk" speaks of how we live our lives, conduct ourselves, behave, and use the time and opportunities God has ordained for us.	71:98	0:226	For we walk by faith, not by sight
201_(2 Corinthians 5:7)-c2	For we walk by faith, not by sight explained: For we walk by faith [we regulate our lives and conduct ourselves by our conviction or belief respecting man's relationship to God and divine things, with trust and holy fervor; thus we walk], not by sight or appearance.	0:34	0:266	For we walk by faith, not by sight
200_(2 Corinthians 5:7)-c1	"For we walk by Faith, not by sight"What does this verse mean to you? To me, Faith is the unwavering light that illuminates our path even in the darkest of times. It's the anchor of God's love that keeps us steady when storms of doubt & fear are raging. With faith, we embrace the uncertain, trusting there is a greater plan. It empowers us to persevere &believe in miracles. Let it be the spark that ignites your spirit, reminding us you're never alone. Faith in God has power to move mountains & awaken the extraordinary within you.	1:35	0:534	For we walk by faith, not by sight
201_(2 Corinthians 5:7)-c1	For we walk by faith, not by sight. The Lord will always walk with you through anything, no matter how big or scary it is. He will never leave you. ❤️ 😍🙏🌌	0:34	0:154	For we walk by faith, not by sight
202_(2 Corinthians 5:7)-c2	For we walk by faith, not by sight. we depend on the visible power of the unseen God.	0:34	0:85	For we walk by faith, not by sight
206_(2 Corinthians 5:7)-c1	Stop looking for signs. War, pandemic and inflation are not our lead. For we walk by faith, not by sight. Wait for a voice. That's the sound of a trumpet. How do you know Jesus is coming soon? Faith, not sight. Be in the faith	70:104	0:226	For we walk by faith, not by sight
198_(2 Corinthians 5:7)-c1	For we walk by faith, not by sight. Our humanity desires to know what's happening next, to have insight into where God is leading us, but walking with God sometimes means to walk in the dark.	0:34	0:191	For we walk by faith, not by sight
209_(2 Corinthians 5:7)-c1	God has blessed you with the ability to achieve your goals, the courage to pursue your dreams, and the faith to believe in His promises. For we walk by faith, not by sight.	137:171	0:172	For we walk by faith, not by sight
