instanceID	dataIDs	label_set	non_label
pair_0_(Ecclesiastes 3:1)	279_(Ecclesiastes 3:1)-c2,271_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_1_(Ecclesiastes 3:1)	282_(Ecclesiastes 3:1)-c1,271_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_2_(Ecclesiastes 3:1)	277_(Ecclesiastes 3:1)-c1,274_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_3_(Ecclesiastes 3:1)	281_(Ecclesiastes 3:1)-c1,270_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_4_(Ecclesiastes 3:1)	284_(Ecclesiastes 3:1)-c2,278_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_5_(Ecclesiastes 3:1)	277_(Ecclesiastes 3:1)-c1,280_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_6_(Ecclesiastes 3:1)	279_(Ecclesiastes 3:1)-c1,271_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_7_(Ecclesiastes 3:1)	280_(Ecclesiastes 3:1)-c1,270_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_8_(Ecclesiastes 3:1)	272_(Ecclesiastes 3:1)-c1,278_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_9_(Ecclesiastes 3:1)	273_(Ecclesiastes 3:1)-c2,273_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_10_(Ecclesiastes 3:1)	276_(Ecclesiastes 3:1)-c1,272_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_11_(Ecclesiastes 3:1)	277_(Ecclesiastes 3:1)-c1,270_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_12_(Ecclesiastes 3:1)	279_(Ecclesiastes 3:1)-c2,280_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_13_(Ecclesiastes 3:1)	276_(Ecclesiastes 3:1)-c1,276_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_14_(Ecclesiastes 3:1)	282_(Ecclesiastes 3:1)-c1,272_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_15_(Ecclesiastes 3:1)	275_(Ecclesiastes 3:1)-c2,270_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_16_(Ecclesiastes 3:1)	272_(Ecclesiastes 3:1)-c2,275_(Ecclesiastes 3:1)-c1	1,2,3,4	-
