instanceID	dataIDs	label_set	non_label
pair_0_(Ephesians 5:25)	448_(Ephesians 5:25)-c2,439_(Ephesians 5:25)-c2	1,2,3,4	-
pair_1_(Ephesians 5:25)	445_(Ephesians 5:25)-c2,436_(Ephesians 5:25)-c2	1,2,3,4	-
pair_2_(Ephesians 5:25)	441_(Ephesians 5:25)-c1,436_(Ephesians 5:25)-c2	1,2,3,4	-
pair_3_(Ephesians 5:25)	441_(Ephesians 5:25)-c2,447_(Ephesians 5:25)-c2	1,2,3,4	-
pair_4_(Ephesians 5:25)	447_(Ephesians 5:25)-c2,449_(Ephesians 5:25)-c1	1,2,3,4	-
pair_5_(Ephesians 5:25)	444_(Ephesians 5:25)-c1,437_(Ephesians 5:25)-c2	1,2,3,4	-
pair_6_(Ephesians 5:25)	444_(Ephesians 5:25)-c2,436_(Ephesians 5:25)-c2	1,2,3,4	-
pair_7_(Ephesians 5:25)	440_(Ephesians 5:25)-c2,441_(Ephesians 5:25)-c1	1,2,3,4	-
pair_8_(Ephesians 5:25)	439_(Ephesians 5:25)-c1,441_(Ephesians 5:25)-c1	1,2,3,4	-
pair_9_(Ephesians 5:25)	438_(Ephesians 5:25)-c2,448_(Ephesians 5:25)-c1	1,2,3,4	-
pair_10_(Ephesians 5:25)	449_(Ephesians 5:25)-c1,440_(Ephesians 5:25)-c1	1,2,3,4	-
pair_11_(Ephesians 5:25)	438_(Ephesians 5:25)-c2,443_(Ephesians 5:25)-c2	1,2,3,4	-
pair_12_(Ephesians 5:25)	442_(Ephesians 5:25)-c1,442_(Ephesians 5:25)-c2	1,2,3,4	-
pair_13_(Ephesians 5:25)	442_(Ephesians 5:25)-c1,440_(Ephesians 5:25)-c1	1,2,3,4	-
pair_14_(Ephesians 5:25)	445_(Ephesians 5:25)-c1,439_(Ephesians 5:25)-c2	1,2,3,4	-
pair_15_(Ephesians 5:25)	443_(Ephesians 5:25)-c1,446_(Ephesians 5:25)-c2	1,2,3,4	-
pair_16_(Ephesians 5:25)	437_(Ephesians 5:25)-c2,449_(Ephesians 5:25)-c1	1,2,3,4	-
pair_17_(Ephesians 5:25)	436_(Ephesians 5:25)-c1,441_(Ephesians 5:25)-c1	1,2,3,4	-
pair_18_(Ephesians 5:25)	441_(Ephesians 5:25)-c2,449_(Ephesians 5:25)-c2	1,2,3,4	-
pair_19_(Ephesians 5:25)	440_(Ephesians 5:25)-c2,450_(Ephesians 5:25)-c1	1,2,3,4	-
pair_20_(Ephesians 5:25)	448_(Ephesians 5:25)-c2,449_(Ephesians 5:25)-c2	1,2,3,4	-
pair_21_(Ephesians 5:25)	443_(Ephesians 5:25)-c1,445_(Ephesians 5:25)-c2	1,2,3,4	-
pair_22_(Ephesians 5:25)	441_(Ephesians 5:25)-c2,444_(Ephesians 5:25)-c2	1,2,3,4	-
pair_23_(Ephesians 5:25)	442_(Ephesians 5:25)-c2,437_(Ephesians 5:25)-c1	1,2,3,4	-
pair_24_(Ephesians 5:25)	444_(Ephesians 5:25)-c2,440_(Ephesians 5:25)-c1	1,2,3,4	-
pair_25_(Ephesians 5:25)	446_(Ephesians 5:25)-c1,439_(Ephesians 5:25)-c2	1,2,3,4	-
pair_26_(Ephesians 5:25)	441_(Ephesians 5:25)-c1,444_(Ephesians 5:25)-c2	1,2,3,4	-
pair_27_(Ephesians 5:25)	446_(Ephesians 5:25)-c1,440_(Ephesians 5:25)-c1	1,2,3,4	-
pair_28_(Ephesians 5:25)	450_(Ephesians 5:25)-c2,438_(Ephesians 5:25)-c1	1,2,3,4	-
pair_29_(Ephesians 5:25)	443_(Ephesians 5:25)-c1,448_(Ephesians 5:25)-c1	1,2,3,4	-
pair_30_(Ephesians 5:25)	441_(Ephesians 5:25)-c2,443_(Ephesians 5:25)-c2	1,2,3,4	-
pair_31_(Ephesians 5:25)	447_(Ephesians 5:25)-c2,445_(Ephesians 5:25)-c2	1,2,3,4	-
pair_32_(Ephesians 5:25)	447_(Ephesians 5:25)-c2,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_33_(Ephesians 5:25)	437_(Ephesians 5:25)-c1,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_34_(Ephesians 5:25)	439_(Ephesians 5:25)-c1,449_(Ephesians 5:25)-c2	1,2,3,4	-
pair_35_(Ephesians 5:25)	443_(Ephesians 5:25)-c2,444_(Ephesians 5:25)-c2	1,2,3,4	-
pair_36_(Ephesians 5:25)	444_(Ephesians 5:25)-c1,446_(Ephesians 5:25)-c2	1,2,3,4	-
pair_37_(Ephesians 5:25)	440_(Ephesians 5:25)-c2,447_(Ephesians 5:25)-c2	1,2,3,4	-
pair_38_(Ephesians 5:25)	442_(Ephesians 5:25)-c1,450_(Ephesians 5:25)-c1	1,2,3,4	-
pair_39_(Ephesians 5:25)	438_(Ephesians 5:25)-c2,436_(Ephesians 5:25)-c2	1,2,3,4	-
pair_40_(Ephesians 5:25)	448_(Ephesians 5:25)-c2,437_(Ephesians 5:25)-c2	1,2,3,4	-
pair_41_(Ephesians 5:25)	443_(Ephesians 5:25)-c2,446_(Ephesians 5:25)-c2	1,2,3,4	-
pair_42_(Ephesians 5:25)	441_(Ephesians 5:25)-c1,437_(Ephesians 5:25)-c2	1,2,3,4	-
pair_43_(Ephesians 5:25)	450_(Ephesians 5:25)-c2,446_(Ephesians 5:25)-c2	1,2,3,4	-
pair_44_(Ephesians 5:25)	439_(Ephesians 5:25)-c1,436_(Ephesians 5:25)-c1	1,2,3,4	-
pair_45_(Ephesians 5:25)	437_(Ephesians 5:25)-c1,437_(Ephesians 5:25)-c2	1,2,3,4	-
pair_46_(Ephesians 5:25)	442_(Ephesians 5:25)-c1,443_(Ephesians 5:25)-c1	1,2,3,4	-
pair_47_(Ephesians 5:25)	438_(Ephesians 5:25)-c1,446_(Ephesians 5:25)-c2	1,2,3,4	-
pair_48_(Ephesians 5:25)	446_(Ephesians 5:25)-c1,444_(Ephesians 5:25)-c2	1,2,3,4	-
pair_49_(Ephesians 5:25)	448_(Ephesians 5:25)-c2,445_(Ephesians 5:25)-c1	1,2,3,4	-
pair_50_(Ephesians 5:25)	444_(Ephesians 5:25)-c1,437_(Ephesians 5:25)-c1	1,2,3,4	-
pair_51_(Ephesians 5:25)	442_(Ephesians 5:25)-c2,448_(Ephesians 5:25)-c1	1,2,3,4	-
pair_52_(Ephesians 5:25)	441_(Ephesians 5:25)-c1,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_53_(Ephesians 5:25)	443_(Ephesians 5:25)-c2,444_(Ephesians 5:25)-c1	1,2,3,4	-
pair_54_(Ephesians 5:25)	441_(Ephesians 5:25)-c1,449_(Ephesians 5:25)-c2	1,2,3,4	-
pair_55_(Ephesians 5:25)	441_(Ephesians 5:25)-c2,450_(Ephesians 5:25)-c2	1,2,3,4	-
pair_56_(Ephesians 5:25)	439_(Ephesians 5:25)-c1,441_(Ephesians 5:25)-c2	1,2,3,4	-
pair_57_(Ephesians 5:25)	436_(Ephesians 5:25)-c2,440_(Ephesians 5:25)-c1	1,2,3,4	-
pair_58_(Ephesians 5:25)	438_(Ephesians 5:25)-c2,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_59_(Ephesians 5:25)	440_(Ephesians 5:25)-c2,445_(Ephesians 5:25)-c2	1,2,3,4	-
pair_60_(Ephesians 5:25)	439_(Ephesians 5:25)-c2,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_61_(Ephesians 5:25)	439_(Ephesians 5:25)-c1,445_(Ephesians 5:25)-c1	1,2,3,4	-
pair_62_(Ephesians 5:25)	441_(Ephesians 5:25)-c2,440_(Ephesians 5:25)-c1	1,2,3,4	-
pair_63_(Ephesians 5:25)	443_(Ephesians 5:25)-c1,437_(Ephesians 5:25)-c1	1,2,3,4	-
pair_64_(Ephesians 5:25)	440_(Ephesians 5:25)-c2,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_65_(Ephesians 5:25)	439_(Ephesians 5:25)-c1,448_(Ephesians 5:25)-c2	1,2,3,4	-
pair_66_(Ephesians 5:25)	447_(Ephesians 5:25)-c2,436_(Ephesians 5:25)-c2	1,2,3,4	-
pair_67_(Ephesians 5:25)	447_(Ephesians 5:25)-c2,450_(Ephesians 5:25)-c1	1,2,3,4	-
pair_68_(Ephesians 5:25)	448_(Ephesians 5:25)-c2,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_69_(Ephesians 5:25)	442_(Ephesians 5:25)-c1,450_(Ephesians 5:25)-c2	1,2,3,4	-
pair_70_(Ephesians 5:25)	445_(Ephesians 5:25)-c1,436_(Ephesians 5:25)-c1	1,2,3,4	-
pair_71_(Ephesians 5:25)	443_(Ephesians 5:25)-c1,449_(Ephesians 5:25)-c1	1,2,3,4	-
pair_72_(Ephesians 5:25)	444_(Ephesians 5:25)-c2,449_(Ephesians 5:25)-c1	1,2,3,4	-
pair_73_(Ephesians 5:25)	443_(Ephesians 5:25)-c1,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_74_(Ephesians 5:25)	440_(Ephesians 5:25)-c2,449_(Ephesians 5:25)-c1	1,2,3,4	-
pair_75_(Ephesians 5:25)	448_(Ephesians 5:25)-c2,436_(Ephesians 5:25)-c1	1,2,3,4	-
pair_76_(Ephesians 5:25)	442_(Ephesians 5:25)-c1,447_(Ephesians 5:25)-c2	1,2,3,4	-
pair_77_(Ephesians 5:25)	438_(Ephesians 5:25)-c2,436_(Ephesians 5:25)-c1	1,2,3,4	-
pair_78_(Ephesians 5:25)	443_(Ephesians 5:25)-c2,439_(Ephesians 5:25)-c2	1,2,3,4	-
pair_79_(Ephesians 5:25)	443_(Ephesians 5:25)-c2,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_80_(Ephesians 5:25)	450_(Ephesians 5:25)-c2,448_(Ephesians 5:25)-c1	1,2,3,4	-
pair_81_(Ephesians 5:25)	438_(Ephesians 5:25)-c2,442_(Ephesians 5:25)-c1	1,2,3,4	-
pair_82_(Ephesians 5:25)	445_(Ephesians 5:25)-c1,446_(Ephesians 5:25)-c2	1,2,3,4	-
pair_83_(Ephesians 5:25)	442_(Ephesians 5:25)-c1,444_(Ephesians 5:25)-c2	1,2,3,4	-
pair_84_(Ephesians 5:25)	446_(Ephesians 5:25)-c1,437_(Ephesians 5:25)-c2	1,2,3,4	-
pair_85_(Ephesians 5:25)	448_(Ephesians 5:25)-c2,445_(Ephesians 5:25)-c2	1,2,3,4	-
pair_86_(Ephesians 5:25)	442_(Ephesians 5:25)-c1,436_(Ephesians 5:25)-c2	1,2,3,4	-
pair_87_(Ephesians 5:25)	440_(Ephesians 5:25)-c2,442_(Ephesians 5:25)-c2	1,2,3,4	-
pair_88_(Ephesians 5:25)	443_(Ephesians 5:25)-c1,438_(Ephesians 5:25)-c1	1,2,3,4	-
pair_89_(Ephesians 5:25)	442_(Ephesians 5:25)-c2,446_(Ephesians 5:25)-c2	1,2,3,4	-
pair_90_(Ephesians 5:25)	439_(Ephesians 5:25)-c1,444_(Ephesians 5:25)-c1	1,2,3,4	-
pair_91_(Ephesians 5:25)	442_(Ephesians 5:25)-c1,449_(Ephesians 5:25)-c2	1,2,3,4	-
pair_92_(Ephesians 5:25)	445_(Ephesians 5:25)-c2,440_(Ephesians 5:25)-c1	1,2,3,4	-
pair_93_(Ephesians 5:25)	446_(Ephesians 5:25)-c1,444_(Ephesians 5:25)-c1	1,2,3,4	-
pair_94_(Ephesians 5:25)	441_(Ephesians 5:25)-c2,446_(Ephesians 5:25)-c2	1,2,3,4	-
pair_95_(Ephesians 5:25)	442_(Ephesians 5:25)-c2,446_(Ephesians 5:25)-c1	1,2,3,4	-
pair_96_(Ephesians 5:25)	450_(Ephesians 5:25)-c2,437_(Ephesians 5:25)-c1	1,2,3,4	-
pair_97_(Ephesians 5:25)	440_(Ephesians 5:25)-c2,446_(Ephesians 5:25)-c2	1,2,3,4	-
pair_98_(Ephesians 5:25)	442_(Ephesians 5:25)-c2,437_(Ephesians 5:25)-c2	1,2,3,4	-
pair_99_(Ephesians 5:25)	448_(Ephesians 5:25)-c2,436_(Ephesians 5:25)-c2	1,2,3,4	-
pair_100_(Ephesians 5:25)	450_(Ephesians 5:25)-c2,447_(Ephesians 5:25)-c2	1,2,3,4	-
pair_101_(Ephesians 5:25)	444_(Ephesians 5:25)-c1,439_(Ephesians 5:25)-c2	1,2,3,4	-
pair_102_(Ephesians 5:25)	439_(Ephesians 5:25)-c2,437_(Ephesians 5:25)-c2	1,2,3,4	-
pair_103_(Ephesians 5:25)	441_(Ephesians 5:25)-c2,444_(Ephesians 5:25)-c1	1,2,3,4	-
pair_104_(Ephesians 5:25)	436_(Ephesians 5:25)-c1,445_(Ephesians 5:25)-c2	1,2,3,4	-
pair_105_(Ephesians 5:25)	450_(Ephesians 5:25)-c2,446_(Ephesians 5:25)-c1	1,2,3,4	-
pair_106_(Ephesians 5:25)	449_(Ephesians 5:25)-c2,449_(Ephesians 5:25)-c1	1,2,3,4	-
pair_107_(Ephesians 5:25)	447_(Ephesians 5:25)-c2,436_(Ephesians 5:25)-c1	1,2,3,4	-
pair_108_(Ephesians 5:25)	446_(Ephesians 5:25)-c1,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_109_(Ephesians 5:25)	440_(Ephesians 5:25)-c2,450_(Ephesians 5:25)-c2	1,2,3,4	-
pair_110_(Ephesians 5:25)	445_(Ephesians 5:25)-c1,448_(Ephesians 5:25)-c1	1,2,3,4	-
pair_111_(Ephesians 5:25)	441_(Ephesians 5:25)-c2,445_(Ephesians 5:25)-c1	1,2,3,4	-
pair_112_(Ephesians 5:25)	442_(Ephesians 5:25)-c2,448_(Ephesians 5:25)-c2	1,2,3,4	-
pair_113_(Ephesians 5:25)	443_(Ephesians 5:25)-c1,440_(Ephesians 5:25)-c1	1,2,3,4	-
pair_114_(Ephesians 5:25)	438_(Ephesians 5:25)-c2,439_(Ephesians 5:25)-c1	1,2,3,4	-
pair_115_(Ephesians 5:25)	445_(Ephesians 5:25)-c1,450_(Ephesians 5:25)-c1	1,2,3,4	-
pair_116_(Ephesians 5:25)	437_(Ephesians 5:25)-c1,449_(Ephesians 5:25)-c2	1,2,3,4	-
pair_117_(Ephesians 5:25)	445_(Ephesians 5:25)-c2,449_(Ephesians 5:25)-c1	1,2,3,4	-
pair_118_(Ephesians 5:25)	447_(Ephesians 5:25)-c2,437_(Ephesians 5:25)-c2	1,2,3,4	-
pair_119_(Ephesians 5:25)	443_(Ephesians 5:25)-c1,436_(Ephesians 5:25)-c1	1,2,3,4	-
pair_120_(Ephesians 5:25)	450_(Ephesians 5:25)-c1,446_(Ephesians 5:25)-c1	1,2,3,4	-
pair_121_(Ephesians 5:25)	445_(Ephesians 5:25)-c1,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_122_(Ephesians 5:25)	437_(Ephesians 5:25)-c1,449_(Ephesians 5:25)-c1	1,2,3,4	-
pair_123_(Ephesians 5:25)	439_(Ephesians 5:25)-c2,440_(Ephesians 5:25)-c1	1,2,3,4	-
pair_124_(Ephesians 5:25)	439_(Ephesians 5:25)-c2,436_(Ephesians 5:25)-c2	1,2,3,4	-
pair_125_(Ephesians 5:25)	439_(Ephesians 5:25)-c2,448_(Ephesians 5:25)-c1	1,2,3,4	-
pair_126_(Ephesians 5:25)	450_(Ephesians 5:25)-c1,444_(Ephesians 5:25)-c1	1,2,3,4	-
pair_127_(Ephesians 5:25)	443_(Ephesians 5:25)-c1,437_(Ephesians 5:25)-c2	1,2,3,4	-
pair_128_(Ephesians 5:25)	445_(Ephesians 5:25)-c2,437_(Ephesians 5:25)-c1	1,2,3,4	-
pair_129_(Ephesians 5:25)	450_(Ephesians 5:25)-c1,440_(Ephesians 5:25)-c1	1,2,3,4	-
pair_130_(Ephesians 5:25)	446_(Ephesians 5:25)-c2,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_131_(Ephesians 5:25)	444_(Ephesians 5:25)-c1,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_132_(Ephesians 5:25)	447_(Ephesians 5:25)-c2,445_(Ephesians 5:25)-c1	1,2,3,4	-
pair_133_(Ephesians 5:25)	450_(Ephesians 5:25)-c1,447_(Ephesians 5:25)-c1	1,2,3,4	-
pair_134_(Ephesians 5:25)	441_(Ephesians 5:25)-c1,446_(Ephesians 5:25)-c2	1,2,3,4	-
pair_135_(Ephesians 5:25)	439_(Ephesians 5:25)-c2,438_(Ephesians 5:25)-c1	1,2,3,4	-
pair_136_(Ephesians 5:25)	445_(Ephesians 5:25)-c2,438_(Ephesians 5:25)-c1	1,2,3,4	-
pair_137_(Ephesians 5:25)	441_(Ephesians 5:25)-c2,446_(Ephesians 5:25)-c1	1,2,3,4	-
pair_138_(Ephesians 5:25)	440_(Ephesians 5:25)-c2,444_(Ephesians 5:25)-c2	1,2,3,4	-
pair_139_(Ephesians 5:25)	439_(Ephesians 5:25)-c2,446_(Ephesians 5:25)-c2	1,2,3,4	-
pair_140_(Ephesians 5:25)	444_(Ephesians 5:25)-c2,437_(Ephesians 5:25)-c2	1,2,3,4	-
pair_141_(Ephesians 5:25)	438_(Ephesians 5:25)-c2,446_(Ephesians 5:25)-c1	1,2,3,4	-
pair_142_(Ephesians 5:25)	443_(Ephesians 5:25)-c2,436_(Ephesians 5:25)-c2	1,2,3,4	-
pair_143_(Ephesians 5:25)	440_(Ephesians 5:25)-c2,437_(Ephesians 5:25)-c2	1,2,3,4	-
pair_144_(Ephesians 5:25)	438_(Ephesians 5:25)-c1,449_(Ephesians 5:25)-c2	1,2,3,4	-
pair_145_(Ephesians 5:25)	442_(Ephesians 5:25)-c1,443_(Ephesians 5:25)-c2	1,2,3,4	-
pair_146_(Ephesians 5:25)	441_(Ephesians 5:25)-c2,440_(Ephesians 5:25)-c2	1,2,3,4	-
pair_147_(Ephesians 5:25)	447_(Ephesians 5:25)-c2,444_(Ephesians 5:25)-c2	1,2,3,4	-
pair_148_(Ephesians 5:25)	438_(Ephesians 5:25)-c2,441_(Ephesians 5:25)-c1	1,2,3,4	-
pair_149_(Ephesians 5:25)	442_(Ephesians 5:25)-c2,445_(Ephesians 5:25)-c1	1,2,3,4	-
