instanceID	dataIDs	label_set	non_label
pair_0_(Exodus 20:3)	99_(Exodus 20:3)-c2,96_(Exodus 20:3)-c2	1,2,3,4	-
pair_1_(Exodus 20:3)	93_(Exodus 20:3)-c2,100_(Exodus 20:3)-c2	1,2,3,4	-
pair_2_(Exodus 20:3)	97_(Exodus 20:3)-c1,103_(Exodus 20:3)-c1	1,2,3,4	-
pair_3_(Exodus 20:3)	103_(Exodus 20:3)-c1,96_(Exodus 20:3)-c1	1,2,3,4	-
pair_4_(Exodus 20:3)	96_(Exodus 20:3)-c1,93_(Exodus 20:3)-c1	1,2,3,4	-
pair_5_(Exodus 20:3)	92_(Exodus 20:3)-c1,96_(Exodus 20:3)-c2	1,2,3,4	-
pair_6_(Exodus 20:3)	98_(Exodus 20:3)-c1,96_(Exodus 20:3)-c2	1,2,3,4	-
pair_7_(Exodus 20:3)	94_(Exodus 20:3)-c1,93_(Exodus 20:3)-c1	1,2,3,4	-
pair_8_(Exodus 20:3)	91_(Exodus 20:3)-c2,103_(Exodus 20:3)-c2	1,2,3,4	-
pair_9_(Exodus 20:3)	103_(Exodus 20:3)-c1,93_(Exodus 20:3)-c1	1,2,3,4	-
pair_10_(Exodus 20:3)	97_(Exodus 20:3)-c1,94_(Exodus 20:3)-c2	1,2,3,4	-
pair_11_(Exodus 20:3)	99_(Exodus 20:3)-c1,104_(Exodus 20:3)-c2	1,2,3,4	-
pair_12_(Exodus 20:3)	91_(Exodus 20:3)-c1,102_(Exodus 20:3)-c1	1,2,3,4	-
pair_13_(Exodus 20:3)	101_(Exodus 20:3)-c1,103_(Exodus 20:3)-c1	1,2,3,4	-
pair_14_(Exodus 20:3)	101_(Exodus 20:3)-c1,95_(Exodus 20:3)-c1	1,2,3,4	-
pair_15_(Exodus 20:3)	92_(Exodus 20:3)-c1,103_(Exodus 20:3)-c1	1,2,3,4	-
pair_16_(Exodus 20:3)	92_(Exodus 20:3)-c2,93_(Exodus 20:3)-c2	1,2,3,4	-
pair_17_(Exodus 20:3)	100_(Exodus 20:3)-c1,103_(Exodus 20:3)-c1	1,2,3,4	-
pair_18_(Exodus 20:3)	103_(Exodus 20:3)-c1,94_(Exodus 20:3)-c2	1,2,3,4	-
pair_19_(Exodus 20:3)	92_(Exodus 20:3)-c1,95_(Exodus 20:3)-c2	1,2,3,4	-
