instanceID	dataIDs	label_set	non_label
pair_0_(Genesis 1:1)	360_(Genesis 1:1)-c1,351_(Genesis 1:1)-c2	1,2,3,4	-
pair_1_(Genesis 1:1)	346_(Genesis 1:1)-c1,351_(Genesis 1:1)-c1	1,2,3,4	-
pair_2_(Genesis 1:1)	358_(Genesis 1:1)-c2,351_(Genesis 1:1)-c1	1,2,3,4	-
pair_3_(Genesis 1:1)	357_(Genesis 1:1)-c2,352_(Genesis 1:1)-c2	1,2,3,4	-
pair_4_(Genesis 1:1)	356_(Genesis 1:1)-c1,359_(Genesis 1:1)-c1	1,2,3,4	-
pair_5_(Genesis 1:1)	355_(Genesis 1:1)-c1,352_(Genesis 1:1)-c2	1,2,3,4	-
pair_6_(Genesis 1:1)	357_(Genesis 1:1)-c2,359_(Genesis 1:1)-c1	1,2,3,4	-
pair_7_(Genesis 1:1)	354_(Genesis 1:1)-c2,350_(Genesis 1:1)-c1	1,2,3,4	-
pair_8_(Genesis 1:1)	347_(Genesis 1:1)-c2,354_(Genesis 1:1)-c2	1,2,3,4	-
pair_9_(Genesis 1:1)	352_(Genesis 1:1)-c2,351_(Genesis 1:1)-c2	1,2,3,4	-
pair_10_(Genesis 1:1)	347_(Genesis 1:1)-c1,359_(Genesis 1:1)-c1	1,2,3,4	-
pair_11_(Genesis 1:1)	348_(Genesis 1:1)-c1,349_(Genesis 1:1)-c1	1,2,3,4	-
pair_12_(Genesis 1:1)	347_(Genesis 1:1)-c2,359_(Genesis 1:1)-c2	1,2,3,4	-
pair_13_(Genesis 1:1)	348_(Genesis 1:1)-c1,357_(Genesis 1:1)-c2	1,2,3,4	-
pair_14_(Genesis 1:1)	347_(Genesis 1:1)-c2,357_(Genesis 1:1)-c1	1,2,3,4	-
pair_15_(Genesis 1:1)	346_(Genesis 1:1)-c2,354_(Genesis 1:1)-c1	1,2,3,4	-
pair_16_(Genesis 1:1)	349_(Genesis 1:1)-c1,360_(Genesis 1:1)-c2	1,2,3,4	-
pair_17_(Genesis 1:1)	358_(Genesis 1:1)-c1,351_(Genesis 1:1)-c1	1,2,3,4	-
pair_18_(Genesis 1:1)	348_(Genesis 1:1)-c2,351_(Genesis 1:1)-c2	1,2,3,4	-
pair_19_(Genesis 1:1)	348_(Genesis 1:1)-c2,358_(Genesis 1:1)-c2	1,2,3,4	-
pair_20_(Genesis 1:1)	354_(Genesis 1:1)-c1,351_(Genesis 1:1)-c1	1,2,3,4	-
pair_21_(Genesis 1:1)	348_(Genesis 1:1)-c2,353_(Genesis 1:1)-c1	1,2,3,4	-
pair_22_(Genesis 1:1)	347_(Genesis 1:1)-c1,356_(Genesis 1:1)-c2	1,2,3,4	-
pair_23_(Genesis 1:1)	356_(Genesis 1:1)-c1,351_(Genesis 1:1)-c2	1,2,3,4	-
pair_24_(Genesis 1:1)	346_(Genesis 1:1)-c1,360_(Genesis 1:1)-c2	1,2,3,4	-
pair_25_(Genesis 1:1)	347_(Genesis 1:1)-c2,356_(Genesis 1:1)-c2	1,2,3,4	-
pair_26_(Genesis 1:1)	346_(Genesis 1:1)-c1,359_(Genesis 1:1)-c2	1,2,3,4	-
pair_27_(Genesis 1:1)	347_(Genesis 1:1)-c2,352_(Genesis 1:1)-c2	1,2,3,4	-
pair_28_(Genesis 1:1)	355_(Genesis 1:1)-c1,354_(Genesis 1:1)-c2	1,2,3,4	-
pair_29_(Genesis 1:1)	348_(Genesis 1:1)-c1,350_(Genesis 1:1)-c2	1,2,3,4	-
pair_30_(Genesis 1:1)	354_(Genesis 1:1)-c1,358_(Genesis 1:1)-c2	1,2,3,4	-
pair_31_(Genesis 1:1)	357_(Genesis 1:1)-c2,353_(Genesis 1:1)-c2	1,2,3,4	-
pair_32_(Genesis 1:1)	356_(Genesis 1:1)-c2,359_(Genesis 1:1)-c1	1,2,3,4	-
pair_33_(Genesis 1:1)	358_(Genesis 1:1)-c2,353_(Genesis 1:1)-c2	1,2,3,4	-
pair_34_(Genesis 1:1)	351_(Genesis 1:1)-c2,360_(Genesis 1:1)-c2	1,2,3,4	-
pair_35_(Genesis 1:1)	356_(Genesis 1:1)-c1,357_(Genesis 1:1)-c2	1,2,3,4	-
pair_36_(Genesis 1:1)	349_(Genesis 1:1)-c1,352_(Genesis 1:1)-c2	1,2,3,4	-
pair_37_(Genesis 1:1)	354_(Genesis 1:1)-c1,351_(Genesis 1:1)-c2	1,2,3,4	-
pair_38_(Genesis 1:1)	352_(Genesis 1:1)-c1,347_(Genesis 1:1)-c1	1,2,3,4	-
pair_39_(Genesis 1:1)	360_(Genesis 1:1)-c2,349_(Genesis 1:1)-c2	1,2,3,4	-
pair_40_(Genesis 1:1)	356_(Genesis 1:1)-c1,350_(Genesis 1:1)-c2	1,2,3,4	-
pair_41_(Genesis 1:1)	346_(Genesis 1:1)-c1,358_(Genesis 1:1)-c2	1,2,3,4	-
pair_42_(Genesis 1:1)	349_(Genesis 1:1)-c1,359_(Genesis 1:1)-c2	1,2,3,4	-
pair_43_(Genesis 1:1)	347_(Genesis 1:1)-c2,356_(Genesis 1:1)-c1	1,2,3,4	-
pair_44_(Genesis 1:1)	346_(Genesis 1:1)-c2,351_(Genesis 1:1)-c2	1,2,3,4	-
pair_45_(Genesis 1:1)	346_(Genesis 1:1)-c1,350_(Genesis 1:1)-c1	1,2,3,4	-
pair_46_(Genesis 1:1)	348_(Genesis 1:1)-c2,357_(Genesis 1:1)-c1	1,2,3,4	-
pair_47_(Genesis 1:1)	358_(Genesis 1:1)-c2,354_(Genesis 1:1)-c2	1,2,3,4	-
pair_48_(Genesis 1:1)	355_(Genesis 1:1)-c2,354_(Genesis 1:1)-c1	1,2,3,4	-
pair_49_(Genesis 1:1)	353_(Genesis 1:1)-c2,359_(Genesis 1:1)-c2	1,2,3,4	-
pair_50_(Genesis 1:1)	347_(Genesis 1:1)-c2,360_(Genesis 1:1)-c1	1,2,3,4	-
pair_51_(Genesis 1:1)	352_(Genesis 1:1)-c2,358_(Genesis 1:1)-c2	1,2,3,4	-
pair_52_(Genesis 1:1)	348_(Genesis 1:1)-c1,349_(Genesis 1:1)-c2	1,2,3,4	-
pair_53_(Genesis 1:1)	353_(Genesis 1:1)-c1,354_(Genesis 1:1)-c2	1,2,3,4	-
pair_54_(Genesis 1:1)	352_(Genesis 1:1)-c2,353_(Genesis 1:1)-c2	1,2,3,4	-
pair_55_(Genesis 1:1)	352_(Genesis 1:1)-c1,350_(Genesis 1:1)-c2	1,2,3,4	-
pair_56_(Genesis 1:1)	359_(Genesis 1:1)-c1,360_(Genesis 1:1)-c2	1,2,3,4	-
pair_57_(Genesis 1:1)	356_(Genesis 1:1)-c1,358_(Genesis 1:1)-c2	1,2,3,4	-
pair_58_(Genesis 1:1)	356_(Genesis 1:1)-c2,353_(Genesis 1:1)-c1	1,2,3,4	-
pair_59_(Genesis 1:1)	357_(Genesis 1:1)-c2,351_(Genesis 1:1)-c1	1,2,3,4	-
pair_60_(Genesis 1:1)	354_(Genesis 1:1)-c1,357_(Genesis 1:1)-c1	1,2,3,4	-
pair_61_(Genesis 1:1)	359_(Genesis 1:1)-c2,354_(Genesis 1:1)-c2	1,2,3,4	-
pair_62_(Genesis 1:1)	347_(Genesis 1:1)-c1,358_(Genesis 1:1)-c1	1,2,3,4	-
pair_63_(Genesis 1:1)	356_(Genesis 1:1)-c2,354_(Genesis 1:1)-c2	1,2,3,4	-
pair_64_(Genesis 1:1)	349_(Genesis 1:1)-c1,354_(Genesis 1:1)-c2	1,2,3,4	-
pair_65_(Genesis 1:1)	349_(Genesis 1:1)-c1,360_(Genesis 1:1)-c1	1,2,3,4	-
pair_66_(Genesis 1:1)	356_(Genesis 1:1)-c1,349_(Genesis 1:1)-c1	1,2,3,4	-
pair_67_(Genesis 1:1)	356_(Genesis 1:1)-c1,358_(Genesis 1:1)-c1	1,2,3,4	-
