dataID	context	indices_target_token	indices_target_sentence	lemma
347_(Genesis 1:1)-c2	t's the beginning of a new week. What will YOU create? I pray God will continue to open up your creativity and give you witty inventions. In the beginning God created the heaven and the earth.	138:177	0:192	In the beginning God created the heaven
352_(Genesis 1:1)-c1	Ok, but science is certainly found therein. Consider "In the beginning God created the heaven and the earth". In the beginning (that's time) God created the heaven (that's space which has 3 dimensions, that is length, width, and heighth) and the earth (that's matter, also 3D: liquid, solid, gas). Space, Time, Matter Continuum, creation explains stuff.	54:93	0:353	In the beginning God created the heaven
346_(Genesis 1:1)-c2	Every rough beginning is a sign of glorious future, let's learn from God in the beginning God created the heaven and the earth void, then He began a serious work by putting things in there good order. So don't mind your rough beginning just pray hard and work hard.	73:112	0:265	In the beginning God created the heaven
347_(Genesis 1:1)-c1	In the beginning God Created The heaven's and The earth. How much power does it take to DO this? When you pray understand who you are praying TO? IS there anything to hard for God? Jesus said nothing IS impossible with God.	0:39	0:223	In the beginning God created the heaven
356_(Genesis 1:1)-c1	Genesis 1:1 gives a clear definition of God. In the beginning God created the heaven and the earth. In other words, He existed before time on earth began and He created everything. Why is it up to God to prove Himself? Have you been seeking Him?	45:84	0:245	In the beginning God created the heaven
346_(Genesis 1:1)-c1	In the beginning God created the heaven and the earth. Let us pray	0:39	0:66	In the beginning God created the heaven
348_(Genesis 1:1)-c1	I Pray For You 😍🙏. In the beginning God created the heaven and the earth. 😍🙏 Genesis 1:1 😍🙏 Just as God created the heaven and earth from nothing. He can make you somebody from nothing. Just Type Amen. God Bless you. 😍🙏	19:58	0:219	In the beginning God created the heaven
350_(Genesis 1:1)-c2	In the beginning God created the heaven and the earth. He can create situations for you. What do you need? Ask Him to help you today. Pray.	0:39	0:139	In the beginning God created the heaven
355_(Genesis 1:1)-c2	in the beginning God created the heaven and the earth, we see the earth but do we see heaven? No, hence my explanations, I was literally describing heaven like you asked	0:39	0:169	In the beginning God created the heaven
354_(Genesis 1:1)-c1	So i just started reading the bible again since i was like 9 and it said "in the beginning god created the heavens" does that mean there multiple heavens and if we die which one we go to?	74:113	0:187	In the beginning God created the heaven
