instanceID	dataIDs	label_set	non_label
pair_0_(Hebrews 11:1)	108_(Hebrews 11:1)-c1,106_(Hebrews 11:1)-c2	1,2,3,4	-
pair_1_(Hebrews 11:1)	117_(Hebrews 11:1)-c2,112_(Hebrews 11:1)-c2	1,2,3,4	-
pair_2_(Hebrews 11:1)	108_(Hebrews 11:1)-c1,109_(Hebrews 11:1)-c2	1,2,3,4	-
pair_3_(Hebrews 11:1)	119_(Hebrews 11:1)-c2,117_(Hebrews 11:1)-c2	1,2,3,4	-
pair_4_(Hebrews 11:1)	119_(Hebrews 11:1)-c1,105_(Hebrews 11:1)-c1	1,2,3,4	-
pair_5_(Hebrews 11:1)	107_(Hebrews 11:1)-c2,112_(Hebrews 11:1)-c1	1,2,3,4	-
pair_6_(Hebrews 11:1)	117_(Hebrews 11:1)-c1,105_(Hebrews 11:1)-c2	1,2,3,4	-
pair_7_(Hebrews 11:1)	107_(Hebrews 11:1)-c2,116_(Hebrews 11:1)-c2	1,2,3,4	-
pair_8_(Hebrews 11:1)	116_(Hebrews 11:1)-c1,114_(Hebrews 11:1)-c1	1,2,3,4	-
pair_9_(Hebrews 11:1)	113_(Hebrews 11:1)-c1,117_(Hebrews 11:1)-c2	1,2,3,4	-
pair_10_(Hebrews 11:1)	117_(Hebrews 11:1)-c1,117_(Hebrews 11:1)-c2	1,2,3,4	-
pair_11_(Hebrews 11:1)	107_(Hebrews 11:1)-c1,109_(Hebrews 11:1)-c2	1,2,3,4	-
pair_12_(Hebrews 11:1)	109_(Hebrews 11:1)-c1,109_(Hebrews 11:1)-c2	1,2,3,4	-
pair_13_(Hebrews 11:1)	112_(Hebrews 11:1)-c1,116_(Hebrews 11:1)-c1	1,2,3,4	-
pair_14_(Hebrews 11:1)	117_(Hebrews 11:1)-c1,109_(Hebrews 11:1)-c1	1,2,3,4	-
pair_15_(Hebrews 11:1)	108_(Hebrews 11:1)-c2,110_(Hebrews 11:1)-c2	1,2,3,4	-
pair_16_(Hebrews 11:1)	107_(Hebrews 11:1)-c1,117_(Hebrews 11:1)-c2	1,2,3,4	-
pair_17_(Hebrews 11:1)	115_(Hebrews 11:1)-c2,109_(Hebrews 11:1)-c2	1,2,3,4	-
pair_18_(Hebrews 11:1)	107_(Hebrews 11:1)-c1,115_(Hebrews 11:1)-c1	1,2,3,4	-
pair_19_(Hebrews 11:1)	114_(Hebrews 11:1)-c1,109_(Hebrews 11:1)-c2	1,2,3,4	-
pair_20_(Hebrews 11:1)	118_(Hebrews 11:1)-c2,114_(Hebrews 11:1)-c1	1,2,3,4	-
pair_21_(Hebrews 11:1)	119_(Hebrews 11:1)-c1,114_(Hebrews 11:1)-c1	1,2,3,4	-
pair_22_(Hebrews 11:1)	118_(Hebrews 11:1)-c2,107_(Hebrews 11:1)-c2	1,2,3,4	-
pair_23_(Hebrews 11:1)	112_(Hebrews 11:1)-c1,112_(Hebrews 11:1)-c2	1,2,3,4	-
pair_24_(Hebrews 11:1)	105_(Hebrews 11:1)-c1,110_(Hebrews 11:1)-c2	1,2,3,4	-
pair_25_(Hebrews 11:1)	114_(Hebrews 11:1)-c2,106_(Hebrews 11:1)-c1	1,2,3,4	-
pair_26_(Hebrews 11:1)	115_(Hebrews 11:1)-c1,116_(Hebrews 11:1)-c2	1,2,3,4	-
pair_27_(Hebrews 11:1)	119_(Hebrews 11:1)-c2,112_(Hebrews 11:1)-c2	1,2,3,4	-
pair_28_(Hebrews 11:1)	116_(Hebrews 11:1)-c1,110_(Hebrews 11:1)-c2	1,2,3,4	-
pair_29_(Hebrews 11:1)	118_(Hebrews 11:1)-c2,110_(Hebrews 11:1)-c2	1,2,3,4	-
pair_30_(Hebrews 11:1)	111_(Hebrews 11:1)-c2,109_(Hebrews 11:1)-c1	1,2,3,4	-
pair_31_(Hebrews 11:1)	119_(Hebrews 11:1)-c2,108_(Hebrews 11:1)-c2	1,2,3,4	-
pair_32_(Hebrews 11:1)	115_(Hebrews 11:1)-c1,110_(Hebrews 11:1)-c2	1,2,3,4	-
pair_33_(Hebrews 11:1)	119_(Hebrews 11:1)-c2,117_(Hebrews 11:1)-c1	1,2,3,4	-
pair_34_(Hebrews 11:1)	114_(Hebrews 11:1)-c2,111_(Hebrews 11:1)-c2	1,2,3,4	-
pair_35_(Hebrews 11:1)	117_(Hebrews 11:1)-c1,114_(Hebrews 11:1)-c1	1,2,3,4	-
pair_36_(Hebrews 11:1)	110_(Hebrews 11:1)-c1,110_(Hebrews 11:1)-c2	1,2,3,4	-
pair_37_(Hebrews 11:1)	111_(Hebrews 11:1)-c1,109_(Hebrews 11:1)-c2	1,2,3,4	-
pair_38_(Hebrews 11:1)	107_(Hebrews 11:1)-c2,105_(Hebrews 11:1)-c2	1,2,3,4	-
pair_39_(Hebrews 11:1)	111_(Hebrews 11:1)-c1,118_(Hebrews 11:1)-c1	1,2,3,4	-
pair_40_(Hebrews 11:1)	111_(Hebrews 11:1)-c2,105_(Hebrews 11:1)-c2	1,2,3,4	-
pair_41_(Hebrews 11:1)	111_(Hebrews 11:1)-c2,117_(Hebrews 11:1)-c1	1,2,3,4	-
pair_42_(Hebrews 11:1)	105_(Hebrews 11:1)-c1,112_(Hebrews 11:1)-c2	1,2,3,4	-
pair_43_(Hebrews 11:1)	105_(Hebrews 11:1)-c1,109_(Hebrews 11:1)-c1	1,2,3,4	-
pair_44_(Hebrews 11:1)	117_(Hebrews 11:1)-c1,106_(Hebrews 11:1)-c2	1,2,3,4	-
pair_45_(Hebrews 11:1)	111_(Hebrews 11:1)-c2,116_(Hebrews 11:1)-c2	1,2,3,4	-
pair_46_(Hebrews 11:1)	113_(Hebrews 11:1)-c1,115_(Hebrews 11:1)-c2	1,2,3,4	-
pair_47_(Hebrews 11:1)	107_(Hebrews 11:1)-c1,106_(Hebrews 11:1)-c2	1,2,3,4	-
pair_48_(Hebrews 11:1)	107_(Hebrews 11:1)-c1,106_(Hebrews 11:1)-c1	1,2,3,4	-
pair_49_(Hebrews 11:1)	108_(Hebrews 11:1)-c2,109_(Hebrews 11:1)-c1	1,2,3,4	-
pair_50_(Hebrews 11:1)	115_(Hebrews 11:1)-c2,117_(Hebrews 11:1)-c2	1,2,3,4	-
pair_51_(Hebrews 11:1)	113_(Hebrews 11:1)-c1,106_(Hebrews 11:1)-c2	1,2,3,4	-
pair_52_(Hebrews 11:1)	113_(Hebrews 11:1)-c2,112_(Hebrews 11:1)-c2	1,2,3,4	-
pair_53_(Hebrews 11:1)	116_(Hebrews 11:1)-c1,113_(Hebrews 11:1)-c1	1,2,3,4	-
pair_54_(Hebrews 11:1)	111_(Hebrews 11:1)-c1,116_(Hebrews 11:1)-c2	1,2,3,4	-
