instanceID	dataIDs	label_set	non_label
pair_0_(Hosea 8:7)	239_(Hosea 8:7)-c1,234_(Hosea 8:7)-c1	1,2,3,4	-
pair_1_(Hosea 8:7)	229_(Hosea 8:7)-c2,234_(Hosea 8:7)-c2	1,2,3,4	-
pair_2_(Hosea 8:7)	231_(Hosea 8:7)-c1,236_(Hosea 8:7)-c1	1,2,3,4	-
pair_3_(Hosea 8:7)	232_(Hosea 8:7)-c2,235_(Hosea 8:7)-c2	1,2,3,4	-
pair_4_(Hosea 8:7)	238_(Hosea 8:7)-c1,234_(Hosea 8:7)-c2	1,2,3,4	-
pair_5_(Hosea 8:7)	235_(Hosea 8:7)-c1,228_(Hosea 8:7)-c1	1,2,3,4	-
pair_6_(Hosea 8:7)	232_(Hosea 8:7)-c1,236_(Hosea 8:7)-c1	1,2,3,4	-
pair_7_(Hosea 8:7)	231_(Hosea 8:7)-c1,233_(Hosea 8:7)-c2	1,2,3,4	-
pair_8_(Hosea 8:7)	238_(Hosea 8:7)-c2,238_(Hosea 8:7)-c1	1,2,3,4	-
pair_9_(Hosea 8:7)	227_(Hosea 8:7)-c2,228_(Hosea 8:7)-c2	1,2,3,4	-
pair_10_(Hosea 8:7)	229_(Hosea 8:7)-c2,232_(Hosea 8:7)-c2	1,2,3,4	-
pair_11_(Hosea 8:7)	231_(Hosea 8:7)-c1,236_(Hosea 8:7)-c2	1,2,3,4	-
pair_12_(Hosea 8:7)	227_(Hosea 8:7)-c2,225_(Hosea 8:7)-c2	1,2,3,4	-
pair_13_(Hosea 8:7)	225_(Hosea 8:7)-c1,236_(Hosea 8:7)-c1	1,2,3,4	-
pair_14_(Hosea 8:7)	230_(Hosea 8:7)-c2,229_(Hosea 8:7)-c1	1,2,3,4	-
pair_15_(Hosea 8:7)	230_(Hosea 8:7)-c1,227_(Hosea 8:7)-c1	1,2,3,4	-
pair_16_(Hosea 8:7)	226_(Hosea 8:7)-c2,235_(Hosea 8:7)-c2	1,2,3,4	-
pair_17_(Hosea 8:7)	238_(Hosea 8:7)-c2,239_(Hosea 8:7)-c1	1,2,3,4	-
pair_18_(Hosea 8:7)	225_(Hosea 8:7)-c1,227_(Hosea 8:7)-c1	1,2,3,4	-
pair_19_(Hosea 8:7)	227_(Hosea 8:7)-c1,236_(Hosea 8:7)-c2	1,2,3,4	-
pair_20_(Hosea 8:7)	227_(Hosea 8:7)-c2,237_(Hosea 8:7)-c2	1,2,3,4	-
pair_21_(Hosea 8:7)	236_(Hosea 8:7)-c2,233_(Hosea 8:7)-c2	1,2,3,4	-
pair_22_(Hosea 8:7)	226_(Hosea 8:7)-c1,236_(Hosea 8:7)-c2	1,2,3,4	-
pair_23_(Hosea 8:7)	227_(Hosea 8:7)-c2,234_(Hosea 8:7)-c2	1,2,3,4	-
pair_24_(Hosea 8:7)	238_(Hosea 8:7)-c2,227_(Hosea 8:7)-c1	1,2,3,4	-
pair_25_(Hosea 8:7)	227_(Hosea 8:7)-c2,229_(Hosea 8:7)-c1	1,2,3,4	-
pair_26_(Hosea 8:7)	229_(Hosea 8:7)-c2,230_(Hosea 8:7)-c1	1,2,3,4	-
pair_27_(Hosea 8:7)	230_(Hosea 8:7)-c2,228_(Hosea 8:7)-c2	1,2,3,4	-
pair_28_(Hosea 8:7)	230_(Hosea 8:7)-c2,239_(Hosea 8:7)-c2	1,2,3,4	-
pair_29_(Hosea 8:7)	225_(Hosea 8:7)-c2,236_(Hosea 8:7)-c1	1,2,3,4	-
pair_30_(Hosea 8:7)	231_(Hosea 8:7)-c2,229_(Hosea 8:7)-c1	1,2,3,4	-
pair_31_(Hosea 8:7)	230_(Hosea 8:7)-c1,233_(Hosea 8:7)-c2	1,2,3,4	-
pair_32_(Hosea 8:7)	238_(Hosea 8:7)-c1,231_(Hosea 8:7)-c2	1,2,3,4	-
pair_33_(Hosea 8:7)	237_(Hosea 8:7)-c2,230_(Hosea 8:7)-c1	1,2,3,4	-
pair_34_(Hosea 8:7)	238_(Hosea 8:7)-c2,237_(Hosea 8:7)-c1	1,2,3,4	-
pair_35_(Hosea 8:7)	225_(Hosea 8:7)-c2,237_(Hosea 8:7)-c2	1,2,3,4	-
pair_36_(Hosea 8:7)	235_(Hosea 8:7)-c2,229_(Hosea 8:7)-c1	1,2,3,4	-
pair_37_(Hosea 8:7)	232_(Hosea 8:7)-c1,230_(Hosea 8:7)-c1	1,2,3,4	-
pair_38_(Hosea 8:7)	239_(Hosea 8:7)-c2,237_(Hosea 8:7)-c2	1,2,3,4	-
pair_39_(Hosea 8:7)	230_(Hosea 8:7)-c2,225_(Hosea 8:7)-c2	1,2,3,4	-
pair_40_(Hosea 8:7)	237_(Hosea 8:7)-c1,235_(Hosea 8:7)-c2	1,2,3,4	-
pair_41_(Hosea 8:7)	236_(Hosea 8:7)-c1,234_(Hosea 8:7)-c1	1,2,3,4	-
pair_42_(Hosea 8:7)	238_(Hosea 8:7)-c2,235_(Hosea 8:7)-c1	1,2,3,4	-
pair_43_(Hosea 8:7)	230_(Hosea 8:7)-c2,226_(Hosea 8:7)-c1	1,2,3,4	-
pair_44_(Hosea 8:7)	227_(Hosea 8:7)-c2,226_(Hosea 8:7)-c2	1,2,3,4	-
pair_45_(Hosea 8:7)	239_(Hosea 8:7)-c1,234_(Hosea 8:7)-c2	1,2,3,4	-
pair_46_(Hosea 8:7)	239_(Hosea 8:7)-c1,237_(Hosea 8:7)-c1	1,2,3,4	-
pair_47_(Hosea 8:7)	225_(Hosea 8:7)-c2,226_(Hosea 8:7)-c2	1,2,3,4	-
pair_48_(Hosea 8:7)	238_(Hosea 8:7)-c2,230_(Hosea 8:7)-c1	1,2,3,4	-
pair_49_(Hosea 8:7)	231_(Hosea 8:7)-c1,237_(Hosea 8:7)-c1	1,2,3,4	-
pair_50_(Hosea 8:7)	230_(Hosea 8:7)-c2,228_(Hosea 8:7)-c1	1,2,3,4	-
pair_51_(Hosea 8:7)	235_(Hosea 8:7)-c1,229_(Hosea 8:7)-c1	1,2,3,4	-
pair_52_(Hosea 8:7)	231_(Hosea 8:7)-c2,226_(Hosea 8:7)-c2	1,2,3,4	-
pair_53_(Hosea 8:7)	239_(Hosea 8:7)-c2,225_(Hosea 8:7)-c1	1,2,3,4	-
pair_54_(Hosea 8:7)	238_(Hosea 8:7)-c1,233_(Hosea 8:7)-c1	1,2,3,4	-
pair_55_(Hosea 8:7)	237_(Hosea 8:7)-c2,234_(Hosea 8:7)-c2	1,2,3,4	-
pair_56_(Hosea 8:7)	226_(Hosea 8:7)-c1,238_(Hosea 8:7)-c1	1,2,3,4	-
pair_57_(Hosea 8:7)	238_(Hosea 8:7)-c2,236_(Hosea 8:7)-c2	1,2,3,4	-
pair_58_(Hosea 8:7)	225_(Hosea 8:7)-c1,228_(Hosea 8:7)-c2	1,2,3,4	-
pair_59_(Hosea 8:7)	239_(Hosea 8:7)-c2,231_(Hosea 8:7)-c2	1,2,3,4	-
pair_60_(Hosea 8:7)	229_(Hosea 8:7)-c2,237_(Hosea 8:7)-c2	1,2,3,4	-
pair_61_(Hosea 8:7)	227_(Hosea 8:7)-c1,235_(Hosea 8:7)-c2	1,2,3,4	-
pair_62_(Hosea 8:7)	230_(Hosea 8:7)-c1,236_(Hosea 8:7)-c2	1,2,3,4	-
pair_63_(Hosea 8:7)	227_(Hosea 8:7)-c2,235_(Hosea 8:7)-c2	1,2,3,4	-
pair_64_(Hosea 8:7)	229_(Hosea 8:7)-c1,233_(Hosea 8:7)-c2	1,2,3,4	-
pair_65_(Hosea 8:7)	239_(Hosea 8:7)-c2,226_(Hosea 8:7)-c1	1,2,3,4	-
pair_66_(Hosea 8:7)	239_(Hosea 8:7)-c1,236_(Hosea 8:7)-c2	1,2,3,4	-
pair_67_(Hosea 8:7)	228_(Hosea 8:7)-c2,228_(Hosea 8:7)-c1	1,2,3,4	-
pair_68_(Hosea 8:7)	227_(Hosea 8:7)-c2,230_(Hosea 8:7)-c1	1,2,3,4	-
pair_69_(Hosea 8:7)	237_(Hosea 8:7)-c2,227_(Hosea 8:7)-c1	1,2,3,4	-
pair_70_(Hosea 8:7)	231_(Hosea 8:7)-c1,235_(Hosea 8:7)-c2	1,2,3,4	-
pair_71_(Hosea 8:7)	232_(Hosea 8:7)-c1,237_(Hosea 8:7)-c2	1,2,3,4	-
pair_72_(Hosea 8:7)	229_(Hosea 8:7)-c2,226_(Hosea 8:7)-c2	1,2,3,4	-
pair_73_(Hosea 8:7)	238_(Hosea 8:7)-c2,229_(Hosea 8:7)-c1	1,2,3,4	-
pair_74_(Hosea 8:7)	226_(Hosea 8:7)-c2,236_(Hosea 8:7)-c1	1,2,3,4	-
pair_75_(Hosea 8:7)	233_(Hosea 8:7)-c1,229_(Hosea 8:7)-c1	1,2,3,4	-
pair_76_(Hosea 8:7)	231_(Hosea 8:7)-c2,225_(Hosea 8:7)-c1	1,2,3,4	-
pair_77_(Hosea 8:7)	238_(Hosea 8:7)-c2,234_(Hosea 8:7)-c2	1,2,3,4	-
pair_78_(Hosea 8:7)	228_(Hosea 8:7)-c2,233_(Hosea 8:7)-c2	1,2,3,4	-
pair_79_(Hosea 8:7)	233_(Hosea 8:7)-c2,228_(Hosea 8:7)-c1	1,2,3,4	-
pair_80_(Hosea 8:7)	232_(Hosea 8:7)-c2,226_(Hosea 8:7)-c2	1,2,3,4	-
pair_81_(Hosea 8:7)	231_(Hosea 8:7)-c1,225_(Hosea 8:7)-c2	1,2,3,4	-
pair_82_(Hosea 8:7)	231_(Hosea 8:7)-c2,233_(Hosea 8:7)-c1	1,2,3,4	-
pair_83_(Hosea 8:7)	226_(Hosea 8:7)-c2,234_(Hosea 8:7)-c2	1,2,3,4	-
pair_84_(Hosea 8:7)	230_(Hosea 8:7)-c2,230_(Hosea 8:7)-c1	1,2,3,4	-
pair_85_(Hosea 8:7)	227_(Hosea 8:7)-c2,238_(Hosea 8:7)-c1	1,2,3,4	-
pair_86_(Hosea 8:7)	226_(Hosea 8:7)-c1,234_(Hosea 8:7)-c1	1,2,3,4	-
pair_87_(Hosea 8:7)	225_(Hosea 8:7)-c2,237_(Hosea 8:7)-c1	1,2,3,4	-
pair_88_(Hosea 8:7)	237_(Hosea 8:7)-c2,237_(Hosea 8:7)-c1	1,2,3,4	-
pair_89_(Hosea 8:7)	229_(Hosea 8:7)-c2,236_(Hosea 8:7)-c1	1,2,3,4	-
pair_90_(Hosea 8:7)	237_(Hosea 8:7)-c1,228_(Hosea 8:7)-c2	1,2,3,4	-
pair_91_(Hosea 8:7)	239_(Hosea 8:7)-c2,228_(Hosea 8:7)-c2	1,2,3,4	-
pair_92_(Hosea 8:7)	238_(Hosea 8:7)-c2,230_(Hosea 8:7)-c2	1,2,3,4	-
pair_93_(Hosea 8:7)	230_(Hosea 8:7)-c1,228_(Hosea 8:7)-c1	1,2,3,4	-
pair_94_(Hosea 8:7)	232_(Hosea 8:7)-c2,238_(Hosea 8:7)-c1	1,2,3,4	-
pair_95_(Hosea 8:7)	239_(Hosea 8:7)-c2,238_(Hosea 8:7)-c1	1,2,3,4	-
pair_96_(Hosea 8:7)	232_(Hosea 8:7)-c1,228_(Hosea 8:7)-c2	1,2,3,4	-
pair_97_(Hosea 8:7)	226_(Hosea 8:7)-c1,233_(Hosea 8:7)-c2	1,2,3,4	-
pair_98_(Hosea 8:7)	236_(Hosea 8:7)-c1,234_(Hosea 8:7)-c2	1,2,3,4	-
pair_99_(Hosea 8:7)	238_(Hosea 8:7)-c2,236_(Hosea 8:7)-c1	1,2,3,4	-
