instanceID	dataIDs	label_set	non_label
pair_0_(Isaiah 43:4)	497_(Isaiah 43:4)-c1,505_(Isaiah 43:4)-c1	1,2,3,4	-
pair_1_(Isaiah 43:4)	499_(Isaiah 43:4)-c2,501_(Isaiah 43:4)-c1	1,2,3,4	-
pair_2_(Isaiah 43:4)	503_(Isaiah 43:4)-c2,497_(Isaiah 43:4)-c1	1,2,3,4	-
pair_3_(Isaiah 43:4)	505_(Isaiah 43:4)-c2,501_(Isaiah 43:4)-c2	1,2,3,4	-
pair_4_(Isaiah 43:4)	498_(Isaiah 43:4)-c2,497_(Isaiah 43:4)-c2	1,2,3,4	-
pair_5_(Isaiah 43:4)	496_(Isaiah 43:4)-c1,506_(Isaiah 43:4)-c1	1,2,3,4	-
pair_6_(Isaiah 43:4)	505_(Isaiah 43:4)-c2,503_(Isaiah 43:4)-c1	1,2,3,4	-
pair_7_(Isaiah 43:4)	504_(Isaiah 43:4)-c1,502_(Isaiah 43:4)-c2	1,2,3,4	-
pair_8_(Isaiah 43:4)	502_(Isaiah 43:4)-c1,508_(Isaiah 43:4)-c1	1,2,3,4	-
pair_9_(Isaiah 43:4)	496_(Isaiah 43:4)-c2,499_(Isaiah 43:4)-c1	1,2,3,4	-
pair_10_(Isaiah 43:4)	496_(Isaiah 43:4)-c2,508_(Isaiah 43:4)-c1	1,2,3,4	-
pair_11_(Isaiah 43:4)	503_(Isaiah 43:4)-c2,505_(Isaiah 43:4)-c2	1,2,3,4	-
pair_12_(Isaiah 43:4)	496_(Isaiah 43:4)-c2,496_(Isaiah 43:4)-c1	1,2,3,4	-
pair_13_(Isaiah 43:4)	503_(Isaiah 43:4)-c2,508_(Isaiah 43:4)-c1	1,2,3,4	-
pair_14_(Isaiah 43:4)	498_(Isaiah 43:4)-c2,499_(Isaiah 43:4)-c2	1,2,3,4	-
pair_15_(Isaiah 43:4)	496_(Isaiah 43:4)-c1,509_(Isaiah 43:4)-c2	1,2,3,4	-
pair_16_(Isaiah 43:4)	496_(Isaiah 43:4)-c1,499_(Isaiah 43:4)-c2	1,2,3,4	-
pair_17_(Isaiah 43:4)	502_(Isaiah 43:4)-c1,497_(Isaiah 43:4)-c2	1,2,3,4	-
pair_18_(Isaiah 43:4)	510_(Isaiah 43:4)-c2,498_(Isaiah 43:4)-c1	1,2,3,4	-
pair_19_(Isaiah 43:4)	506_(Isaiah 43:4)-c1,500_(Isaiah 43:4)-c1	1,2,3,4	-
pair_20_(Isaiah 43:4)	496_(Isaiah 43:4)-c2,501_(Isaiah 43:4)-c1	1,2,3,4	-
pair_21_(Isaiah 43:4)	507_(Isaiah 43:4)-c1,501_(Isaiah 43:4)-c1	1,2,3,4	-
pair_22_(Isaiah 43:4)	505_(Isaiah 43:4)-c1,499_(Isaiah 43:4)-c2	1,2,3,4	-
pair_23_(Isaiah 43:4)	497_(Isaiah 43:4)-c2,497_(Isaiah 43:4)-c1	1,2,3,4	-
pair_24_(Isaiah 43:4)	504_(Isaiah 43:4)-c1,509_(Isaiah 43:4)-c1	1,2,3,4	-
pair_25_(Isaiah 43:4)	510_(Isaiah 43:4)-c2,503_(Isaiah 43:4)-c2	1,2,3,4	-
pair_26_(Isaiah 43:4)	500_(Isaiah 43:4)-c2,499_(Isaiah 43:4)-c1	1,2,3,4	-
pair_27_(Isaiah 43:4)	506_(Isaiah 43:4)-c1,504_(Isaiah 43:4)-c2	1,2,3,4	-
pair_28_(Isaiah 43:4)	500_(Isaiah 43:4)-c2,505_(Isaiah 43:4)-c1	1,2,3,4	-
pair_29_(Isaiah 43:4)	499_(Isaiah 43:4)-c1,501_(Isaiah 43:4)-c1	1,2,3,4	-
pair_30_(Isaiah 43:4)	504_(Isaiah 43:4)-c2,502_(Isaiah 43:4)-c2	1,2,3,4	-
pair_31_(Isaiah 43:4)	500_(Isaiah 43:4)-c1,502_(Isaiah 43:4)-c2	1,2,3,4	-
pair_32_(Isaiah 43:4)	508_(Isaiah 43:4)-c2,505_(Isaiah 43:4)-c1	1,2,3,4	-
pair_33_(Isaiah 43:4)	500_(Isaiah 43:4)-c2,502_(Isaiah 43:4)-c2	1,2,3,4	-
pair_34_(Isaiah 43:4)	497_(Isaiah 43:4)-c2,501_(Isaiah 43:4)-c1	1,2,3,4	-
pair_35_(Isaiah 43:4)	506_(Isaiah 43:4)-c2,496_(Isaiah 43:4)-c1	1,2,3,4	-
pair_36_(Isaiah 43:4)	506_(Isaiah 43:4)-c2,499_(Isaiah 43:4)-c2	1,2,3,4	-
pair_37_(Isaiah 43:4)	507_(Isaiah 43:4)-c2,501_(Isaiah 43:4)-c2	1,2,3,4	-
pair_38_(Isaiah 43:4)	508_(Isaiah 43:4)-c2,510_(Isaiah 43:4)-c1	1,2,3,4	-
pair_39_(Isaiah 43:4)	504_(Isaiah 43:4)-c2,501_(Isaiah 43:4)-c2	1,2,3,4	-
pair_40_(Isaiah 43:4)	500_(Isaiah 43:4)-c2,501_(Isaiah 43:4)-c2	1,2,3,4	-
pair_41_(Isaiah 43:4)	507_(Isaiah 43:4)-c2,502_(Isaiah 43:4)-c2	1,2,3,4	-
pair_42_(Isaiah 43:4)	505_(Isaiah 43:4)-c2,497_(Isaiah 43:4)-c1	1,2,3,4	-
pair_43_(Isaiah 43:4)	509_(Isaiah 43:4)-c2,501_(Isaiah 43:4)-c1	1,2,3,4	-
pair_44_(Isaiah 43:4)	496_(Isaiah 43:4)-c1,501_(Isaiah 43:4)-c2	1,2,3,4	-
pair_45_(Isaiah 43:4)	497_(Isaiah 43:4)-c1,502_(Isaiah 43:4)-c2	1,2,3,4	-
pair_46_(Isaiah 43:4)	504_(Isaiah 43:4)-c2,498_(Isaiah 43:4)-c1	1,2,3,4	-
pair_47_(Isaiah 43:4)	500_(Isaiah 43:4)-c1,501_(Isaiah 43:4)-c2	1,2,3,4	-
pair_48_(Isaiah 43:4)	505_(Isaiah 43:4)-c2,501_(Isaiah 43:4)-c1	1,2,3,4	-
pair_49_(Isaiah 43:4)	503_(Isaiah 43:4)-c2,497_(Isaiah 43:4)-c2	1,2,3,4	-
pair_50_(Isaiah 43:4)	498_(Isaiah 43:4)-c2,506_(Isaiah 43:4)-c2	1,2,3,4	-
pair_51_(Isaiah 43:4)	497_(Isaiah 43:4)-c2,505_(Isaiah 43:4)-c1	1,2,3,4	-
pair_52_(Isaiah 43:4)	509_(Isaiah 43:4)-c1,509_(Isaiah 43:4)-c2	1,2,3,4	-
pair_53_(Isaiah 43:4)	503_(Isaiah 43:4)-c2,504_(Isaiah 43:4)-c2	1,2,3,4	-
pair_54_(Isaiah 43:4)	506_(Isaiah 43:4)-c2,497_(Isaiah 43:4)-c2	1,2,3,4	-
pair_55_(Isaiah 43:4)	506_(Isaiah 43:4)-c2,509_(Isaiah 43:4)-c2	1,2,3,4	-
pair_56_(Isaiah 43:4)	498_(Isaiah 43:4)-c2,504_(Isaiah 43:4)-c1	1,2,3,4	-
pair_57_(Isaiah 43:4)	503_(Isaiah 43:4)-c2,502_(Isaiah 43:4)-c1	1,2,3,4	-
pair_58_(Isaiah 43:4)	503_(Isaiah 43:4)-c1,502_(Isaiah 43:4)-c2	1,2,3,4	-
pair_59_(Isaiah 43:4)	501_(Isaiah 43:4)-c2,497_(Isaiah 43:4)-c1	1,2,3,4	-
pair_60_(Isaiah 43:4)	499_(Isaiah 43:4)-c1,500_(Isaiah 43:4)-c1	1,2,3,4	-
pair_61_(Isaiah 43:4)	496_(Isaiah 43:4)-c2,497_(Isaiah 43:4)-c1	1,2,3,4	-
pair_62_(Isaiah 43:4)	508_(Isaiah 43:4)-c2,496_(Isaiah 43:4)-c1	1,2,3,4	-
pair_63_(Isaiah 43:4)	510_(Isaiah 43:4)-c1,496_(Isaiah 43:4)-c1	1,2,3,4	-
pair_64_(Isaiah 43:4)	505_(Isaiah 43:4)-c2,499_(Isaiah 43:4)-c2	1,2,3,4	-
pair_65_(Isaiah 43:4)	496_(Isaiah 43:4)-c1,497_(Isaiah 43:4)-c1	1,2,3,4	-
pair_66_(Isaiah 43:4)	502_(Isaiah 43:4)-c1,500_(Isaiah 43:4)-c1	1,2,3,4	-
pair_67_(Isaiah 43:4)	498_(Isaiah 43:4)-c1,497_(Isaiah 43:4)-c1	1,2,3,4	-
pair_68_(Isaiah 43:4)	504_(Isaiah 43:4)-c1,496_(Isaiah 43:4)-c1	1,2,3,4	-
pair_69_(Isaiah 43:4)	496_(Isaiah 43:4)-c2,509_(Isaiah 43:4)-c1	1,2,3,4	-
pair_70_(Isaiah 43:4)	510_(Isaiah 43:4)-c1,502_(Isaiah 43:4)-c1	1,2,3,4	-
pair_71_(Isaiah 43:4)	500_(Isaiah 43:4)-c2,499_(Isaiah 43:4)-c2	1,2,3,4	-
pair_72_(Isaiah 43:4)	500_(Isaiah 43:4)-c2,500_(Isaiah 43:4)-c1	1,2,3,4	-
pair_73_(Isaiah 43:4)	508_(Isaiah 43:4)-c2,506_(Isaiah 43:4)-c1	1,2,3,4	-
pair_74_(Isaiah 43:4)	509_(Isaiah 43:4)-c1,501_(Isaiah 43:4)-c1	1,2,3,4	-
pair_75_(Isaiah 43:4)	496_(Isaiah 43:4)-c2,502_(Isaiah 43:4)-c2	1,2,3,4	-
pair_76_(Isaiah 43:4)	510_(Isaiah 43:4)-c2,506_(Isaiah 43:4)-c1	1,2,3,4	-
pair_77_(Isaiah 43:4)	506_(Isaiah 43:4)-c2,500_(Isaiah 43:4)-c1	1,2,3,4	-
pair_78_(Isaiah 43:4)	504_(Isaiah 43:4)-c1,503_(Isaiah 43:4)-c1	1,2,3,4	-
pair_79_(Isaiah 43:4)	505_(Isaiah 43:4)-c2,502_(Isaiah 43:4)-c2	1,2,3,4	-
pair_80_(Isaiah 43:4)	510_(Isaiah 43:4)-c1,497_(Isaiah 43:4)-c2	1,2,3,4	-
pair_81_(Isaiah 43:4)	502_(Isaiah 43:4)-c1,506_(Isaiah 43:4)-c2	1,2,3,4	-
pair_82_(Isaiah 43:4)	506_(Isaiah 43:4)-c1,501_(Isaiah 43:4)-c1	1,2,3,4	-
pair_83_(Isaiah 43:4)	499_(Isaiah 43:4)-c1,498_(Isaiah 43:4)-c1	1,2,3,4	-
pair_84_(Isaiah 43:4)	500_(Isaiah 43:4)-c2,497_(Isaiah 43:4)-c2	1,2,3,4	-
pair_85_(Isaiah 43:4)	508_(Isaiah 43:4)-c1,499_(Isaiah 43:4)-c1	1,2,3,4	-
pair_86_(Isaiah 43:4)	503_(Isaiah 43:4)-c1,505_(Isaiah 43:4)-c1	1,2,3,4	-
pair_87_(Isaiah 43:4)	497_(Isaiah 43:4)-c1,509_(Isaiah 43:4)-c2	1,2,3,4	-
pair_88_(Isaiah 43:4)	504_(Isaiah 43:4)-c1,506_(Isaiah 43:4)-c2	1,2,3,4	-
pair_89_(Isaiah 43:4)	502_(Isaiah 43:4)-c2,501_(Isaiah 43:4)-c1	1,2,3,4	-
pair_90_(Isaiah 43:4)	496_(Isaiah 43:4)-c1,502_(Isaiah 43:4)-c2	1,2,3,4	-
pair_91_(Isaiah 43:4)	506_(Isaiah 43:4)-c1,505_(Isaiah 43:4)-c1	1,2,3,4	-
pair_92_(Isaiah 43:4)	504_(Isaiah 43:4)-c2,509_(Isaiah 43:4)-c2	1,2,3,4	-
pair_93_(Isaiah 43:4)	508_(Isaiah 43:4)-c1,503_(Isaiah 43:4)-c1	1,2,3,4	-
pair_94_(Isaiah 43:4)	503_(Isaiah 43:4)-c2,499_(Isaiah 43:4)-c1	1,2,3,4	-
pair_95_(Isaiah 43:4)	508_(Isaiah 43:4)-c1,497_(Isaiah 43:4)-c1	1,2,3,4	-
pair_96_(Isaiah 43:4)	504_(Isaiah 43:4)-c2,499_(Isaiah 43:4)-c2	1,2,3,4	-
pair_97_(Isaiah 43:4)	502_(Isaiah 43:4)-c1,499_(Isaiah 43:4)-c2	1,2,3,4	-
pair_98_(Isaiah 43:4)	502_(Isaiah 43:4)-c1,505_(Isaiah 43:4)-c1	1,2,3,4	-
pair_99_(Isaiah 43:4)	509_(Isaiah 43:4)-c1,497_(Isaiah 43:4)-c1	1,2,3,4	-
