instanceID	dataIDs	label_set	non_label
pair_0_(Jeremiah 17:9)	469_(Jeremiah 17:9)-c2,469_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_1_(Jeremiah 17:9)	479_(Jeremiah 17:9)-c2,469_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_2_(Jeremiah 17:9)	480_(Jeremiah 17:9)-c1,471_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_3_(Jeremiah 17:9)	470_(Jeremiah 17:9)-c1,477_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_4_(Jeremiah 17:9)	474_(Jeremiah 17:9)-c2,476_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_5_(Jeremiah 17:9)	470_(Jeremiah 17:9)-c2,468_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_6_(Jeremiah 17:9)	470_(Jeremiah 17:9)-c2,476_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_7_(Jeremiah 17:9)	474_(Jeremiah 17:9)-c1,477_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_8_(Jeremiah 17:9)	468_(Jeremiah 17:9)-c1,476_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_9_(Jeremiah 17:9)	474_(Jeremiah 17:9)-c1,478_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_10_(Jeremiah 17:9)	476_(Jeremiah 17:9)-c2,469_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_11_(Jeremiah 17:9)	467_(Jeremiah 17:9)-c1,475_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_12_(Jeremiah 17:9)	474_(Jeremiah 17:9)-c2,467_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_13_(Jeremiah 17:9)	471_(Jeremiah 17:9)-c1,466_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_14_(Jeremiah 17:9)	471_(Jeremiah 17:9)-c2,472_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_15_(Jeremiah 17:9)	480_(Jeremiah 17:9)-c1,467_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_16_(Jeremiah 17:9)	470_(Jeremiah 17:9)-c1,477_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_17_(Jeremiah 17:9)	476_(Jeremiah 17:9)-c2,480_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_18_(Jeremiah 17:9)	479_(Jeremiah 17:9)-c2,472_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_19_(Jeremiah 17:9)	468_(Jeremiah 17:9)-c1,468_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_20_(Jeremiah 17:9)	475_(Jeremiah 17:9)-c1,475_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_21_(Jeremiah 17:9)	478_(Jeremiah 17:9)-c2,467_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_22_(Jeremiah 17:9)	471_(Jeremiah 17:9)-c2,475_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_23_(Jeremiah 17:9)	478_(Jeremiah 17:9)-c2,469_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_24_(Jeremiah 17:9)	470_(Jeremiah 17:9)-c2,473_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_25_(Jeremiah 17:9)	479_(Jeremiah 17:9)-c1,470_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_26_(Jeremiah 17:9)	471_(Jeremiah 17:9)-c2,469_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_27_(Jeremiah 17:9)	478_(Jeremiah 17:9)-c1,469_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_28_(Jeremiah 17:9)	474_(Jeremiah 17:9)-c2,474_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_29_(Jeremiah 17:9)	473_(Jeremiah 17:9)-c1,475_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_30_(Jeremiah 17:9)	473_(Jeremiah 17:9)-c2,466_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_31_(Jeremiah 17:9)	470_(Jeremiah 17:9)-c2,472_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_32_(Jeremiah 17:9)	478_(Jeremiah 17:9)-c2,466_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_33_(Jeremiah 17:9)	469_(Jeremiah 17:9)-c2,475_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_34_(Jeremiah 17:9)	479_(Jeremiah 17:9)-c1,479_(Jeremiah 17:9)-c2	1,2,3,4	-
pair_35_(Jeremiah 17:9)	477_(Jeremiah 17:9)-c2,468_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_36_(Jeremiah 17:9)	477_(Jeremiah 17:9)-c1,467_(Jeremiah 17:9)-c1	1,2,3,4	-
pair_37_(Jeremiah 17:9)	478_(Jeremiah 17:9)-c2,470_(Jeremiah 17:9)-c1	1,2,3,4	-
