instanceID	dataIDs	label_set	non_label
pair_0_(John 8:32)	618_(John 8:32)-c1,626_(John 8:32)-c2	1,2,3,4	-
pair_1_(John 8:32)	628_(John 8:32)-c1,619_(John 8:32)-c1	1,2,3,4	-
pair_2_(John 8:32)	625_(John 8:32)-c1,621_(John 8:32)-c1	1,2,3,4	-
pair_3_(John 8:32)	628_(John 8:32)-c2,626_(John 8:32)-c1	1,2,3,4	-
pair_4_(John 8:32)	628_(John 8:32)-c1,627_(John 8:32)-c2	1,2,3,4	-
pair_5_(John 8:32)	628_(John 8:32)-c2,619_(John 8:32)-c2	1,2,3,4	-
pair_6_(John 8:32)	625_(John 8:32)-c2,623_(John 8:32)-c2	1,2,3,4	-
pair_7_(John 8:32)	618_(John 8:32)-c1,624_(John 8:32)-c2	1,2,3,4	-
pair_8_(John 8:32)	616_(John 8:32)-c1,620_(John 8:32)-c1	1,2,3,4	-
pair_9_(John 8:32)	626_(John 8:32)-c1,627_(John 8:32)-c2	1,2,3,4	-
pair_10_(John 8:32)	625_(John 8:32)-c1,623_(John 8:32)-c2	1,2,3,4	-
pair_11_(John 8:32)	622_(John 8:32)-c1,623_(John 8:32)-c1	1,2,3,4	-
pair_12_(John 8:32)	618_(John 8:32)-c1,627_(John 8:32)-c1	1,2,3,4	-
pair_13_(John 8:32)	630_(John 8:32)-c2,620_(John 8:32)-c2	1,2,3,4	-
pair_14_(John 8:32)	616_(John 8:32)-c2,620_(John 8:32)-c1	1,2,3,4	-
pair_15_(John 8:32)	622_(John 8:32)-c1,617_(John 8:32)-c2	1,2,3,4	-
pair_16_(John 8:32)	625_(John 8:32)-c1,624_(John 8:32)-c2	1,2,3,4	-
pair_17_(John 8:32)	630_(John 8:32)-c1,624_(John 8:32)-c2	1,2,3,4	-
pair_18_(John 8:32)	628_(John 8:32)-c1,620_(John 8:32)-c2	1,2,3,4	-
pair_19_(John 8:32)	616_(John 8:32)-c2,629_(John 8:32)-c1	1,2,3,4	-
pair_20_(John 8:32)	618_(John 8:32)-c1,619_(John 8:32)-c1	1,2,3,4	-
pair_21_(John 8:32)	617_(John 8:32)-c2,629_(John 8:32)-c1	1,2,3,4	-
pair_22_(John 8:32)	619_(John 8:32)-c1,627_(John 8:32)-c2	1,2,3,4	-
pair_23_(John 8:32)	629_(John 8:32)-c1,624_(John 8:32)-c2	1,2,3,4	-
pair_24_(John 8:32)	624_(John 8:32)-c1,621_(John 8:32)-c1	1,2,3,4	-
pair_25_(John 8:32)	618_(John 8:32)-c1,622_(John 8:32)-c1	1,2,3,4	-
pair_26_(John 8:32)	621_(John 8:32)-c2,630_(John 8:32)-c1	1,2,3,4	-
pair_27_(John 8:32)	621_(John 8:32)-c1,622_(John 8:32)-c2	1,2,3,4	-
pair_28_(John 8:32)	619_(John 8:32)-c1,624_(John 8:32)-c2	1,2,3,4	-
pair_29_(John 8:32)	625_(John 8:32)-c1,630_(John 8:32)-c2	1,2,3,4	-
pair_30_(John 8:32)	627_(John 8:32)-c1,622_(John 8:32)-c2	1,2,3,4	-
pair_31_(John 8:32)	630_(John 8:32)-c2,622_(John 8:32)-c2	1,2,3,4	-
pair_32_(John 8:32)	618_(John 8:32)-c2,620_(John 8:32)-c2	1,2,3,4	-
pair_33_(John 8:32)	624_(John 8:32)-c1,625_(John 8:32)-c1	1,2,3,4	-
pair_34_(John 8:32)	625_(John 8:32)-c1,619_(John 8:32)-c1	1,2,3,4	-
pair_35_(John 8:32)	616_(John 8:32)-c1,617_(John 8:32)-c2	1,2,3,4	-
pair_36_(John 8:32)	621_(John 8:32)-c1,620_(John 8:32)-c2	1,2,3,4	-
pair_37_(John 8:32)	622_(John 8:32)-c1,619_(John 8:32)-c1	1,2,3,4	-
