instanceID	dataIDs	label_set	non_label
pair_0_(Joshua 1:9)	38_(Joshua 1:9)-c2,39_(Joshua 1:9)-c1	1,2,3,4	-
pair_1_(Joshua 1:9)	37_(Joshua 1:9)-c2,36_(Joshua 1:9)-c2	1,2,3,4	-
pair_2_(Joshua 1:9)	42_(Joshua 1:9)-c2,39_(Joshua 1:9)-c1	1,2,3,4	-
pair_3_(Joshua 1:9)	39_(Joshua 1:9)-c2,40_(Joshua 1:9)-c1	1,2,3,4	-
pair_4_(Joshua 1:9)	44_(Joshua 1:9)-c1,42_(Joshua 1:9)-c1	1,2,3,4	-
pair_5_(Joshua 1:9)	37_(Joshua 1:9)-c1,44_(Joshua 1:9)-c2	1,2,3,4	-
pair_6_(Joshua 1:9)	39_(Joshua 1:9)-c2,44_(Joshua 1:9)-c2	1,2,3,4	-
pair_7_(Joshua 1:9)	36_(Joshua 1:9)-c1,30_(Joshua 1:9)-c1	1,2,3,4	-
pair_8_(Joshua 1:9)	35_(Joshua 1:9)-c1,41_(Joshua 1:9)-c2	1,2,3,4	-
pair_9_(Joshua 1:9)	31_(Joshua 1:9)-c2,43_(Joshua 1:9)-c1	1,2,3,4	-
pair_10_(Joshua 1:9)	41_(Joshua 1:9)-c2,36_(Joshua 1:9)-c2	1,2,3,4	-
pair_11_(Joshua 1:9)	34_(Joshua 1:9)-c2,30_(Joshua 1:9)-c1	1,2,3,4	-
pair_12_(Joshua 1:9)	40_(Joshua 1:9)-c2,39_(Joshua 1:9)-c1	1,2,3,4	-
pair_13_(Joshua 1:9)	34_(Joshua 1:9)-c2,38_(Joshua 1:9)-c2	1,2,3,4	-
pair_14_(Joshua 1:9)	38_(Joshua 1:9)-c1,31_(Joshua 1:9)-c2	1,2,3,4	-
pair_15_(Joshua 1:9)	30_(Joshua 1:9)-c2,32_(Joshua 1:9)-c2	1,2,3,4	-
pair_16_(Joshua 1:9)	34_(Joshua 1:9)-c2,38_(Joshua 1:9)-c1	1,2,3,4	-
pair_17_(Joshua 1:9)	30_(Joshua 1:9)-c2,30_(Joshua 1:9)-c1	1,2,3,4	-
pair_18_(Joshua 1:9)	38_(Joshua 1:9)-c1,37_(Joshua 1:9)-c2	1,2,3,4	-
pair_19_(Joshua 1:9)	34_(Joshua 1:9)-c1,34_(Joshua 1:9)-c2	1,2,3,4	-
pair_20_(Joshua 1:9)	34_(Joshua 1:9)-c1,43_(Joshua 1:9)-c1	1,2,3,4	-
pair_21_(Joshua 1:9)	30_(Joshua 1:9)-c2,36_(Joshua 1:9)-c2	1,2,3,4	-
pair_22_(Joshua 1:9)	33_(Joshua 1:9)-c1,31_(Joshua 1:9)-c1	1,2,3,4	-
pair_23_(Joshua 1:9)	33_(Joshua 1:9)-c1,33_(Joshua 1:9)-c2	1,2,3,4	-
pair_24_(Joshua 1:9)	33_(Joshua 1:9)-c1,43_(Joshua 1:9)-c1	1,2,3,4	-
pair_25_(Joshua 1:9)	41_(Joshua 1:9)-c2,39_(Joshua 1:9)-c2	1,2,3,4	-
pair_26_(Joshua 1:9)	36_(Joshua 1:9)-c2,43_(Joshua 1:9)-c2	1,2,3,4	-
pair_27_(Joshua 1:9)	44_(Joshua 1:9)-c1,30_(Joshua 1:9)-c1	1,2,3,4	-
pair_28_(Joshua 1:9)	44_(Joshua 1:9)-c1,40_(Joshua 1:9)-c2	1,2,3,4	-
pair_29_(Joshua 1:9)	42_(Joshua 1:9)-c1,32_(Joshua 1:9)-c2	1,2,3,4	-
pair_30_(Joshua 1:9)	31_(Joshua 1:9)-c1,39_(Joshua 1:9)-c2	1,2,3,4	-
pair_31_(Joshua 1:9)	37_(Joshua 1:9)-c1,37_(Joshua 1:9)-c2	1,2,3,4	-
pair_32_(Joshua 1:9)	44_(Joshua 1:9)-c1,33_(Joshua 1:9)-c2	1,2,3,4	-
pair_33_(Joshua 1:9)	44_(Joshua 1:9)-c1,36_(Joshua 1:9)-c2	1,2,3,4	-
