dataID	context	indices_target_token	indices_target_sentence	lemma
35_(Joshua 1:9)-c1	Pursue your dreams in a way that works for you. Be strong and courageous. Do not be afraid or terrified because of them	48:90	0:119	Be strong and courageous. Do not be afraid
32_(Joshua 1:9)-c1	In the face of challenges, be strong and courageous. Do not be afraid to fight against all odds, for victory lies beyond the struggle	27:69	0:133	Be strong and courageous. Do not be afraid
30_(Joshua 1:9)-c2	Be strong and courageous. Do not be afraid to fight for justice, to stand up for what is right, and to make a difference in the world. #Justice #FightForWhatIsRight	0:42	0:164	Be strong and courageous. Do not be afraid
34_(Joshua 1:9)-c1	Be strong and courageous. Do not be afraid or dismayed before the King of Assyria and all the horde that is with him, for there are more with us than him. With him is an arm of flesh, but with us is the lord our God, to help us and fight our battles	0:42	0:249	Be strong and courageous. Do not be afraid
34_(Joshua 1:9)-c2	Be strong and courageous. Do not be afraid to fight the negativity around you and choose to radiate positivity and kindness instead. #Positivity #FightNegativity	0:42	0:161	Be strong and courageous. Do not be afraid
38_(Joshua 1:9)-c1	Too many of us are not living our dreams because we are living our fears. - Les Brown. Scripture Verse: Be strong and courageous. Do not be afraid or terrified	104:146	0:159	Be strong and courageous. Do not be afraid
37_(Joshua 1:9)-c1	If you want to live your dreams, you have to take a risk. Don't live your life always wondering what could have happened. Be strong and courageous. Do not be afraid or discouraged, for the Lord God, my God, is with you.	122:164	0:219	Be strong and courageous. Do not be afraid
33_(Joshua 1:9)-c1	This world is not fair. It doesn't give you what you want. It gives you what you fight for so be strong and courageous. Do not be afraid or discouraged. When it gets tough, relax, take in all the energy you need and keep pushing but don't give up !❤️	94:136	0:250	Be strong and courageous. Do not be afraid
31_(Joshua 1:9)-c2	Let your heart be filled with determination. Be strong and courageous. Do not be afraid to fight for your beliefs and principles. #Determination #FightForYourBeliefs	45:87	0:165	Be strong and courageous. Do not be afraid
41_(Joshua 1:9)-c2	Many of us are not living our dreams, because we are living our fears. This is my command - Be strong and courageous. Do not be afraid or discouraged. For the Lord your God is with you wherever you go. 	92:134	0:202	Be strong and courageous. Do not be afraid
35_(Joshua 1:9)-c2	Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go. Keep fighting for you dreams. God has already given you the victory 😍😁✊	0:42	0:194	Be strong and courageous. Do not be afraid
37_(Joshua 1:9)-c2	I HAVE A DREAM!! My dream is to be accepted and committed into an awesome college and pursue my academics and sports. #determined, #motivated GO BE GREAT, BE STRONG AND COURAGEOUS. DO NOT BE AFRAID; DO NOT BE DISCOURAGED, FOR THE LORD WILL BE WITH YOU WHEREVER YOU GO	155:197	0:267	Be strong and courageous. Do not be afraid
44_(Joshua 1:9)-c1	Congratulations Hon @SuluhuSamia. @StateHouseKenya stands with you as you set out to achieve the goals for Tanzania. Remember: Be strong and courageous. Do not be afraid	127:169	0:169	Be strong and courageous. Do not be afraid
31_(Joshua 1:9)-c1	Be strong and courageous. Do not be afraid to fight for your dreams, for they are worth every effort and sacrifice. #Strength #Courage #FightForYourDreams	0:42	0:154	Be strong and courageous. Do not be afraid
41_(Joshua 1:9)-c1	Can't believe she's 14 where does the time go! We can only pray for them, be strong and courageous. Do not be afraid, follow ur dreams, God will be with you wherever you go and so would I.	74:116	0:188	Be strong and courageous. Do not be afraid
36_(Joshua 1:9)-c2	New Year's Goal: Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.	17:59	0:139	Be strong and courageous. Do not be afraid
40_(Joshua 1:9)-c2	Do you need to take of step faith? To Pursue that dream? Afraid to try that new thing? Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the LORD your God will be with you wherever you go.	113:155	0:235	Be strong and courageous. Do not be afraid
43_(Joshua 1:9)-c2	Put on comfortable shoes and head in the direction of your dreams. God has prepared the path ahead of you. Be strong and courageous. Do not be afraid	107:149	0:149	Be strong and courageous. Do not be afraid
39_(Joshua 1:9)-c2	Stop doubting yourself. You were made for more than the mundane. Your hopes, dreams, and aspirations are who you are, not the stress and anxiety you face daily. Be strong and courageous. Do not be afraid. Love deeply, be bold, and do the impossible today!	161:203	0:255	Be strong and courageous. Do not be afraid
44_(Joshua 1:9)-c2	Discouragement and fear steals joy and kills dreams. He heals the brokenhearted and binds up their wounds. Be strong and courageous. Do not be afraid. For the Lord your God will be with you wherever you go	107:149	0:205	Be strong and courageous. Do not be afraid
42_(Joshua 1:9)-c1	Don't give up your dreams. Instead, trust in God. Be faithful. Love yourself and others. Pray. Let go and Let God. Worry less. Be strong and courageous. Do not be afraid... but don't give up your dreams	127:169	0:202	Be strong and courageous. Do not be afraid
36_(Joshua 1:9)-c1	Golden Goal of the day - Be strong and courageous. Do not be afraid; do not be discouraged - trust, have faith. Love all, God bless.	25:67	0:132	Be strong and courageous. Do not be afraid
38_(Joshua 1:9)-c2	The entire verse says, Be strong and courageous. Do not be afraid or tremble in dread before them, for it is the Lord your God who goes with you. He will not fail you or abandon you. So everytime I'm courageous, go after my dreams and do the things I really want to do...	23:65	0:271	Be strong and courageous. Do not be afraid
42_(Joshua 1:9)-c2	No Fear Friday! Are fears keeping you from living your dreams? Be strong and courageous. Do not be afraid	63:105	0:105	Be strong and courageous. Do not be afraid
40_(Joshua 1:9)-c1	Be Strong and Courageous! ... be ready to 'Climb every mountain, ford every stream, follow every rainbow Till you find your dream'. The Bible says: Be strong and courageous. Do not be afraid or terrified because the Lord your God goes with you; he will never leave you nor forsake you.	148:190	0:285	Be strong and courageous. Do not be afraid
30_(Joshua 1:9)-c1	@KariLake Keep fighting the good fight!! Be strong and courageous. Do not be afraid; do not be discouraged, for the LORD your God will be with you wherever you go.	41:83	0:163	Be strong and courageous. Do not be afraid
43_(Joshua 1:9)-c1	Behind the scenes photo at the podcast lab. The most important thing in action is to have faith. Be courageous, believe in yourself and good things will come. No matter where you start, persevere, and achieve your dream. Be strong and courageous. Do not be afraid.	221:263	0:264	Be strong and courageous. Do not be afraid
39_(Joshua 1:9)-c1	Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go. Live your dream! #letthedawgseat Go Terriers!	26:68	0:194	Be strong and courageous. Do not be afraid
32_(Joshua 1:9)-c2	In the pursuit of your goals, be strong and courageous. Do not be afraid to fight the doubts and insecurities that may arise. #Confidence #FightTheDoubts	30:72	0:153	Be strong and courageous. Do not be afraid
33_(Joshua 1:9)-c2	Life may throw obstacles in your path, but be strong and courageous. Do not be afraid to fight for your passions and turn obstacles into stepping stones. #Passion #FightObstacles	43:85	0:178	Be strong and courageous. Do not be afraid
