instanceID	dataIDs	label_set	non_label
pair_0_(Leviticus 18:22)	162_(Leviticus 18:22)-c1,150_(Leviticus 18:22)-c2	1,2,3,4	-
pair_1_(Leviticus 18:22)	164_(Leviticus 18:22)-c2,156_(Leviticus 18:22)-c1	1,2,3,4	-
pair_2_(Leviticus 18:22)	159_(Leviticus 18:22)-c2,151_(Leviticus 18:22)-c2	1,2,3,4	-
pair_3_(Leviticus 18:22)	155_(Leviticus 18:22)-c1,163_(Leviticus 18:22)-c1	1,2,3,4	-
pair_4_(Leviticus 18:22)	154_(Leviticus 18:22)-c2,162_(Leviticus 18:22)-c1	1,2,3,4	-
pair_5_(Leviticus 18:22)	157_(Leviticus 18:22)-c1,152_(Leviticus 18:22)-c1	1,2,3,4	-
pair_6_(Leviticus 18:22)	153_(Leviticus 18:22)-c2,162_(Leviticus 18:22)-c1	1,2,3,4	-
pair_7_(Leviticus 18:22)	152_(Leviticus 18:22)-c2,153_(Leviticus 18:22)-c2	1,2,3,4	-
pair_8_(Leviticus 18:22)	160_(Leviticus 18:22)-c1,157_(Leviticus 18:22)-c1	1,2,3,4	-
pair_9_(Leviticus 18:22)	159_(Leviticus 18:22)-c1,163_(Leviticus 18:22)-c1	1,2,3,4	-
pair_10_(Leviticus 18:22)	150_(Leviticus 18:22)-c1,151_(Leviticus 18:22)-c1	1,2,3,4	-
pair_11_(Leviticus 18:22)	159_(Leviticus 18:22)-c2,154_(Leviticus 18:22)-c1	1,2,3,4	-
pair_12_(Leviticus 18:22)	162_(Leviticus 18:22)-c2,163_(Leviticus 18:22)-c2	1,2,3,4	-
pair_13_(Leviticus 18:22)	153_(Leviticus 18:22)-c2,159_(Leviticus 18:22)-c1	1,2,3,4	-
pair_14_(Leviticus 18:22)	159_(Leviticus 18:22)-c2,156_(Leviticus 18:22)-c2	1,2,3,4	-
pair_15_(Leviticus 18:22)	150_(Leviticus 18:22)-c2,157_(Leviticus 18:22)-c2	1,2,3,4	-
pair_16_(Leviticus 18:22)	155_(Leviticus 18:22)-c1,162_(Leviticus 18:22)-c1	1,2,3,4	-
