instanceID	dataIDs	label_set	non_label
pair_0_(Luke 17:3)	482_(Luke 17:3)-c1,487_(Luke 17:3)-c2	1,2,3,4	-
pair_1_(Luke 17:3)	483_(Luke 17:3)-c2,484_(Luke 17:3)-c1	1,2,3,4	-
pair_2_(Luke 17:3)	489_(Luke 17:3)-c1,485_(Luke 17:3)-c2	1,2,3,4	-
pair_3_(Luke 17:3)	492_(Luke 17:3)-c1,484_(Luke 17:3)-c1	1,2,3,4	-
pair_4_(Luke 17:3)	483_(Luke 17:3)-c1,485_(Luke 17:3)-c2	1,2,3,4	-
pair_5_(Luke 17:3)	487_(Luke 17:3)-c2,483_(Luke 17:3)-c2	1,2,3,4	-
pair_6_(Luke 17:3)	489_(Luke 17:3)-c1,484_(Luke 17:3)-c2	1,2,3,4	-
pair_7_(Luke 17:3)	492_(Luke 17:3)-c2,482_(Luke 17:3)-c2	1,2,3,4	-
pair_8_(Luke 17:3)	490_(Luke 17:3)-c2,492_(Luke 17:3)-c2	1,2,3,4	-
pair_9_(Luke 17:3)	483_(Luke 17:3)-c1,487_(Luke 17:3)-c1	1,2,3,4	-
pair_10_(Luke 17:3)	492_(Luke 17:3)-c1,483_(Luke 17:3)-c2	1,2,3,4	-
pair_11_(Luke 17:3)	492_(Luke 17:3)-c2,484_(Luke 17:3)-c1	1,2,3,4	-
pair_12_(Luke 17:3)	494_(Luke 17:3)-c2,485_(Luke 17:3)-c2	1,2,3,4	-
pair_13_(Luke 17:3)	491_(Luke 17:3)-c2,483_(Luke 17:3)-c1	1,2,3,4	-
pair_14_(Luke 17:3)	488_(Luke 17:3)-c1,487_(Luke 17:3)-c1	1,2,3,4	-
pair_15_(Luke 17:3)	481_(Luke 17:3)-c2,495_(Luke 17:3)-c2	1,2,3,4	-
pair_16_(Luke 17:3)	491_(Luke 17:3)-c2,493_(Luke 17:3)-c1	1,2,3,4	-
pair_17_(Luke 17:3)	494_(Luke 17:3)-c1,486_(Luke 17:3)-c1	1,2,3,4	-
pair_18_(Luke 17:3)	483_(Luke 17:3)-c1,487_(Luke 17:3)-c2	1,2,3,4	-
pair_19_(Luke 17:3)	494_(Luke 17:3)-c1,481_(Luke 17:3)-c2	1,2,3,4	-
pair_20_(Luke 17:3)	488_(Luke 17:3)-c1,484_(Luke 17:3)-c1	1,2,3,4	-
pair_21_(Luke 17:3)	493_(Luke 17:3)-c2,493_(Luke 17:3)-c1	1,2,3,4	-
pair_22_(Luke 17:3)	483_(Luke 17:3)-c2,481_(Luke 17:3)-c1	1,2,3,4	-
pair_23_(Luke 17:3)	485_(Luke 17:3)-c1,486_(Luke 17:3)-c2	1,2,3,4	-
pair_24_(Luke 17:3)	482_(Luke 17:3)-c1,493_(Luke 17:3)-c1	1,2,3,4	-
pair_25_(Luke 17:3)	487_(Luke 17:3)-c2,485_(Luke 17:3)-c2	1,2,3,4	-
pair_26_(Luke 17:3)	487_(Luke 17:3)-c2,484_(Luke 17:3)-c1	1,2,3,4	-
pair_27_(Luke 17:3)	483_(Luke 17:3)-c1,493_(Luke 17:3)-c1	1,2,3,4	-
pair_28_(Luke 17:3)	486_(Luke 17:3)-c1,489_(Luke 17:3)-c2	1,2,3,4	-
pair_29_(Luke 17:3)	481_(Luke 17:3)-c2,489_(Luke 17:3)-c2	1,2,3,4	-
pair_30_(Luke 17:3)	491_(Luke 17:3)-c1,495_(Luke 17:3)-c2	1,2,3,4	-
pair_31_(Luke 17:3)	484_(Luke 17:3)-c2,486_(Luke 17:3)-c1	1,2,3,4	-
pair_32_(Luke 17:3)	491_(Luke 17:3)-c1,486_(Luke 17:3)-c1	1,2,3,4	-
pair_33_(Luke 17:3)	488_(Luke 17:3)-c2,483_(Luke 17:3)-c2	1,2,3,4	-
pair_34_(Luke 17:3)	495_(Luke 17:3)-c1,492_(Luke 17:3)-c2	1,2,3,4	-
pair_35_(Luke 17:3)	486_(Luke 17:3)-c1,482_(Luke 17:3)-c2	1,2,3,4	-
pair_36_(Luke 17:3)	482_(Luke 17:3)-c2,484_(Luke 17:3)-c1	1,2,3,4	-
pair_37_(Luke 17:3)	491_(Luke 17:3)-c1,487_(Luke 17:3)-c1	1,2,3,4	-
pair_38_(Luke 17:3)	488_(Luke 17:3)-c2,481_(Luke 17:3)-c1	1,2,3,4	-
pair_39_(Luke 17:3)	489_(Luke 17:3)-c1,483_(Luke 17:3)-c2	1,2,3,4	-
pair_40_(Luke 17:3)	495_(Luke 17:3)-c1,489_(Luke 17:3)-c2	1,2,3,4	-
pair_41_(Luke 17:3)	481_(Luke 17:3)-c1,495_(Luke 17:3)-c2	1,2,3,4	-
pair_42_(Luke 17:3)	485_(Luke 17:3)-c1,493_(Luke 17:3)-c1	1,2,3,4	-
pair_43_(Luke 17:3)	487_(Luke 17:3)-c2,492_(Luke 17:3)-c2	1,2,3,4	-
pair_44_(Luke 17:3)	492_(Luke 17:3)-c1,494_(Luke 17:3)-c2	1,2,3,4	-
pair_45_(Luke 17:3)	494_(Luke 17:3)-c2,487_(Luke 17:3)-c2	1,2,3,4	-
pair_46_(Luke 17:3)	491_(Luke 17:3)-c1,488_(Luke 17:3)-c2	1,2,3,4	-
pair_47_(Luke 17:3)	486_(Luke 17:3)-c2,484_(Luke 17:3)-c2	1,2,3,4	-
pair_48_(Luke 17:3)	482_(Luke 17:3)-c1,482_(Luke 17:3)-c2	1,2,3,4	-
pair_49_(Luke 17:3)	484_(Luke 17:3)-c1,485_(Luke 17:3)-c2	1,2,3,4	-
pair_50_(Luke 17:3)	488_(Luke 17:3)-c2,486_(Luke 17:3)-c2	1,2,3,4	-
pair_51_(Luke 17:3)	488_(Luke 17:3)-c2,485_(Luke 17:3)-c2	1,2,3,4	-
pair_52_(Luke 17:3)	489_(Luke 17:3)-c2,487_(Luke 17:3)-c1	1,2,3,4	-
pair_53_(Luke 17:3)	491_(Luke 17:3)-c2,492_(Luke 17:3)-c1	1,2,3,4	-
pair_54_(Luke 17:3)	494_(Luke 17:3)-c2,484_(Luke 17:3)-c2	1,2,3,4	-
pair_55_(Luke 17:3)	495_(Luke 17:3)-c1,488_(Luke 17:3)-c1	1,2,3,4	-
pair_56_(Luke 17:3)	484_(Luke 17:3)-c2,488_(Luke 17:3)-c1	1,2,3,4	-
pair_57_(Luke 17:3)	495_(Luke 17:3)-c1,491_(Luke 17:3)-c1	1,2,3,4	-
pair_58_(Luke 17:3)	491_(Luke 17:3)-c1,494_(Luke 17:3)-c1	1,2,3,4	-
pair_59_(Luke 17:3)	494_(Luke 17:3)-c1,481_(Luke 17:3)-c1	1,2,3,4	-
pair_60_(Luke 17:3)	489_(Luke 17:3)-c1,488_(Luke 17:3)-c2	1,2,3,4	-
pair_61_(Luke 17:3)	486_(Luke 17:3)-c1,495_(Luke 17:3)-c2	1,2,3,4	-
pair_62_(Luke 17:3)	491_(Luke 17:3)-c2,486_(Luke 17:3)-c2	1,2,3,4	-
pair_63_(Luke 17:3)	491_(Luke 17:3)-c1,484_(Luke 17:3)-c2	1,2,3,4	-
pair_64_(Luke 17:3)	491_(Luke 17:3)-c1,488_(Luke 17:3)-c1	1,2,3,4	-
pair_65_(Luke 17:3)	492_(Luke 17:3)-c1,493_(Luke 17:3)-c2	1,2,3,4	-
pair_66_(Luke 17:3)	494_(Luke 17:3)-c2,482_(Luke 17:3)-c2	1,2,3,4	-
pair_67_(Luke 17:3)	490_(Luke 17:3)-c2,488_(Luke 17:3)-c2	1,2,3,4	-
pair_68_(Luke 17:3)	491_(Luke 17:3)-c1,481_(Luke 17:3)-c2	1,2,3,4	-
pair_69_(Luke 17:3)	493_(Luke 17:3)-c2,486_(Luke 17:3)-c1	1,2,3,4	-
pair_70_(Luke 17:3)	490_(Luke 17:3)-c1,495_(Luke 17:3)-c2	1,2,3,4	-
pair_71_(Luke 17:3)	494_(Luke 17:3)-c2,487_(Luke 17:3)-c1	1,2,3,4	-
pair_72_(Luke 17:3)	491_(Luke 17:3)-c2,481_(Luke 17:3)-c1	1,2,3,4	-
pair_73_(Luke 17:3)	488_(Luke 17:3)-c2,493_(Luke 17:3)-c1	1,2,3,4	-
pair_74_(Luke 17:3)	486_(Luke 17:3)-c2,490_(Luke 17:3)-c1	1,2,3,4	-
pair_75_(Luke 17:3)	485_(Luke 17:3)-c1,494_(Luke 17:3)-c1	1,2,3,4	-
pair_76_(Luke 17:3)	485_(Luke 17:3)-c1,482_(Luke 17:3)-c2	1,2,3,4	-
pair_77_(Luke 17:3)	489_(Luke 17:3)-c1,489_(Luke 17:3)-c2	1,2,3,4	-
pair_78_(Luke 17:3)	490_(Luke 17:3)-c2,486_(Luke 17:3)-c1	1,2,3,4	-
pair_79_(Luke 17:3)	492_(Luke 17:3)-c1,492_(Luke 17:3)-c2	1,2,3,4	-
pair_80_(Luke 17:3)	488_(Luke 17:3)-c2,490_(Luke 17:3)-c1	1,2,3,4	-
pair_81_(Luke 17:3)	489_(Luke 17:3)-c1,483_(Luke 17:3)-c1	1,2,3,4	-
pair_82_(Luke 17:3)	494_(Luke 17:3)-c1,490_(Luke 17:3)-c1	1,2,3,4	-
pair_83_(Luke 17:3)	485_(Luke 17:3)-c1,486_(Luke 17:3)-c1	1,2,3,4	-
pair_84_(Luke 17:3)	481_(Luke 17:3)-c2,484_(Luke 17:3)-c2	1,2,3,4	-
pair_85_(Luke 17:3)	491_(Luke 17:3)-c1,486_(Luke 17:3)-c2	1,2,3,4	-
pair_86_(Luke 17:3)	485_(Luke 17:3)-c1,485_(Luke 17:3)-c2	1,2,3,4	-
pair_87_(Luke 17:3)	482_(Luke 17:3)-c1,490_(Luke 17:3)-c1	1,2,3,4	-
pair_88_(Luke 17:3)	491_(Luke 17:3)-c2,490_(Luke 17:3)-c1	1,2,3,4	-
pair_89_(Luke 17:3)	483_(Luke 17:3)-c2,485_(Luke 17:3)-c2	1,2,3,4	-
pair_90_(Luke 17:3)	483_(Luke 17:3)-c2,487_(Luke 17:3)-c1	1,2,3,4	-
pair_91_(Luke 17:3)	483_(Luke 17:3)-c2,493_(Luke 17:3)-c1	1,2,3,4	-
