instanceID	dataIDs	label_set	non_label
pair_0_(Mark 12:17)	311_(Mark 12:17)-c1,307_(Mark 12:17)-c1	1,2,3,4	-
pair_1_(Mark 12:17)	301_(Mark 12:17)-c1,312_(Mark 12:17)-c1	1,2,3,4	-
pair_2_(Mark 12:17)	305_(Mark 12:17)-c1,311_(Mark 12:17)-c1	1,2,3,4	-
pair_3_(Mark 12:17)	312_(Mark 12:17)-c2,309_(Mark 12:17)-c2	1,2,3,4	-
pair_4_(Mark 12:17)	307_(Mark 12:17)-c2,315_(Mark 12:17)-c2	1,2,3,4	-
pair_5_(Mark 12:17)	310_(Mark 12:17)-c1,306_(Mark 12:17)-c1	1,2,3,4	-
pair_6_(Mark 12:17)	314_(Mark 12:17)-c1,303_(Mark 12:17)-c1	1,2,3,4	-
pair_7_(Mark 12:17)	311_(Mark 12:17)-c1,315_(Mark 12:17)-c1	1,2,3,4	-
pair_8_(Mark 12:17)	306_(Mark 12:17)-c2,312_(Mark 12:17)-c2	1,2,3,4	-
pair_9_(Mark 12:17)	303_(Mark 12:17)-c1,315_(Mark 12:17)-c2	1,2,3,4	-
pair_10_(Mark 12:17)	311_(Mark 12:17)-c2,312_(Mark 12:17)-c1	1,2,3,4	-
pair_11_(Mark 12:17)	312_(Mark 12:17)-c1,310_(Mark 12:17)-c2	1,2,3,4	-
pair_12_(Mark 12:17)	302_(Mark 12:17)-c2,306_(Mark 12:17)-c1	1,2,3,4	-
pair_13_(Mark 12:17)	307_(Mark 12:17)-c2,315_(Mark 12:17)-c1	1,2,3,4	-
pair_14_(Mark 12:17)	309_(Mark 12:17)-c1,308_(Mark 12:17)-c2	1,2,3,4	-
pair_15_(Mark 12:17)	304_(Mark 12:17)-c1,307_(Mark 12:17)-c1	1,2,3,4	-
pair_16_(Mark 12:17)	306_(Mark 12:17)-c1,309_(Mark 12:17)-c1	1,2,3,4	-
pair_17_(Mark 12:17)	306_(Mark 12:17)-c2,311_(Mark 12:17)-c1	1,2,3,4	-
pair_18_(Mark 12:17)	305_(Mark 12:17)-c1,309_(Mark 12:17)-c1	1,2,3,4	-
pair_19_(Mark 12:17)	313_(Mark 12:17)-c2,306_(Mark 12:17)-c1	1,2,3,4	-
pair_20_(Mark 12:17)	305_(Mark 12:17)-c2,308_(Mark 12:17)-c2	1,2,3,4	-
pair_21_(Mark 12:17)	310_(Mark 12:17)-c1,308_(Mark 12:17)-c2	1,2,3,4	-
pair_22_(Mark 12:17)	305_(Mark 12:17)-c2,306_(Mark 12:17)-c1	1,2,3,4	-
pair_23_(Mark 12:17)	306_(Mark 12:17)-c2,307_(Mark 12:17)-c1	1,2,3,4	-
pair_24_(Mark 12:17)	314_(Mark 12:17)-c2,305_(Mark 12:17)-c1	1,2,3,4	-
pair_25_(Mark 12:17)	305_(Mark 12:17)-c1,308_(Mark 12:17)-c1	1,2,3,4	-
pair_26_(Mark 12:17)	301_(Mark 12:17)-c1,310_(Mark 12:17)-c2	1,2,3,4	-
pair_27_(Mark 12:17)	314_(Mark 12:17)-c2,315_(Mark 12:17)-c1	1,2,3,4	-
pair_28_(Mark 12:17)	302_(Mark 12:17)-c2,313_(Mark 12:17)-c1	1,2,3,4	-
pair_29_(Mark 12:17)	305_(Mark 12:17)-c1,313_(Mark 12:17)-c1	1,2,3,4	-
pair_30_(Mark 12:17)	315_(Mark 12:17)-c1,306_(Mark 12:17)-c1	1,2,3,4	-
pair_31_(Mark 12:17)	302_(Mark 12:17)-c2,308_(Mark 12:17)-c1	1,2,3,4	-
pair_32_(Mark 12:17)	312_(Mark 12:17)-c2,312_(Mark 12:17)-c1	1,2,3,4	-
pair_33_(Mark 12:17)	314_(Mark 12:17)-c1,302_(Mark 12:17)-c2	1,2,3,4	-
pair_34_(Mark 12:17)	313_(Mark 12:17)-c2,308_(Mark 12:17)-c1	1,2,3,4	-
pair_35_(Mark 12:17)	304_(Mark 12:17)-c1,307_(Mark 12:17)-c2	1,2,3,4	-
pair_36_(Mark 12:17)	314_(Mark 12:17)-c2,311_(Mark 12:17)-c1	1,2,3,4	-
pair_37_(Mark 12:17)	314_(Mark 12:17)-c2,312_(Mark 12:17)-c1	1,2,3,4	-
pair_38_(Mark 12:17)	303_(Mark 12:17)-c2,311_(Mark 12:17)-c1	1,2,3,4	-
pair_39_(Mark 12:17)	302_(Mark 12:17)-c2,309_(Mark 12:17)-c2	1,2,3,4	-
pair_40_(Mark 12:17)	314_(Mark 12:17)-c1,311_(Mark 12:17)-c1	1,2,3,4	-
pair_41_(Mark 12:17)	315_(Mark 12:17)-c1,308_(Mark 12:17)-c2	1,2,3,4	-
pair_42_(Mark 12:17)	312_(Mark 12:17)-c2,307_(Mark 12:17)-c1	1,2,3,4	-
pair_43_(Mark 12:17)	313_(Mark 12:17)-c2,306_(Mark 12:17)-c2	1,2,3,4	-
pair_44_(Mark 12:17)	303_(Mark 12:17)-c2,307_(Mark 12:17)-c2	1,2,3,4	-
pair_45_(Mark 12:17)	307_(Mark 12:17)-c2,311_(Mark 12:17)-c2	1,2,3,4	-
pair_46_(Mark 12:17)	307_(Mark 12:17)-c2,313_(Mark 12:17)-c1	1,2,3,4	-
pair_47_(Mark 12:17)	301_(Mark 12:17)-c1,311_(Mark 12:17)-c1	1,2,3,4	-
pair_48_(Mark 12:17)	307_(Mark 12:17)-c2,302_(Mark 12:17)-c1	1,2,3,4	-
pair_49_(Mark 12:17)	312_(Mark 12:17)-c2,313_(Mark 12:17)-c1	1,2,3,4	-
pair_50_(Mark 12:17)	301_(Mark 12:17)-c1,308_(Mark 12:17)-c1	1,2,3,4	-
pair_51_(Mark 12:17)	302_(Mark 12:17)-c2,304_(Mark 12:17)-c2	1,2,3,4	-
pair_52_(Mark 12:17)	301_(Mark 12:17)-c2,303_(Mark 12:17)-c1	1,2,3,4	-
pair_53_(Mark 12:17)	312_(Mark 12:17)-c2,303_(Mark 12:17)-c1	1,2,3,4	-
pair_54_(Mark 12:17)	306_(Mark 12:17)-c2,302_(Mark 12:17)-c1	1,2,3,4	-
pair_55_(Mark 12:17)	314_(Mark 12:17)-c1,306_(Mark 12:17)-c2	1,2,3,4	-
pair_56_(Mark 12:17)	302_(Mark 12:17)-c1,308_(Mark 12:17)-c2	1,2,3,4	-
pair_57_(Mark 12:17)	314_(Mark 12:17)-c2,306_(Mark 12:17)-c1	1,2,3,4	-
pair_58_(Mark 12:17)	311_(Mark 12:17)-c2,310_(Mark 12:17)-c2	1,2,3,4	-
pair_59_(Mark 12:17)	301_(Mark 12:17)-c2,314_(Mark 12:17)-c2	1,2,3,4	-
pair_60_(Mark 12:17)	308_(Mark 12:17)-c1,315_(Mark 12:17)-c1	1,2,3,4	-
pair_61_(Mark 12:17)	302_(Mark 12:17)-c2,304_(Mark 12:17)-c1	1,2,3,4	-
pair_62_(Mark 12:17)	305_(Mark 12:17)-c2,313_(Mark 12:17)-c1	1,2,3,4	-
pair_63_(Mark 12:17)	302_(Mark 12:17)-c2,312_(Mark 12:17)-c1	1,2,3,4	-
pair_64_(Mark 12:17)	302_(Mark 12:17)-c2,305_(Mark 12:17)-c1	1,2,3,4	-
