instanceID	dataIDs	label_set	non_label
pair_0_(Matthew 7:25)	256_(Matthew 7:25)-c2,260_(Matthew 7:25)-c1	1,2,3,4	-
pair_1_(Matthew 7:25)	258_(Matthew 7:25)-c2,258_(Matthew 7:25)-c1	1,2,3,4	-
pair_2_(Matthew 7:25)	267_(Matthew 7:25)-c2,255_(Matthew 7:25)-c2	1,2,3,4	-
pair_3_(Matthew 7:25)	261_(Matthew 7:25)-c2,260_(Matthew 7:25)-c2	1,2,3,4	-
pair_4_(Matthew 7:25)	258_(Matthew 7:25)-c2,268_(Matthew 7:25)-c1	1,2,3,4	-
pair_5_(Matthew 7:25)	269_(Matthew 7:25)-c1,260_(Matthew 7:25)-c1	1,2,3,4	-
pair_6_(Matthew 7:25)	259_(Matthew 7:25)-c1,268_(Matthew 7:25)-c1	1,2,3,4	-
pair_7_(Matthew 7:25)	257_(Matthew 7:25)-c2,262_(Matthew 7:25)-c1	1,2,3,4	-
pair_8_(Matthew 7:25)	260_(Matthew 7:25)-c1,255_(Matthew 7:25)-c2	1,2,3,4	-
pair_9_(Matthew 7:25)	260_(Matthew 7:25)-c2,269_(Matthew 7:25)-c2	1,2,3,4	-
pair_10_(Matthew 7:25)	261_(Matthew 7:25)-c1,260_(Matthew 7:25)-c1	1,2,3,4	-
pair_11_(Matthew 7:25)	261_(Matthew 7:25)-c2,255_(Matthew 7:25)-c2	1,2,3,4	-
pair_12_(Matthew 7:25)	269_(Matthew 7:25)-c2,262_(Matthew 7:25)-c1	1,2,3,4	-
pair_13_(Matthew 7:25)	262_(Matthew 7:25)-c2,265_(Matthew 7:25)-c2	1,2,3,4	-
pair_14_(Matthew 7:25)	262_(Matthew 7:25)-c2,263_(Matthew 7:25)-c2	1,2,3,4	-
pair_15_(Matthew 7:25)	262_(Matthew 7:25)-c1,257_(Matthew 7:25)-c1	1,2,3,4	-
pair_16_(Matthew 7:25)	265_(Matthew 7:25)-c1,255_(Matthew 7:25)-c1	1,2,3,4	-
pair_17_(Matthew 7:25)	259_(Matthew 7:25)-c1,261_(Matthew 7:25)-c2	1,2,3,4	-
pair_18_(Matthew 7:25)	259_(Matthew 7:25)-c1,261_(Matthew 7:25)-c1	1,2,3,4	-
pair_19_(Matthew 7:25)	258_(Matthew 7:25)-c2,255_(Matthew 7:25)-c2	1,2,3,4	-
pair_20_(Matthew 7:25)	261_(Matthew 7:25)-c2,260_(Matthew 7:25)-c1	1,2,3,4	-
pair_21_(Matthew 7:25)	266_(Matthew 7:25)-c1,260_(Matthew 7:25)-c2	1,2,3,4	-
pair_22_(Matthew 7:25)	267_(Matthew 7:25)-c1,259_(Matthew 7:25)-c2	1,2,3,4	-
pair_23_(Matthew 7:25)	267_(Matthew 7:25)-c2,267_(Matthew 7:25)-c1	1,2,3,4	-
pair_24_(Matthew 7:25)	262_(Matthew 7:25)-c2,255_(Matthew 7:25)-c1	1,2,3,4	-
pair_25_(Matthew 7:25)	261_(Matthew 7:25)-c2,257_(Matthew 7:25)-c2	1,2,3,4	-
pair_26_(Matthew 7:25)	263_(Matthew 7:25)-c2,269_(Matthew 7:25)-c2	1,2,3,4	-
pair_27_(Matthew 7:25)	258_(Matthew 7:25)-c2,266_(Matthew 7:25)-c1	1,2,3,4	-
pair_28_(Matthew 7:25)	262_(Matthew 7:25)-c2,256_(Matthew 7:25)-c2	1,2,3,4	-
pair_29_(Matthew 7:25)	269_(Matthew 7:25)-c1,267_(Matthew 7:25)-c2	1,2,3,4	-
pair_30_(Matthew 7:25)	258_(Matthew 7:25)-c2,267_(Matthew 7:25)-c2	1,2,3,4	-
pair_31_(Matthew 7:25)	260_(Matthew 7:25)-c1,257_(Matthew 7:25)-c1	1,2,3,4	-
pair_32_(Matthew 7:25)	259_(Matthew 7:25)-c1,259_(Matthew 7:25)-c2	1,2,3,4	-
pair_33_(Matthew 7:25)	263_(Matthew 7:25)-c1,267_(Matthew 7:25)-c2	1,2,3,4	-
pair_34_(Matthew 7:25)	261_(Matthew 7:25)-c2,257_(Matthew 7:25)-c1	1,2,3,4	-
pair_35_(Matthew 7:25)	261_(Matthew 7:25)-c1,267_(Matthew 7:25)-c1	1,2,3,4	-
pair_36_(Matthew 7:25)	269_(Matthew 7:25)-c1,266_(Matthew 7:25)-c2	1,2,3,4	-
pair_37_(Matthew 7:25)	260_(Matthew 7:25)-c1,260_(Matthew 7:25)-c2	1,2,3,4	-
pair_38_(Matthew 7:25)	269_(Matthew 7:25)-c1,261_(Matthew 7:25)-c2	1,2,3,4	-
pair_39_(Matthew 7:25)	267_(Matthew 7:25)-c2,268_(Matthew 7:25)-c2	1,2,3,4	-
pair_40_(Matthew 7:25)	268_(Matthew 7:25)-c2,269_(Matthew 7:25)-c2	1,2,3,4	-
pair_41_(Matthew 7:25)	257_(Matthew 7:25)-c2,257_(Matthew 7:25)-c1	1,2,3,4	-
pair_42_(Matthew 7:25)	264_(Matthew 7:25)-c2,257_(Matthew 7:25)-c1	1,2,3,4	-
pair_43_(Matthew 7:25)	262_(Matthew 7:25)-c2,268_(Matthew 7:25)-c1	1,2,3,4	-
pair_44_(Matthew 7:25)	261_(Matthew 7:25)-c1,269_(Matthew 7:25)-c2	1,2,3,4	-
pair_45_(Matthew 7:25)	260_(Matthew 7:25)-c2,255_(Matthew 7:25)-c1	1,2,3,4	-
pair_46_(Matthew 7:25)	262_(Matthew 7:25)-c2,260_(Matthew 7:25)-c2	1,2,3,4	-
pair_47_(Matthew 7:25)	263_(Matthew 7:25)-c1,266_(Matthew 7:25)-c2	1,2,3,4	-
pair_48_(Matthew 7:25)	261_(Matthew 7:25)-c1,256_(Matthew 7:25)-c2	1,2,3,4	-
pair_49_(Matthew 7:25)	262_(Matthew 7:25)-c2,264_(Matthew 7:25)-c1	1,2,3,4	-
pair_50_(Matthew 7:25)	265_(Matthew 7:25)-c2,262_(Matthew 7:25)-c1	1,2,3,4	-
pair_51_(Matthew 7:25)	256_(Matthew 7:25)-c2,266_(Matthew 7:25)-c2	1,2,3,4	-
pair_52_(Matthew 7:25)	267_(Matthew 7:25)-c1,257_(Matthew 7:25)-c1	1,2,3,4	-
pair_53_(Matthew 7:25)	269_(Matthew 7:25)-c2,255_(Matthew 7:25)-c1	1,2,3,4	-
pair_54_(Matthew 7:25)	259_(Matthew 7:25)-c1,258_(Matthew 7:25)-c1	1,2,3,4	-
pair_55_(Matthew 7:25)	261_(Matthew 7:25)-c1,268_(Matthew 7:25)-c2	1,2,3,4	-
pair_56_(Matthew 7:25)	261_(Matthew 7:25)-c2,265_(Matthew 7:25)-c1	1,2,3,4	-
pair_57_(Matthew 7:25)	264_(Matthew 7:25)-c1,268_(Matthew 7:25)-c1	1,2,3,4	-
pair_58_(Matthew 7:25)	269_(Matthew 7:25)-c1,256_(Matthew 7:25)-c1	1,2,3,4	-
pair_59_(Matthew 7:25)	266_(Matthew 7:25)-c1,267_(Matthew 7:25)-c1	1,2,3,4	-
pair_60_(Matthew 7:25)	257_(Matthew 7:25)-c2,255_(Matthew 7:25)-c2	1,2,3,4	-
pair_61_(Matthew 7:25)	257_(Matthew 7:25)-c2,268_(Matthew 7:25)-c2	1,2,3,4	-
pair_62_(Matthew 7:25)	258_(Matthew 7:25)-c1,257_(Matthew 7:25)-c1	1,2,3,4	-
pair_63_(Matthew 7:25)	257_(Matthew 7:25)-c2,265_(Matthew 7:25)-c1	1,2,3,4	-
pair_64_(Matthew 7:25)	269_(Matthew 7:25)-c1,255_(Matthew 7:25)-c1	1,2,3,4	-
pair_65_(Matthew 7:25)	264_(Matthew 7:25)-c1,269_(Matthew 7:25)-c2	1,2,3,4	-
pair_66_(Matthew 7:25)	257_(Matthew 7:25)-c2,260_(Matthew 7:25)-c1	1,2,3,4	-
pair_67_(Matthew 7:25)	265_(Matthew 7:25)-c1,257_(Matthew 7:25)-c1	1,2,3,4	-
