instanceID	dataIDs	label_set	non_label
pair_0_(Philippians 4:13)	556_(Philippians 4:13)-c2,564_(Philippians 4:13)-c2	1,2,3,4	-
pair_1_(Philippians 4:13)	570_(Philippians 4:13)-c2,566_(Philippians 4:13)-c2	1,2,3,4	-
pair_2_(Philippians 4:13)	561_(Philippians 4:13)-c2,562_(Philippians 4:13)-c1	1,2,3,4	-
pair_3_(Philippians 4:13)	567_(Philippians 4:13)-c1,562_(Philippians 4:13)-c2	1,2,3,4	-
pair_4_(Philippians 4:13)	566_(Philippians 4:13)-c2,558_(Philippians 4:13)-c1	1,2,3,4	-
pair_5_(Philippians 4:13)	560_(Philippians 4:13)-c2,566_(Philippians 4:13)-c1	1,2,3,4	-
pair_6_(Philippians 4:13)	564_(Philippians 4:13)-c2,570_(Philippians 4:13)-c1	1,2,3,4	-
pair_7_(Philippians 4:13)	568_(Philippians 4:13)-c2,567_(Philippians 4:13)-c1	1,2,3,4	-
pair_8_(Philippians 4:13)	569_(Philippians 4:13)-c2,569_(Philippians 4:13)-c1	1,2,3,4	-
pair_9_(Philippians 4:13)	565_(Philippians 4:13)-c2,557_(Philippians 4:13)-c1	1,2,3,4	-
pair_10_(Philippians 4:13)	565_(Philippians 4:13)-c1,563_(Philippians 4:13)-c2	1,2,3,4	-
pair_11_(Philippians 4:13)	557_(Philippians 4:13)-c2,563_(Philippians 4:13)-c1	1,2,3,4	-
pair_12_(Philippians 4:13)	568_(Philippians 4:13)-c1,567_(Philippians 4:13)-c1	1,2,3,4	-
pair_13_(Philippians 4:13)	566_(Philippians 4:13)-c2,565_(Philippians 4:13)-c1	1,2,3,4	-
pair_14_(Philippians 4:13)	567_(Philippians 4:13)-c1,556_(Philippians 4:13)-c1	1,2,3,4	-
pair_15_(Philippians 4:13)	558_(Philippians 4:13)-c2,561_(Philippians 4:13)-c1	1,2,3,4	-
pair_16_(Philippians 4:13)	563_(Philippians 4:13)-c2,569_(Philippians 4:13)-c2	1,2,3,4	-
pair_17_(Philippians 4:13)	566_(Philippians 4:13)-c2,567_(Philippians 4:13)-c2	1,2,3,4	-
pair_18_(Philippians 4:13)	567_(Philippians 4:13)-c2,567_(Philippians 4:13)-c1	1,2,3,4	-
pair_19_(Philippians 4:13)	568_(Philippians 4:13)-c2,558_(Philippians 4:13)-c1	1,2,3,4	-
pair_20_(Philippians 4:13)	565_(Philippians 4:13)-c2,564_(Philippians 4:13)-c1	1,2,3,4	-
pair_21_(Philippians 4:13)	557_(Philippians 4:13)-c1,566_(Philippians 4:13)-c2	1,2,3,4	-
pair_22_(Philippians 4:13)	556_(Philippians 4:13)-c1,562_(Philippians 4:13)-c2	1,2,3,4	-
pair_23_(Philippians 4:13)	557_(Philippians 4:13)-c1,563_(Philippians 4:13)-c1	1,2,3,4	-
pair_24_(Philippians 4:13)	565_(Philippians 4:13)-c2,562_(Philippians 4:13)-c2	1,2,3,4	-
pair_25_(Philippians 4:13)	562_(Philippians 4:13)-c1,569_(Philippians 4:13)-c1	1,2,3,4	-
pair_26_(Philippians 4:13)	560_(Philippians 4:13)-c1,556_(Philippians 4:13)-c1	1,2,3,4	-
pair_27_(Philippians 4:13)	559_(Philippians 4:13)-c2,563_(Philippians 4:13)-c2	1,2,3,4	-
pair_28_(Philippians 4:13)	562_(Philippians 4:13)-c1,567_(Philippians 4:13)-c2	1,2,3,4	-
pair_29_(Philippians 4:13)	558_(Philippians 4:13)-c2,568_(Philippians 4:13)-c2	1,2,3,4	-
pair_30_(Philippians 4:13)	564_(Philippians 4:13)-c1,562_(Philippians 4:13)-c2	1,2,3,4	-
pair_31_(Philippians 4:13)	565_(Philippians 4:13)-c2,556_(Philippians 4:13)-c1	1,2,3,4	-
pair_32_(Philippians 4:13)	560_(Philippians 4:13)-c1,561_(Philippians 4:13)-c1	1,2,3,4	-
pair_33_(Philippians 4:13)	558_(Philippians 4:13)-c2,564_(Philippians 4:13)-c1	1,2,3,4	-
pair_34_(Philippians 4:13)	559_(Philippians 4:13)-c1,558_(Philippians 4:13)-c1	1,2,3,4	-
pair_35_(Philippians 4:13)	558_(Philippians 4:13)-c2,563_(Philippians 4:13)-c2	1,2,3,4	-
pair_36_(Philippians 4:13)	560_(Philippians 4:13)-c1,567_(Philippians 4:13)-c1	1,2,3,4	-
pair_37_(Philippians 4:13)	559_(Philippians 4:13)-c1,570_(Philippians 4:13)-c1	1,2,3,4	-
pair_38_(Philippians 4:13)	564_(Philippians 4:13)-c1,563_(Philippians 4:13)-c1	1,2,3,4	-
pair_39_(Philippians 4:13)	560_(Philippians 4:13)-c1,558_(Philippians 4:13)-c1	1,2,3,4	-
pair_40_(Philippians 4:13)	557_(Philippians 4:13)-c1,562_(Philippians 4:13)-c2	1,2,3,4	-
pair_41_(Philippians 4:13)	561_(Philippians 4:13)-c2,567_(Philippians 4:13)-c1	1,2,3,4	-
pair_42_(Philippians 4:13)	560_(Philippians 4:13)-c1,563_(Philippians 4:13)-c1	1,2,3,4	-
pair_43_(Philippians 4:13)	563_(Philippians 4:13)-c2,562_(Philippians 4:13)-c2	1,2,3,4	-
pair_44_(Philippians 4:13)	568_(Philippians 4:13)-c1,560_(Philippians 4:13)-c2	1,2,3,4	-
pair_45_(Philippians 4:13)	557_(Philippians 4:13)-c2,558_(Philippians 4:13)-c1	1,2,3,4	-
pair_46_(Philippians 4:13)	562_(Philippians 4:13)-c2,569_(Philippians 4:13)-c1	1,2,3,4	-
pair_47_(Philippians 4:13)	565_(Philippians 4:13)-c2,570_(Philippians 4:13)-c2	1,2,3,4	-
pair_48_(Philippians 4:13)	559_(Philippians 4:13)-c1,562_(Philippians 4:13)-c2	1,2,3,4	-
pair_49_(Philippians 4:13)	560_(Philippians 4:13)-c1,569_(Philippians 4:13)-c1	1,2,3,4	-
pair_50_(Philippians 4:13)	566_(Philippians 4:13)-c2,562_(Philippians 4:13)-c2	1,2,3,4	-
pair_51_(Philippians 4:13)	566_(Philippians 4:13)-c2,569_(Philippians 4:13)-c1	1,2,3,4	-
pair_52_(Philippians 4:13)	561_(Philippians 4:13)-c2,566_(Philippians 4:13)-c1	1,2,3,4	-
pair_53_(Philippians 4:13)	557_(Philippians 4:13)-c2,562_(Philippians 4:13)-c2	1,2,3,4	-
pair_54_(Philippians 4:13)	557_(Philippians 4:13)-c1,569_(Philippians 4:13)-c1	1,2,3,4	-
pair_55_(Philippians 4:13)	563_(Philippians 4:13)-c2,570_(Philippians 4:13)-c1	1,2,3,4	-
pair_56_(Philippians 4:13)	556_(Philippians 4:13)-c2,562_(Philippians 4:13)-c2	1,2,3,4	-
pair_57_(Philippians 4:13)	560_(Philippians 4:13)-c1,559_(Philippians 4:13)-c1	1,2,3,4	-
pair_58_(Philippians 4:13)	557_(Philippians 4:13)-c2,563_(Philippians 4:13)-c2	1,2,3,4	-
pair_59_(Philippians 4:13)	556_(Philippians 4:13)-c2,569_(Philippians 4:13)-c1	1,2,3,4	-
pair_60_(Philippians 4:13)	567_(Philippians 4:13)-c2,563_(Philippians 4:13)-c1	1,2,3,4	-
pair_61_(Philippians 4:13)	559_(Philippians 4:13)-c2,569_(Philippians 4:13)-c1	1,2,3,4	-
pair_62_(Philippians 4:13)	559_(Philippians 4:13)-c2,569_(Philippians 4:13)-c2	1,2,3,4	-
pair_63_(Philippians 4:13)	558_(Philippians 4:13)-c2,565_(Philippians 4:13)-c1	1,2,3,4	-
pair_64_(Philippians 4:13)	561_(Philippians 4:13)-c2,566_(Philippians 4:13)-c2	1,2,3,4	-
pair_65_(Philippians 4:13)	564_(Philippians 4:13)-c2,561_(Philippians 4:13)-c1	1,2,3,4	-
pair_66_(Philippians 4:13)	567_(Philippians 4:13)-c2,565_(Philippians 4:13)-c1	1,2,3,4	-
pair_67_(Philippians 4:13)	562_(Philippians 4:13)-c1,563_(Philippians 4:13)-c2	1,2,3,4	-
pair_68_(Philippians 4:13)	560_(Philippians 4:13)-c2,570_(Philippians 4:13)-c2	1,2,3,4	-
pair_69_(Philippians 4:13)	561_(Philippians 4:13)-c1,563_(Philippians 4:13)-c1	1,2,3,4	-
pair_70_(Philippians 4:13)	564_(Philippians 4:13)-c2,563_(Philippians 4:13)-c1	1,2,3,4	-
pair_71_(Philippians 4:13)	556_(Philippians 4:13)-c1,569_(Philippians 4:13)-c2	1,2,3,4	-
pair_72_(Philippians 4:13)	566_(Philippians 4:13)-c1,556_(Philippians 4:13)-c1	1,2,3,4	-
pair_73_(Philippians 4:13)	568_(Philippians 4:13)-c2,569_(Philippians 4:13)-c2	1,2,3,4	-
pair_74_(Philippians 4:13)	567_(Philippians 4:13)-c2,562_(Philippians 4:13)-c2	1,2,3,4	-
pair_75_(Philippians 4:13)	560_(Philippians 4:13)-c2,570_(Philippians 4:13)-c1	1,2,3,4	-
pair_76_(Philippians 4:13)	562_(Philippians 4:13)-c1,563_(Philippians 4:13)-c1	1,2,3,4	-
pair_77_(Philippians 4:13)	557_(Philippians 4:13)-c2,556_(Philippians 4:13)-c1	1,2,3,4	-
pair_78_(Philippians 4:13)	567_(Philippians 4:13)-c1,563_(Philippians 4:13)-c2	1,2,3,4	-
pair_79_(Philippians 4:13)	559_(Philippians 4:13)-c1,565_(Philippians 4:13)-c1	1,2,3,4	-
pair_80_(Philippians 4:13)	561_(Philippians 4:13)-c2,568_(Philippians 4:13)-c1	1,2,3,4	-
pair_81_(Philippians 4:13)	557_(Philippians 4:13)-c2,569_(Philippians 4:13)-c1	1,2,3,4	-
pair_82_(Philippians 4:13)	557_(Philippians 4:13)-c1,564_(Philippians 4:13)-c1	1,2,3,4	-
pair_83_(Philippians 4:13)	557_(Philippians 4:13)-c2,567_(Philippians 4:13)-c1	1,2,3,4	-
pair_84_(Philippians 4:13)	568_(Philippians 4:13)-c2,563_(Philippians 4:13)-c2	1,2,3,4	-
pair_85_(Philippians 4:13)	567_(Philippians 4:13)-c2,558_(Philippians 4:13)-c1	1,2,3,4	-
pair_86_(Philippians 4:13)	557_(Philippians 4:13)-c1,567_(Philippians 4:13)-c1	1,2,3,4	-
