dataID	context	indices_target_token	indices_target_sentence	lemma
561_(Philippians 4:13)-c2	When you face a challenge & you feel inadequate & weak, instead of verbalizing over & over that you are too weak, say that you are strong by declaring:"I can do all things through Christ who strengthens me"	152:205	0:206	I can do all things through Christ who strengthens me
560_(Philippians 4:13)-c1	Good morning, dream-weavers! Our Biblical reflection today:"I can do all things through Christ who strengthens me." This verse instills in us the power to conquer any obstacle. Go, seize the day! Show the world what you're made of! 😍📍	60:113	0:234	I can do all things through Christ who strengthens me
568_(Philippians 4:13)-c1	Don't ever leave God out! Always pray for his help. Our greatness, can only come from our oneness with HIM. "I can do all things through Christ who strengthens me."	109:162	0:164	I can do all things through Christ who strengthens me
565_(Philippians 4:13)-c2	"I can do all things through Christ who strengthens me." As we start the day, let's remember the power of faith, perseverance and determination.	1:54	0:144	I can do all things through Christ who strengthens me
562_(Philippians 4:13)-c1	Busy Manifesting: Everything I dream of I put my mind into it I swear! I know I may procrastinate a lot but imma do it... Study study study! Start Early Your Future Realtor 🌌 😍 All in All  "I can do all things through Christ who strengthens me"	190:243	0:244	I can do all things through Christ who strengthens me
560_(Philippians 4:13)-c2	life doesn't get any easier to deal with, but my faith has kept me stronger than I have ever imagined, I still sob, and I still get tired, but- for I can do all things through Christ who strengthens me	148:201	0:201	I can do all things through Christ who strengthens me
559_(Philippians 4:13)-c2	"I can do all things through Christ who strengthens me." In our weakness, the strength of God is made perfect. Therefore we can do the impossible.	1:54	0:146	I can do all things through Christ who strengthens me
570_(Philippians 4:13)-c2	1) Found strength in God's word: "I can do all things through Christ who strengthens me"2) Reminded myself that I'm human and it's NORMAL to make mistakes	34:87	0:154	I can do all things through Christ who strengthens me
556_(Philippians 4:13)-c2	I can do all things through Christ who strengthens me. With God's strength, we can conquer any challenge.	0:53	0:105	I can do all things through Christ who strengthens me
557_(Philippians 4:13)-c1	"I can do all things through Christ who strengthens me." Through God's strength and empowerment, believers can accomplish anything. We are not limited by our own abilities, but rather, by relying on God, we tap into His unlimited power.	1:54	0:236	I can do all things through Christ who strengthens me
