instanceID	dataIDs	label_set	non_label
pair_0_(Proverbs 12:25)	434_(Proverbs 12:25)-c1,434_(Proverbs 12:25)-c2	1,2,3,4	-
pair_1_(Proverbs 12:25)	424_(Proverbs 12:25)-c2,433_(Proverbs 12:25)-c2	1,2,3,4	-
pair_2_(Proverbs 12:25)	435_(Proverbs 12:25)-c2,421_(Proverbs 12:25)-c1	1,2,3,4	-
pair_3_(Proverbs 12:25)	426_(Proverbs 12:25)-c2,429_(Proverbs 12:25)-c2	1,2,3,4	-
pair_4_(Proverbs 12:25)	431_(Proverbs 12:25)-c2,423_(Proverbs 12:25)-c1	1,2,3,4	-
pair_5_(Proverbs 12:25)	434_(Proverbs 12:25)-c2,433_(Proverbs 12:25)-c2	1,2,3,4	-
pair_6_(Proverbs 12:25)	426_(Proverbs 12:25)-c1,429_(Proverbs 12:25)-c2	1,2,3,4	-
pair_7_(Proverbs 12:25)	431_(Proverbs 12:25)-c1,425_(Proverbs 12:25)-c1	1,2,3,4	-
pair_8_(Proverbs 12:25)	426_(Proverbs 12:25)-c1,432_(Proverbs 12:25)-c1	1,2,3,4	-
pair_9_(Proverbs 12:25)	424_(Proverbs 12:25)-c2,431_(Proverbs 12:25)-c1	1,2,3,4	-
pair_10_(Proverbs 12:25)	424_(Proverbs 12:25)-c1,428_(Proverbs 12:25)-c2	1,2,3,4	-
pair_11_(Proverbs 12:25)	434_(Proverbs 12:25)-c1,424_(Proverbs 12:25)-c2	1,2,3,4	-
pair_12_(Proverbs 12:25)	430_(Proverbs 12:25)-c1,433_(Proverbs 12:25)-c2	1,2,3,4	-
pair_13_(Proverbs 12:25)	431_(Proverbs 12:25)-c1,425_(Proverbs 12:25)-c2	1,2,3,4	-
pair_14_(Proverbs 12:25)	434_(Proverbs 12:25)-c2,433_(Proverbs 12:25)-c1	1,2,3,4	-
pair_15_(Proverbs 12:25)	434_(Proverbs 12:25)-c1,429_(Proverbs 12:25)-c1	1,2,3,4	-
pair_16_(Proverbs 12:25)	435_(Proverbs 12:25)-c2,424_(Proverbs 12:25)-c1	1,2,3,4	-
pair_17_(Proverbs 12:25)	434_(Proverbs 12:25)-c1,429_(Proverbs 12:25)-c2	1,2,3,4	-
pair_18_(Proverbs 12:25)	427_(Proverbs 12:25)-c2,433_(Proverbs 12:25)-c1	1,2,3,4	-
pair_19_(Proverbs 12:25)	423_(Proverbs 12:25)-c2,426_(Proverbs 12:25)-c1	1,2,3,4	-
pair_20_(Proverbs 12:25)	431_(Proverbs 12:25)-c1,432_(Proverbs 12:25)-c2	1,2,3,4	-
pair_21_(Proverbs 12:25)	427_(Proverbs 12:25)-c2,424_(Proverbs 12:25)-c2	1,2,3,4	-
pair_22_(Proverbs 12:25)	422_(Proverbs 12:25)-c2,426_(Proverbs 12:25)-c2	1,2,3,4	-
pair_23_(Proverbs 12:25)	425_(Proverbs 12:25)-c1,433_(Proverbs 12:25)-c2	1,2,3,4	-
pair_24_(Proverbs 12:25)	421_(Proverbs 12:25)-c1,429_(Proverbs 12:25)-c1	1,2,3,4	-
pair_25_(Proverbs 12:25)	426_(Proverbs 12:25)-c1,422_(Proverbs 12:25)-c1	1,2,3,4	-
pair_26_(Proverbs 12:25)	421_(Proverbs 12:25)-c1,432_(Proverbs 12:25)-c1	1,2,3,4	-
pair_27_(Proverbs 12:25)	423_(Proverbs 12:25)-c2,428_(Proverbs 12:25)-c1	1,2,3,4	-
pair_28_(Proverbs 12:25)	434_(Proverbs 12:25)-c1,422_(Proverbs 12:25)-c2	1,2,3,4	-
pair_29_(Proverbs 12:25)	425_(Proverbs 12:25)-c1,421_(Proverbs 12:25)-c2	1,2,3,4	-
pair_30_(Proverbs 12:25)	425_(Proverbs 12:25)-c1,426_(Proverbs 12:25)-c2	1,2,3,4	-
