instanceID	dataIDs	label_set	non_label
pair_0_(Psalm 23:1)	546_(Psalm 23:1)-c2,541_(Psalm 23:1)-c1	1,2,3,4	-
pair_1_(Psalm 23:1)	549_(Psalm 23:1)-c2,552_(Psalm 23:1)-c1	1,2,3,4	-
pair_2_(Psalm 23:1)	553_(Psalm 23:1)-c2,549_(Psalm 23:1)-c1	1,2,3,4	-
pair_3_(Psalm 23:1)	552_(Psalm 23:1)-c2,541_(Psalm 23:1)-c1	1,2,3,4	-
pair_4_(Psalm 23:1)	543_(Psalm 23:1)-c2,554_(Psalm 23:1)-c2	1,2,3,4	-
pair_5_(Psalm 23:1)	542_(Psalm 23:1)-c2,548_(Psalm 23:1)-c1	1,2,3,4	-
pair_6_(Psalm 23:1)	553_(Psalm 23:1)-c1,541_(Psalm 23:1)-c1	1,2,3,4	-
pair_7_(Psalm 23:1)	543_(Psalm 23:1)-c1,552_(Psalm 23:1)-c2	1,2,3,4	-
pair_8_(Psalm 23:1)	554_(Psalm 23:1)-c1,543_(Psalm 23:1)-c2	1,2,3,4	-
pair_9_(Psalm 23:1)	547_(Psalm 23:1)-c1,546_(Psalm 23:1)-c1	1,2,3,4	-
pair_10_(Psalm 23:1)	543_(Psalm 23:1)-c1,551_(Psalm 23:1)-c2	1,2,3,4	-
pair_11_(Psalm 23:1)	550_(Psalm 23:1)-c2,549_(Psalm 23:1)-c2	1,2,3,4	-
pair_12_(Psalm 23:1)	549_(Psalm 23:1)-c2,555_(Psalm 23:1)-c1	1,2,3,4	-
pair_13_(Psalm 23:1)	541_(Psalm 23:1)-c2,552_(Psalm 23:1)-c2	1,2,3,4	-
pair_14_(Psalm 23:1)	545_(Psalm 23:1)-c1,551_(Psalm 23:1)-c2	1,2,3,4	-
pair_15_(Psalm 23:1)	547_(Psalm 23:1)-c2,554_(Psalm 23:1)-c2	1,2,3,4	-
pair_16_(Psalm 23:1)	545_(Psalm 23:1)-c1,551_(Psalm 23:1)-c1	1,2,3,4	-
pair_17_(Psalm 23:1)	547_(Psalm 23:1)-c1,543_(Psalm 23:1)-c2	1,2,3,4	-
pair_18_(Psalm 23:1)	550_(Psalm 23:1)-c1,546_(Psalm 23:1)-c1	1,2,3,4	-
pair_19_(Psalm 23:1)	554_(Psalm 23:1)-c2,551_(Psalm 23:1)-c1	1,2,3,4	-
pair_20_(Psalm 23:1)	544_(Psalm 23:1)-c1,541_(Psalm 23:1)-c1	1,2,3,4	-
