dataID	context	indices_target_token	indices_target_sentence	lemma
547_(Psalm 23:1)-c2	For #peace and an end to armed conflict in #Ethiopia, we pray dear Lord, hear our #Prayer. 🕊 🙏 "The Lord is my Shepherd, I shall not want... He leads me near restful waters,.. He restores my soul.." 	96:119	0:199	The Lord is my shepherd
544_(Psalm 23:1)-c1	The lord is my shepherd i shall not want. God i beg i dey want $1,000,000	0:23	0:73	The Lord is my shepherd
542_(Psalm 23:1)-c2	The Lord is my shepherd; I have all that I need.	0:23	0:48	The Lord is my shepherd
555_(Psalm 23:1)-c2	Psalm 23 has been stuck in my head for the past 2 days. So in case this is a message for someone else let us pray: The Lord is my Shepherd, I shall not want.	115:138	0:157	The Lord is my shepherd
554_(Psalm 23:1)-c1	Good Thursday Morning 🙏🏼 ☀ Have a blessed day & lots of coffee ☕ ! The Lord is my shepherd.	67:90	0:91	The Lord is my shepherd
547_(Psalm 23:1)-c1	The Lord is my shepherd so I lack nothing. Maybe an iphone...	0:23	0:61	The Lord is my shepherd
545_(Psalm 23:1)-c2	The Lord is my shepherd so I shall not want. I won't lack anything good, I won't beg, It's my duty to lend to many nations, not to borrow. Because I know who my Father is, so from henceforth, I walk in everything God has for me. I walk in the proclamation of ease.	0:23	0:264	The Lord is my shepherd
553_(Psalm 23:1)-c2	The Lord is my shepherd, I shall not want. Join us this #prayersunday as we reflect on a Prayer of Dedication	0:23	0:109	The Lord is my shepherd
543_(Psalm 23:1)-c2	The Lord is my Shepherd, I have everything I need. Happy Sunday guys	0:23	0:68	The Lord is my shepherd
545_(Psalm 23:1)-c1	the lord is my shepherd, i want a collector for this painting.	0:23	0:62	The Lord is my shepherd
554_(Psalm 23:1)-c2	The LORD is my shepherd; I have never NOT known the presence of Jesus. Despite this, I led a life of sin filled excess. I hate to imagine what would have become of me absent His companionship, guidance, restraint, correction, & firgiveness, even when I wouldn't acknowledge it.	0:23	0:277	The Lord is my shepherd
548_(Psalm 23:1)-c2	One of the most powerful prayers you can pray in the Bible is Psalm 23:1: "The Lord is my Shepherd, I shall not want"	75:98	0:117	The Lord is my shepherd
553_(Psalm 23:1)-c1	Psalm 23 has been my everyday scripture recently and it really is so powerful because The Lord IS my Shepherd, i shall not want, need, fear, worry or get lost. He's always there to guide, provide for me and bring me back if i wander off.	86:109	0:237	The Lord is my shepherd
541_(Psalm 23:1)-c2	The Lord is my shepherd, I lack nothing.	0:23	0:40	The Lord is my shepherd
551_(Psalm 23:1)-c1	Everyday! Always has and always will. I love Jesus, and He loves me and my family. God bless America. The Lord is my shepherd, and I shall not want.	102:125	0:148	The Lord is my shepherd
549_(Psalm 23:1)-c1	The Lord is my Shepherd, I want 10,000,000 Dollars 🥹🥹	0:23	0:53	The Lord is my shepherd
550_(Psalm 23:1)-c2	Lord I am praying for the lost sheep. The Lord is my shepherd.. I shall not want. Lord I feel so many are wandering. The herd has thinned and needs help. I pray that they find their way home. Help guide them. Feed them Your Word Lord..The Word only You can provide.	38:61	0:265	The Lord is my shepherd
544_(Psalm 23:1)-c2	The lord is my Shepherd...all you need is Jesus	80:103	0:47	The Lord is my shepherd
550_(Psalm 23:1)-c1	The LORD is my shepherd. Trump is one lost lamb. He certainly isn't taking any direction from a higher power	0:23	0:108	The Lord is my shepherd
549_(Psalm 23:1)-c2	Girls will pray "The Lord is my shepherd, I shall not want" but still want to take everything you have. Hmm	17:40	0:107	The Lord is my shepherd
543_(Psalm 23:1)-c1	The Lord is my shepherd, I want everything I Desire and more	0:23	0:60	The Lord is my shepherd
555_(Psalm 23:1)-c1	Sheep are one of the few animals that do not have a defense system. Sheep are helpless without a shepherd. The Lord is my Shepherd, I lack nothing. Without the Lord our Shepherd, we are helpless when our enemy attacks.	107:130	0:218	The Lord is my shepherd
546_(Psalm 23:1)-c2	The Lord is my shepherd. I will never be in need. You take care of me like a good shepherd does his sheep. I have everything I need.	0:23	0:132	The Lord is my shepherd
552_(Psalm 23:1)-c2	No matter the mockery you people post on this App, God go still help us. 🤣 🤣 🤣 We go still pray, & He'll answer. We'll still declare, & it shall be established unto us. He'll still intervene for the elect sake. Let me start sef: The Lord is my Shepherd, I SHALL NOT WANT. 😉 💪	229:252	0:275	The Lord is my shepherd
542_(Psalm 23:1)-c1	The lord is my shepherd, i want to graduate from school 😭	0:23	0:57	The Lord is my shepherd
548_(Psalm 23:1)-c1	The lord is my shepherd, i want $200,000.	0:23	0:41	The Lord is my shepherd
552_(Psalm 23:1)-c1	The Lord is my Shepherd; GOD BLESS PRESIDENT TRUMP, GIVE HIM STRENGTH TO GET THROUGH THE VALLEY OF THE SHADOW OF DEATH.	0:23	0:119	The Lord is my shepherd
546_(Psalm 23:1)-c1	The lord is my shepherd but I want $20M.	0:23	0:40	The Lord is my shepherd
551_(Psalm 23:1)-c2	The Lord is my shepherd and I shall not want. Another year has come and I'm grateful and thankful to the Almighty. Pls kindly spare me a prayer for health, peace and wisdom and pls also pray for our dear nation for the Lord's favor to touch us. Wish ALL a better year ahead	0:23	0:273	The Lord is my shepherd
541_(Psalm 23:1)-c1	The lord is my shepherd I want $500,000,000.	0:23	0:44	The Lord is my shepherd
