instanceID	dataIDs	label_set	non_label
pair_0_(Romans 8:28)	371_(Romans 8:28)-c1,372_(Romans 8:28)-c1	1,2,3,4	-
pair_1_(Romans 8:28)	370_(Romans 8:28)-c1,372_(Romans 8:28)-c1	1,2,3,4	-
pair_2_(Romans 8:28)	374_(Romans 8:28)-c2,370_(Romans 8:28)-c1	1,2,3,4	-
pair_3_(Romans 8:28)	374_(Romans 8:28)-c2,368_(Romans 8:28)-c1	1,2,3,4	-
pair_4_(Romans 8:28)	375_(Romans 8:28)-c2,372_(Romans 8:28)-c2	1,2,3,4	-
pair_5_(Romans 8:28)	373_(Romans 8:28)-c2,362_(Romans 8:28)-c1	1,2,3,4	-
pair_6_(Romans 8:28)	373_(Romans 8:28)-c2,375_(Romans 8:28)-c1	1,2,3,4	-
pair_7_(Romans 8:28)	375_(Romans 8:28)-c2,365_(Romans 8:28)-c1	1,2,3,4	-
pair_8_(Romans 8:28)	371_(Romans 8:28)-c1,365_(Romans 8:28)-c2	1,2,3,4	-
pair_9_(Romans 8:28)	369_(Romans 8:28)-c1,371_(Romans 8:28)-c2	1,2,3,4	-
pair_10_(Romans 8:28)	374_(Romans 8:28)-c1,362_(Romans 8:28)-c1	1,2,3,4	-
pair_11_(Romans 8:28)	362_(Romans 8:28)-c2,367_(Romans 8:28)-c2	1,2,3,4	-
pair_12_(Romans 8:28)	361_(Romans 8:28)-c2,362_(Romans 8:28)-c1	1,2,3,4	-
pair_13_(Romans 8:28)	372_(Romans 8:28)-c2,367_(Romans 8:28)-c1	1,2,3,4	-
pair_14_(Romans 8:28)	364_(Romans 8:28)-c2,369_(Romans 8:28)-c2	1,2,3,4	-
pair_15_(Romans 8:28)	368_(Romans 8:28)-c2,362_(Romans 8:28)-c1	1,2,3,4	-
pair_16_(Romans 8:28)	369_(Romans 8:28)-c1,373_(Romans 8:28)-c1	1,2,3,4	-
pair_17_(Romans 8:28)	372_(Romans 8:28)-c2,365_(Romans 8:28)-c1	1,2,3,4	-
pair_18_(Romans 8:28)	367_(Romans 8:28)-c1,374_(Romans 8:28)-c1	1,2,3,4	-
pair_19_(Romans 8:28)	361_(Romans 8:28)-c2,364_(Romans 8:28)-c1	1,2,3,4	-
pair_20_(Romans 8:28)	368_(Romans 8:28)-c2,365_(Romans 8:28)-c2	1,2,3,4	-
pair_21_(Romans 8:28)	367_(Romans 8:28)-c1,375_(Romans 8:28)-c1	1,2,3,4	-
pair_22_(Romans 8:28)	361_(Romans 8:28)-c1,364_(Romans 8:28)-c2	1,2,3,4	-
pair_23_(Romans 8:28)	370_(Romans 8:28)-c1,365_(Romans 8:28)-c2	1,2,3,4	-
pair_24_(Romans 8:28)	361_(Romans 8:28)-c2,369_(Romans 8:28)-c1	1,2,3,4	-
pair_25_(Romans 8:28)	365_(Romans 8:28)-c2,371_(Romans 8:28)-c2	1,2,3,4	-
pair_26_(Romans 8:28)	367_(Romans 8:28)-c1,361_(Romans 8:28)-c2	1,2,3,4	-
pair_27_(Romans 8:28)	375_(Romans 8:28)-c1,364_(Romans 8:28)-c2	1,2,3,4	-
pair_28_(Romans 8:28)	366_(Romans 8:28)-c2,368_(Romans 8:28)-c1	1,2,3,4	-
pair_29_(Romans 8:28)	361_(Romans 8:28)-c1,374_(Romans 8:28)-c1	1,2,3,4	-
pair_30_(Romans 8:28)	363_(Romans 8:28)-c1,368_(Romans 8:28)-c1	1,2,3,4	-
pair_31_(Romans 8:28)	367_(Romans 8:28)-c2,363_(Romans 8:28)-c2	1,2,3,4	-
pair_32_(Romans 8:28)	363_(Romans 8:28)-c1,367_(Romans 8:28)-c2	1,2,3,4	-
pair_33_(Romans 8:28)	372_(Romans 8:28)-c1,366_(Romans 8:28)-c1	1,2,3,4	-
pair_34_(Romans 8:28)	372_(Romans 8:28)-c2,374_(Romans 8:28)-c1	1,2,3,4	-
pair_35_(Romans 8:28)	362_(Romans 8:28)-c2,373_(Romans 8:28)-c1	1,2,3,4	-
pair_36_(Romans 8:28)	372_(Romans 8:28)-c2,366_(Romans 8:28)-c2	1,2,3,4	-
pair_37_(Romans 8:28)	373_(Romans 8:28)-c2,369_(Romans 8:28)-c2	1,2,3,4	-
pair_38_(Romans 8:28)	365_(Romans 8:28)-c2,372_(Romans 8:28)-c1	1,2,3,4	-
pair_39_(Romans 8:28)	363_(Romans 8:28)-c2,365_(Romans 8:28)-c1	1,2,3,4	-
pair_40_(Romans 8:28)	372_(Romans 8:28)-c1,375_(Romans 8:28)-c1	1,2,3,4	-
pair_41_(Romans 8:28)	367_(Romans 8:28)-c2,369_(Romans 8:28)-c2	1,2,3,4	-
pair_42_(Romans 8:28)	366_(Romans 8:28)-c2,363_(Romans 8:28)-c2	1,2,3,4	-
pair_43_(Romans 8:28)	364_(Romans 8:28)-c1,367_(Romans 8:28)-c2	1,2,3,4	-
pair_44_(Romans 8:28)	373_(Romans 8:28)-c2,365_(Romans 8:28)-c2	1,2,3,4	-
pair_45_(Romans 8:28)	370_(Romans 8:28)-c1,373_(Romans 8:28)-c1	1,2,3,4	-
pair_46_(Romans 8:28)	362_(Romans 8:28)-c2,369_(Romans 8:28)-c2	1,2,3,4	-
pair_47_(Romans 8:28)	361_(Romans 8:28)-c1,372_(Romans 8:28)-c1	1,2,3,4	-
pair_48_(Romans 8:28)	368_(Romans 8:28)-c2,364_(Romans 8:28)-c2	1,2,3,4	-
pair_49_(Romans 8:28)	372_(Romans 8:28)-c2,361_(Romans 8:28)-c2	1,2,3,4	-
pair_50_(Romans 8:28)	374_(Romans 8:28)-c2,364_(Romans 8:28)-c2	1,2,3,4	-
pair_51_(Romans 8:28)	367_(Romans 8:28)-c1,373_(Romans 8:28)-c1	1,2,3,4	-
pair_52_(Romans 8:28)	373_(Romans 8:28)-c2,364_(Romans 8:28)-c1	1,2,3,4	-
pair_53_(Romans 8:28)	365_(Romans 8:28)-c2,373_(Romans 8:28)-c1	1,2,3,4	-
pair_54_(Romans 8:28)	361_(Romans 8:28)-c1,373_(Romans 8:28)-c1	1,2,3,4	-
pair_55_(Romans 8:28)	371_(Romans 8:28)-c1,366_(Romans 8:28)-c1	1,2,3,4	-
pair_56_(Romans 8:28)	370_(Romans 8:28)-c1,366_(Romans 8:28)-c1	1,2,3,4	-
pair_57_(Romans 8:28)	365_(Romans 8:28)-c2,365_(Romans 8:28)-c1	1,2,3,4	-
pair_58_(Romans 8:28)	370_(Romans 8:28)-c1,367_(Romans 8:28)-c2	1,2,3,4	-
pair_59_(Romans 8:28)	374_(Romans 8:28)-c1,372_(Romans 8:28)-c1	1,2,3,4	-
pair_60_(Romans 8:28)	375_(Romans 8:28)-c2,370_(Romans 8:28)-c2	1,2,3,4	-
pair_61_(Romans 8:28)	370_(Romans 8:28)-c2,369_(Romans 8:28)-c2	1,2,3,4	-
pair_62_(Romans 8:28)	361_(Romans 8:28)-c2,370_(Romans 8:28)-c2	1,2,3,4	-
pair_63_(Romans 8:28)	363_(Romans 8:28)-c2,369_(Romans 8:28)-c2	1,2,3,4	-
pair_64_(Romans 8:28)	366_(Romans 8:28)-c2,361_(Romans 8:28)-c2	1,2,3,4	-
pair_65_(Romans 8:28)	363_(Romans 8:28)-c1,362_(Romans 8:28)-c1	1,2,3,4	-
pair_66_(Romans 8:28)	371_(Romans 8:28)-c1,368_(Romans 8:28)-c1	1,2,3,4	-
pair_67_(Romans 8:28)	374_(Romans 8:28)-c1,366_(Romans 8:28)-c1	1,2,3,4	-
pair_68_(Romans 8:28)	361_(Romans 8:28)-c1,372_(Romans 8:28)-c2	1,2,3,4	-
pair_69_(Romans 8:28)	361_(Romans 8:28)-c1,368_(Romans 8:28)-c1	1,2,3,4	-
pair_70_(Romans 8:28)	370_(Romans 8:28)-c1,371_(Romans 8:28)-c2	1,2,3,4	-
pair_71_(Romans 8:28)	375_(Romans 8:28)-c1,365_(Romans 8:28)-c1	1,2,3,4	-
pair_72_(Romans 8:28)	374_(Romans 8:28)-c2,369_(Romans 8:28)-c2	1,2,3,4	-
pair_73_(Romans 8:28)	365_(Romans 8:28)-c2,375_(Romans 8:28)-c1	1,2,3,4	-
pair_74_(Romans 8:28)	373_(Romans 8:28)-c1,367_(Romans 8:28)-c2	1,2,3,4	-
pair_75_(Romans 8:28)	370_(Romans 8:28)-c2,367_(Romans 8:28)-c2	1,2,3,4	-
pair_76_(Romans 8:28)	368_(Romans 8:28)-c1,367_(Romans 8:28)-c2	1,2,3,4	-
pair_77_(Romans 8:28)	373_(Romans 8:28)-c1,375_(Romans 8:28)-c1	1,2,3,4	-
