instanceID	dataIDs	label_set	non_label
pair_0_(Solomon 4:7)	49_(Solomon 4:7)-c1,46_(Solomon 4:7)-c2	1,2,3,4	-
pair_1_(Solomon 4:7)	47_(Solomon 4:7)-c2,58_(Solomon 4:7)-c1	1,2,3,4	-
pair_2_(Solomon 4:7)	49_(Solomon 4:7)-c1,45_(Solomon 4:7)-c2	1,2,3,4	-
pair_3_(Solomon 4:7)	57_(Solomon 4:7)-c1,54_(Solomon 4:7)-c2	1,2,3,4	-
pair_4_(Solomon 4:7)	51_(Solomon 4:7)-c2,46_(Solomon 4:7)-c2	1,2,3,4	-
pair_5_(Solomon 4:7)	47_(Solomon 4:7)-c1,49_(Solomon 4:7)-c2	1,2,3,4	-
pair_6_(Solomon 4:7)	46_(Solomon 4:7)-c1,49_(Solomon 4:7)-c2	1,2,3,4	-
pair_7_(Solomon 4:7)	53_(Solomon 4:7)-c1,51_(Solomon 4:7)-c1	1,2,3,4	-
pair_8_(Solomon 4:7)	56_(Solomon 4:7)-c2,59_(Solomon 4:7)-c1	1,2,3,4	-
pair_9_(Solomon 4:7)	55_(Solomon 4:7)-c2,45_(Solomon 4:7)-c2	1,2,3,4	-
pair_10_(Solomon 4:7)	50_(Solomon 4:7)-c1,51_(Solomon 4:7)-c2	1,2,3,4	-
pair_11_(Solomon 4:7)	47_(Solomon 4:7)-c2,51_(Solomon 4:7)-c2	1,2,3,4	-
pair_12_(Solomon 4:7)	46_(Solomon 4:7)-c1,53_(Solomon 4:7)-c1	1,2,3,4	-
pair_13_(Solomon 4:7)	50_(Solomon 4:7)-c1,54_(Solomon 4:7)-c2	1,2,3,4	-
pair_14_(Solomon 4:7)	48_(Solomon 4:7)-c1,58_(Solomon 4:7)-c2	1,2,3,4	-
pair_15_(Solomon 4:7)	49_(Solomon 4:7)-c2,45_(Solomon 4:7)-c2	1,2,3,4	-
pair_16_(Solomon 4:7)	46_(Solomon 4:7)-c1,50_(Solomon 4:7)-c1	1,2,3,4	-
pair_17_(Solomon 4:7)	55_(Solomon 4:7)-c1,59_(Solomon 4:7)-c2	1,2,3,4	-
