instanceID	dataIDs	label_set	non_label
pair_0_(1 Corinthians 13:4)	212_(1 Corinthians 13:4)-c2,218_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_1_(1 Corinthians 13:4)	211_(1 Corinthians 13:4)-c2,212_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_2_(1 Corinthians 13:4)	223_(1 Corinthians 13:4)-c1,224_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_3_(1 Corinthians 13:4)	221_(1 Corinthians 13:4)-c1,215_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_4_(1 Corinthians 13:4)	217_(1 Corinthians 13:4)-c2,223_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_5_(1 Corinthians 13:4)	220_(1 Corinthians 13:4)-c1,219_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_6_(1 Corinthians 13:4)	220_(1 Corinthians 13:4)-c1,215_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_7_(1 Corinthians 13:4)	221_(1 Corinthians 13:4)-c1,223_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_8_(1 Corinthians 13:4)	212_(1 Corinthians 13:4)-c2,213_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_9_(1 Corinthians 13:4)	214_(1 Corinthians 13:4)-c1,216_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_10_(1 Corinthians 13:4)	221_(1 Corinthians 13:4)-c2,216_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_11_(1 Corinthians 13:4)	220_(1 Corinthians 13:4)-c2,217_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_12_(1 Corinthians 13:4)	210_(1 Corinthians 13:4)-c1,214_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_13_(1 Corinthians 13:4)	219_(1 Corinthians 13:4)-c2,217_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_14_(1 Corinthians 13:4)	216_(1 Corinthians 13:4)-c1,222_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_15_(1 Corinthians 13:4)	216_(1 Corinthians 13:4)-c1,223_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_16_(1 Corinthians 13:4)	224_(1 Corinthians 13:4)-c2,223_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_17_(1 Corinthians 13:4)	212_(1 Corinthians 13:4)-c1,223_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_18_(1 Corinthians 13:4)	224_(1 Corinthians 13:4)-c2,222_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_19_(1 Corinthians 13:4)	214_(1 Corinthians 13:4)-c1,220_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_20_(1 Corinthians 13:4)	221_(1 Corinthians 13:4)-c1,210_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_21_(1 Corinthians 13:4)	215_(1 Corinthians 13:4)-c2,211_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_22_(1 Corinthians 13:4)	223_(1 Corinthians 13:4)-c2,218_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_23_(1 Corinthians 13:4)	222_(1 Corinthians 13:4)-c2,222_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_24_(1 Corinthians 13:4)	212_(1 Corinthians 13:4)-c2,222_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_25_(1 Corinthians 13:4)	214_(1 Corinthians 13:4)-c1,215_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_26_(1 Corinthians 13:4)	213_(1 Corinthians 13:4)-c2,218_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_27_(1 Corinthians 13:4)	212_(1 Corinthians 13:4)-c1,220_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_28_(1 Corinthians 13:4)	216_(1 Corinthians 13:4)-c1,224_(1 Corinthians 13:4)-c1	1,2,3,4	-
pair_29_(1 Corinthians 13:4)	220_(1 Corinthians 13:4)-c1,224_(1 Corinthians 13:4)-c2	1,2,3,4	-
pair_30_(1 Corinthians 13:4)	211_(1 Corinthians 13:4)-c1,215_(1 Corinthians 13:4)-c1	1,2,3,4	-
