instanceID	label	comment	annotator
pair_78_(Hosea 8:7)	3		iosakwe
pair_5_(1 Timothy 2:12)	3		iosakwe
pair_121_(1 Timothy 2:12)	4		iosakwe
pair_138_(Hosea 8:7)	4		iosakwe
pair_96_(Hosea 8:7)	3		iosakwe
pair_88_(Hosea 8:7)	4		iosakwe
pair_104_(1 Timothy 2:12)	4		iosakwe
pair_65_(1 Timothy 2:12)	3		iosakwe
pair_145_(1 Timothy 2:12)	3		iosakwe
pair_11_(1 Timothy 2:12)	3		iosakwe
pair_27_(1 Timothy 2:12)	4		iosakwe
pair_48_(Hosea 8:7)	4		iosakwe
pair_108_(1 Timothy 2:12)	3		iosakwe
pair_68_(Hosea 8:7)	2		iosakwe
pair_101_(1 Timothy 2:12)	2		iosakwe
pair_130_(1 Timothy 2:12)	3		iosakwe
pair_72_(Hosea 8:7)	2		iosakwe
pair_81_(Hosea 8:7)	2		iosakwe
pair_127_(1 Timothy 2:12)	3		iosakwe
pair_52_(Hosea 8:7)	2		iosakwe
pair_62_(Hosea 8:7)	2		iosakwe
pair_110_(Hosea 8:7)	2		iosakwe
pair_80_(Hosea 8:7)	2		iosakwe
pair_149_(Hosea 8:7)	2		iosakwe
pair_23_(Hosea 8:7)	2		iosakwe
pair_83_(1 Timothy 2:12)	2		iosakwe
pair_31_(Hosea 8:7)	2		iosakwe
pair_147_(1 Timothy 2:12)	4		iosakwe
pair_141_(1 Timothy 2:12)	3		iosakwe
pair_106_(1 Timothy 2:12)	3		iosakwe
pair_13_(Hosea 8:7)	2		iosakwe
pair_89_(Hosea 8:7)	4		iosakwe
pair_34_(1 Timothy 2:12)	4		iosakwe
pair_111_(Hosea 8:7)	2		iosakwe
pair_125_(1 Timothy 2:12)	4		iosakwe
pair_98_(1 Timothy 2:12)	4		iosakwe
pair_105_(1 Timothy 2:12)	2		iosakwe
pair_75_(1 Timothy 2:12)	2		iosakwe
pair_99_(Hosea 8:7)	2		iosakwe
pair_138_(1 Timothy 2:12)	4		iosakwe
pair_12_(Hosea 8:7)	4		iosakwe
pair_57_(Hosea 8:7)	2		iosakwe
pair_114_(Hosea 8:7)	2		iosakwe
pair_104_(Hosea 8:7)	2		iosakwe
pair_65_(Hosea 8:7)	4		iosakwe
pair_58_(1 Timothy 2:12)	4		iosakwe
pair_144_(Hosea 8:7)	3		iosakwe
pair_44_(Hosea 8:7)	3		iosakwe
pair_56_(Hosea 8:7)	4		iosakwe
pair_70_(Hosea 8:7)	2		iosakwe
pair_19_(Hosea 8:7)	3		iosakwe
pair_75_(Hosea 8:7)	3		iosakwe
pair_140_(Hosea 8:7)	2		iosakwe
pair_11_(Hosea 8:7)	4		iosakwe
pair_113_(Hosea 8:7)	3		iosakwe
pair_134_(Hosea 8:7)	2		iosakwe
pair_16_(1 Timothy 2:12)	3		iosakwe
pair_43_(1 Timothy 2:12)	4		iosakwe
pair_21_(Hosea 8:7)	4		iosakwe
pair_33_(Hosea 8:7)	3		iosakwe
pair_105_(Hosea 8:7)	2		iosakwe
pair_78_(1 Timothy 2:12)	2		iosakwe
pair_29_(1 Timothy 2:12)	3		iosakwe
pair_127_(Hosea 8:7)	2		iosakwe
pair_33_(1 Timothy 2:12)	1		iosakwe
pair_115_(Hosea 8:7)	2		iosakwe
pair_6_(1 Timothy 2:12)	2		iosakwe
pair_37_(Hosea 8:7)	4		iosakwe
pair_58_(Hosea 8:7)	2		iosakwe
pair_136_(1 Timothy 2:12)	3		iosakwe
pair_49_(Hosea 8:7)	1		iosakwe
pair_56_(1 Timothy 2:12)	3		iosakwe
pair_73_(1 Timothy 2:12)	2		iosakwe
pair_3_(Hosea 8:7)	2		iosakwe
pair_82_(1 Timothy 2:12)	4		iosakwe
pair_51_(Hosea 8:7)	2		iosakwe
pair_91_(Hosea 8:7)	4		iosakwe
pair_15_(1 Timothy 2:12)	3		iosakwe
pair_100_(1 Timothy 2:12)	4		iosakwe
pair_87_(Hosea 8:7)	4		iosakwe
pair_76_(1 Timothy 2:12)	3		iosakwe
pair_25_(1 Timothy 2:12)	3		iosakwe
pair_129_(Hosea 8:7)	2		iosakwe
pair_112_(1 Timothy 2:12)	3		iosakwe
pair_81_(1 Timothy 2:12)	3		iosakwe
pair_41_(Hosea 8:7)	3		iosakwe
pair_64_(Hosea 8:7)	2		iosakwe
pair_109_(1 Timothy 2:12)	2		iosakwe
pair_54_(Hosea 8:7)	4		iosakwe
pair_6_(Hosea 8:7)	3		iosakwe
pair_137_(1 Timothy 2:12)	4		iosakwe
pair_133_(Hosea 8:7)	4		iosakwe
pair_147_(Hosea 8:7)	2		iosakwe
pair_82_(Hosea 8:7)	1		iosakwe
pair_74_(1 Timothy 2:12)	4		iosakwe
pair_40_(1 Timothy 2:12)	4		iosakwe
pair_8_(1 Timothy 2:12)	3		iosakwe
pair_110_(1 Timothy 2:12)	4		iosakwe
pair_94_(1 Timothy 2:12)	2		iosakwe
pair_135_(Hosea 8:7)	2		iosakwe
pair_139_(1 Timothy 2:12)	3		iosakwe
pair_103_(Hosea 8:7)	3		iosakwe
pair_50_(1 Timothy 2:12)	2		iosakwe
pair_125_(Hosea 8:7)	2		iosakwe
pair_149_(1 Timothy 2:12)	3		iosakwe
pair_143_(1 Timothy 2:12)	3		iosakwe
pair_17_(1 Timothy 2:12)	3		iosakwe
pair_46_(Hosea 8:7)	3		iosakwe
pair_59_(1 Timothy 2:12)	2		iosakwe
pair_47_(1 Timothy 2:12)	4		iosakwe
pair_69_(1 Timothy 2:12)	4		iosakwe
pair_111_(1 Timothy 2:12)	2		iosakwe
pair_148_(1 Timothy 2:12)	2		iosakwe
pair_118_(Hosea 8:7)	1		iosakwe
pair_36_(Hosea 8:7)	2		iosakwe
pair_71_(1 Timothy 2:12)	2		iosakwe
pair_123_(Hosea 8:7)	1		iosakwe
pair_53_(Hosea 8:7)	1		iosakwe
pair_63_(Hosea 8:7)	1		iosakwe
pair_47_(Hosea 8:7)	1		iosakwe
pair_139_(Hosea 8:7)	1		iosakwe
pair_35_(Hosea 8:7)	2		iosakwe
pair_131_(Hosea 8:7)	1		iosakwe
pair_118_(1 Timothy 2:12)	3		iosakwe
pair_49_(1 Timothy 2:12)	2		iosakwe
pair_122_(Hosea 8:7)	1		iosakwe
pair_109_(Hosea 8:7)	1		iosakwe
pair_62_(1 Timothy 2:12)	3		iosakwe
pair_42_(1 Timothy 2:12)	3		iosakwe
pair_42_(Hosea 8:7)	1		iosakwe
pair_144_(1 Timothy 2:12)	4		iosakwe
pair_102_(Hosea 8:7)	1		iosakwe
pair_141_(Hosea 8:7)	1		iosakwe
pair_90_(Hosea 8:7)	2		iosakwe
pair_146_(Hosea 8:7)	4		iosakwe
pair_85_(1 Timothy 2:12)	4		iosakwe
pair_67_(1 Timothy 2:12)	4		iosakwe
pair_34_(Hosea 8:7)	1		iosakwe
pair_120_(1 Timothy 2:12)	4		iosakwe
pair_93_(1 Timothy 2:12)	4		iosakwe
pair_92_(1 Timothy 2:12)	4		iosakwe
pair_126_(1 Timothy 2:12)	3		iosakwe
pair_80_(1 Timothy 2:12)	4		iosakwe
pair_86_(1 Timothy 2:12)	4		iosakwe
pair_95_(Hosea 8:7)	2		iosakwe
pair_101_(Hosea 8:7)	3		iosakwe
pair_28_(1 Timothy 2:12)	3		iosakwe
pair_53_(1 Timothy 2:12)	4		iosakwe
pair_142_(Hosea 8:7)	2		iosakwe
pair_73_(Hosea 8:7)	1		iosakwe
pair_54_(1 Timothy 2:12)	2		iosakwe
pair_32_(Hosea 8:7)	2		iosakwe
pair_60_(Hosea 8:7)	2		iosakwe
pair_107_(Hosea 8:7)	3		iosakwe
pair_29_(Hosea 8:7)	2		iosakwe
pair_97_(Hosea 8:7)	1		iosakwe
pair_19_(1 Timothy 2:12)	2		iosakwe
pair_76_(Hosea 8:7)	3		iosakwe
pair_140_(1 Timothy 2:12)	3		iosakwe
pair_126_(Hosea 8:7)	2		iosakwe
pair_98_(Hosea 8:7)	4		iosakwe
pair_30_(Hosea 8:7)	1		iosakwe
pair_74_(Hosea 8:7)	1		iosakwe
pair_45_(Hosea 8:7)	1		iosakwe
pair_137_(Hosea 8:7)	4		iosakwe
pair_131_(1 Timothy 2:12)	3		iosakwe
pair_87_(1 Timothy 2:12)	3		iosakwe
pair_7_(1 Timothy 2:12)	2		iosakwe
pair_93_(Hosea 8:7)	1		iosakwe
pair_28_(Hosea 8:7)	1		iosakwe
pair_52_(1 Timothy 2:12)	4		iosakwe
pair_35_(1 Timothy 2:12)	3		iosakwe
pair_2_(1 Timothy 2:12)	4		iosakwe
pair_4_(1 Timothy 2:12)	4		iosakwe
pair_123_(1 Timothy 2:12)	3		iosakwe
pair_145_(Hosea 8:7)	1		iosakwe
pair_122_(1 Timothy 2:12)	4		iosakwe
pair_117_(Hosea 8:7)	1		iosakwe
pair_18_(1 Timothy 2:12)	4		iosakwe
pair_27_(Hosea 8:7)	2		iosakwe
pair_21_(1 Timothy 2:12)	2		iosakwe
pair_50_(Hosea 8:7)	1		iosakwe
pair_66_(Hosea 8:7)	2		iosakwe
pair_96_(1 Timothy 2:12)	4		iosakwe
pair_60_(1 Timothy 2:12)	3		iosakwe
pair_71_(Hosea 8:7)	1		iosakwe
pair_68_(1 Timothy 2:12)	4		iosakwe
pair_116_(1 Timothy 2:12)	4		iosakwe
pair_69_(Hosea 8:7)	2		iosakwe
pair_24_(1 Timothy 2:12)	4		iosakwe
pair_91_(1 Timothy 2:12)	4		iosakwe
pair_5_(Hosea 8:7)	1		iosakwe
pair_135_(1 Timothy 2:12)	3		iosakwe
pair_9_(Hosea 8:7)	1		iosakwe
pair_38_(Hosea 8:7)	1		iosakwe
pair_39_(Hosea 8:7)	3		iosakwe
pair_86_(Hosea 8:7)	4		iosakwe
pair_4_(Hosea 8:7)	4		iosakwe
pair_84_(1 Timothy 2:12)	3		iosakwe
