instanceID	label	comment	annotator
pair_129_(Psalm 23:1)	2		Nisha
pair_126_(Leviticus 18:22)	1		Nisha
pair_30_(Leviticus 20:13)	3		Nisha
pair_86_(Philippians 4:13)	3		Nisha
pair_148_(John 15:12)	2		Nisha
pair_0_(Matthew 5:39)	1		Nisha
pair_29_(Proverbs 10:12)	2		Nisha
pair_50_(Matthew 7:7)	1		Nisha
pair_115_(Proverbs 31:10)	1		Nisha
pair_11_(Joshua 1:9)	1		Nisha
pair_115_(John 15:12)	2		Nisha
pair_90_(Psalm 118:24)	1		Nisha
pair_97_(Psalm 23:1)	1		Nisha
pair_72_(Solomon 4:7)	4		Nisha
pair_138_(Romans 12:10)	3		Nisha
pair_77_(Matthew 11:28)	1		Nisha
pair_107_(Romans 8:28)	2		Nisha
pair_92_(Luke 17:3)	2		Nisha
pair_10_(Proverbs 12:25)	3		Nisha
pair_84_(Matthew 5:44)	2		Nisha
pair_42_(Matthew 5:39)	1		Nisha
pair_92_(Matthew 5:44)	2		Nisha
pair_37_(Matthew 7:25)	3		Nisha
pair_28_(Matthew 11:28)	1		Nisha
pair_109_(Matthew 7:25)	3		Nisha
pair_112_(Matthew 5:44)	1		Nisha
pair_59_(Matthew 7:7)	1		Nisha
pair_40_(Matthew 7:7)	1		Nisha
pair_60_(Romans 12:10)	1		Nisha
pair_52_(Matthew 5:44)	1		Nisha
pair_23_(Mark 9:23)	4		Nisha
pair_57_(John 17:21)	2		Nisha
pair_76_(Romans 12:10)	1		Nisha
pair_26_(Ecclesiastes 3:1)	1		Nisha
pair_135_(Mark 12:17)	1		Nisha
pair_42_(Psalm 23:1)	1		Nisha
pair_81_(Mark 9:23)	3		Nisha
pair_62_(Proverbs 12:25)	3		Nisha
pair_111_(Philippians 4:13)	1		Nisha
pair_33_(Luke 17:3)	3		Nisha
pair_74_(Philippians 4:13)	1		Nisha
pair_134_(Matthew 18:22)	3		Nisha
pair_143_(Ecclesiastes 3:1)	2		Nisha
pair_109_(John 17:21)	1		Nisha
pair_142_(Leviticus 20:13)	3		Nisha
pair_95_(Proverbs 31:10)	2		Nisha
pair_123_(John 17:21)	2		Nisha
pair_40_(Romans 12:10)	3		Nisha
pair_19_(John 15:12)	2		Nisha
pair_75_(Mark 12:17)	2		Nisha
pair_88_(Matthew 7:25)	3		Nisha
pair_124_(Matthew 5:39)	1		Nisha
pair_45_(Psalm 118:24)	3		Nisha
pair_11_(Romans 8:28)	2		Nisha
pair_58_(Philippians 4:13)	1		Nisha
pair_58_(Proverbs 31:10)	3		Nisha
pair_145_(Matthew 5:44)	3		Nisha
pair_107_(Mark 12:17)	2		Nisha
pair_83_(John 17:21)	3		Nisha
pair_42_(John 15:13)	1		Nisha
pair_4_(John 15:13)	2		Nisha
pair_35_(Romans 12:10)	2		Nisha
pair_27_(Romans 12:10)	3		Nisha
pair_44_(Romans 8:28)	1		Nisha
pair_68_(Romans 8:28)	1		Nisha
pair_43_(Psalm 23:1)	1		Nisha
pair_148_(Solomon 4:7)	2		Nisha
pair_100_(Leviticus 18:22)	2		Nisha
pair_125_(Proverbs 12:25)	2		Nisha
pair_133_(Matthew 5:44)	3		Nisha
pair_61_(Mark 12:17)	3		Nisha
pair_112_(Leviticus 20:13)	1		Nisha
pair_6_(Mark 9:23)	1		Nisha
pair_46_(Romans 12:10)	2		Nisha
pair_84_(Ecclesiastes 3:1)	2		Nisha
pair_69_(Proverbs 27:5)	4		Nisha
pair_131_(Leviticus 20:13)	2		Nisha
pair_21_(John 15:12)	2		Nisha
pair_139_(John 17:21)	2		Nisha
pair_101_(Matthew 5:39)	1		Nisha
pair_29_(Psalm 23:1)	1		Nisha
pair_13_(Leviticus 20:13)	3		Nisha
pair_35_(John 15:12)	1		Nisha
pair_127_(Solomon 4:7)	2		Nisha
pair_68_(Mark 12:17)	2		Nisha
pair_19_(Romans 12:10)	3		Nisha
pair_94_(Matthew 11:28)	2		Nisha
pair_9_(Matthew 7:25)	3		Nisha
pair_107_(John 15:13)	1		Nisha
pair_143_(Proverbs 10:12)	1		Nisha
pair_146_(Proverbs 31:10)	2		Nisha
pair_101_(Luke 17:3)	1		Nisha
pair_106_(Leviticus 20:13)	2		Nisha
pair_58_(Psalm 23:1)	1		Nisha
pair_33_(Mark 12:17)	1		Nisha
pair_103_(Ecclesiastes 3:1)	1		Nisha
pair_118_(Matthew 11:28)	1		Nisha
pair_33_(Matthew 5:39)	2		Nisha
pair_36_(John 15:13)	2		Nisha
pair_107_(Luke 17:3)	1		Nisha
