instanceID	label	comment	annotator
pair_116_(Hosea 8:7)	4		shur
pair_136_(Hosea 8:7)	3		shur
pair_138_(Hosea 8:7)	2		shur
pair_17_(1 Timothy 2:12)	3		shur
pair_18_(1 Timothy 2:12)	3		shur
pair_19_(Hosea 8:7)	2		shur
pair_41_(Hosea 8:7)	4		shur
pair_43_(Hosea 8:7)	4		shur
pair_44_(Hosea 8:7)	4		shur
pair_51_(Hosea 8:7)	2		shur
pair_54_(Hosea 8:7)	2		shur
pair_57_(Hosea 8:7)	2		shur
pair_68_(Hosea 8:7)	2		shur
pair_69_(Hosea 8:7)	2		shur
pair_71_(1 Timothy 2:12)	4		shur
pair_84_(Hosea 8:7)	2		shur
pair_85_(1 Timothy 2:12)	3		shur
pair_91_(Hosea 8:7)	1		shur
pair_93_(1 Timothy 2:12)	4		shur
pair_93_(Hosea 8:7)	2		shur
pair_95_(Hosea 8:7)	2		shur
pair_116_(Hosea 8:7)	2		AndreaMariaC
pair_136_(Hosea 8:7)	1		AndreaMariaC
pair_138_(Hosea 8:7)	1		AndreaMariaC
pair_17_(1 Timothy 2:12)	4		AndreaMariaC
pair_18_(1 Timothy 2:12)	3		AndreaMariaC
pair_19_(Hosea 8:7)	1		AndreaMariaC
pair_41_(Hosea 8:7)	3		AndreaMariaC
pair_43_(Hosea 8:7)	2		AndreaMariaC
pair_44_(Hosea 8:7)	1		AndreaMariaC
pair_51_(Hosea 8:7)	1		AndreaMariaC
pair_54_(Hosea 8:7)	1		AndreaMariaC
pair_57_(Hosea 8:7)	1		AndreaMariaC
pair_68_(Hosea 8:7)	2		AndreaMariaC
pair_69_(Hosea 8:7)	1		AndreaMariaC
pair_71_(1 Timothy 2:12)	3		AndreaMariaC
pair_84_(Hosea 8:7)	1		AndreaMariaC
pair_85_(1 Timothy 2:12)	2		AndreaMariaC
pair_91_(Hosea 8:7)	1		AndreaMariaC
pair_93_(1 Timothy 2:12)	3		AndreaMariaC
pair_93_(Hosea 8:7)	1		AndreaMariaC
pair_95_(Hosea 8:7)	1		AndreaMariaC
pair_116_(Hosea 8:7)	2		Nisha
pair_136_(Hosea 8:7)	1		Nisha
pair_138_(Hosea 8:7)	2		Nisha
pair_17_(1 Timothy 2:12)	3		Nisha
pair_18_(1 Timothy 2:12)	3		Nisha
pair_19_(Hosea 8:7)	1		Nisha
pair_41_(Hosea 8:7)	2		Nisha
pair_43_(Hosea 8:7)	2		Nisha
pair_44_(Hosea 8:7)	2		Nisha
pair_51_(Hosea 8:7)	1		Nisha
pair_54_(Hosea 8:7)	2		Nisha
pair_57_(Hosea 8:7)	1		Nisha
pair_68_(Hosea 8:7)	3		Nisha
pair_69_(Hosea 8:7)	2		Nisha
pair_71_(1 Timothy 2:12)	3		Nisha
pair_84_(Hosea 8:7)	1		Nisha
pair_85_(1 Timothy 2:12)	2		Nisha
pair_91_(Hosea 8:7)	1		Nisha
pair_93_(1 Timothy 2:12)	3		Nisha
pair_93_(Hosea 8:7)	1		Nisha
pair_95_(Hosea 8:7)	1		Nisha
