instanceID	dataIDs	label_set	non_label
pair_0_(1 John 4:8)	83_(1 John 4:8)-c2,79_(1 John 4:8)-c2	1,2,3,4	-
pair_1_(1 John 4:8)	80_(1 John 4:8)-c2,76_(1 John 4:8)-c1	1,2,3,4	-
pair_2_(1 John 4:8)	88_(1 John 4:8)-c2,79_(1 John 4:8)-c2	1,2,3,4	-
pair_3_(1 John 4:8)	83_(1 John 4:8)-c2,77_(1 John 4:8)-c1	1,2,3,4	-
pair_4_(1 John 4:8)	80_(1 John 4:8)-c2,86_(1 John 4:8)-c1	1,2,3,4	-
pair_5_(1 John 4:8)	85_(1 John 4:8)-c2,77_(1 John 4:8)-c2	1,2,3,4	-
pair_6_(1 John 4:8)	78_(1 John 4:8)-c1,77_(1 John 4:8)-c2	1,2,3,4	-
pair_7_(1 John 4:8)	75_(1 John 4:8)-c2,88_(1 John 4:8)-c2	1,2,3,4	-
pair_8_(1 John 4:8)	79_(1 John 4:8)-c2,88_(1 John 4:8)-c1	1,2,3,4	-
pair_9_(1 John 4:8)	78_(1 John 4:8)-c1,87_(1 John 4:8)-c2	1,2,3,4	-
pair_10_(1 John 4:8)	75_(1 John 4:8)-c2,80_(1 John 4:8)-c2	1,2,3,4	-
pair_11_(1 John 4:8)	85_(1 John 4:8)-c1,75_(1 John 4:8)-c1	1,2,3,4	-
pair_12_(1 John 4:8)	86_(1 John 4:8)-c2,81_(1 John 4:8)-c2	1,2,3,4	-
pair_13_(1 John 4:8)	89_(1 John 4:8)-c1,88_(1 John 4:8)-c1	1,2,3,4	-
pair_14_(1 John 4:8)	83_(1 John 4:8)-c2,83_(1 John 4:8)-c1	1,2,3,4	-
pair_15_(1 John 4:8)	75_(1 John 4:8)-c2,79_(1 John 4:8)-c2	1,2,3,4	-
pair_16_(1 John 4:8)	81_(1 John 4:8)-c1,80_(1 John 4:8)-c2	1,2,3,4	-
pair_17_(1 John 4:8)	80_(1 John 4:8)-c1,86_(1 John 4:8)-c1	1,2,3,4	-
pair_18_(1 John 4:8)	87_(1 John 4:8)-c1,85_(1 John 4:8)-c2	1,2,3,4	-
pair_19_(1 John 4:8)	78_(1 John 4:8)-c1,75_(1 John 4:8)-c1	1,2,3,4	-
pair_20_(1 John 4:8)	84_(1 John 4:8)-c2,85_(1 John 4:8)-c2	1,2,3,4	-
pair_21_(1 John 4:8)	89_(1 John 4:8)-c2,75_(1 John 4:8)-c1	1,2,3,4	-
pair_22_(1 John 4:8)	81_(1 John 4:8)-c2,85_(1 John 4:8)-c1	1,2,3,4	-
pair_23_(1 John 4:8)	79_(1 John 4:8)-c2,75_(1 John 4:8)-c1	1,2,3,4	-
pair_24_(1 John 4:8)	80_(1 John 4:8)-c1,75_(1 John 4:8)-c1	1,2,3,4	-
pair_25_(1 John 4:8)	88_(1 John 4:8)-c2,86_(1 John 4:8)-c2	1,2,3,4	-
pair_26_(1 John 4:8)	85_(1 John 4:8)-c2,83_(1 John 4:8)-c2	1,2,3,4	-
pair_27_(1 John 4:8)	86_(1 John 4:8)-c2,78_(1 John 4:8)-c2	1,2,3,4	-
pair_28_(1 John 4:8)	81_(1 John 4:8)-c1,85_(1 John 4:8)-c2	1,2,3,4	-
pair_29_(1 John 4:8)	80_(1 John 4:8)-c2,76_(1 John 4:8)-c2	1,2,3,4	-
pair_30_(1 John 4:8)	89_(1 John 4:8)-c1,86_(1 John 4:8)-c1	1,2,3,4	-
pair_31_(1 John 4:8)	89_(1 John 4:8)-c1,76_(1 John 4:8)-c1	1,2,3,4	-
pair_32_(1 John 4:8)	79_(1 John 4:8)-c1,82_(1 John 4:8)-c1	1,2,3,4	-
pair_33_(1 John 4:8)	81_(1 John 4:8)-c2,88_(1 John 4:8)-c1	1,2,3,4	-
pair_34_(1 John 4:8)	88_(1 John 4:8)-c2,81_(1 John 4:8)-c2	1,2,3,4	-
pair_35_(1 John 4:8)	89_(1 John 4:8)-c2,88_(1 John 4:8)-c1	1,2,3,4	-
pair_36_(1 John 4:8)	81_(1 John 4:8)-c2,76_(1 John 4:8)-c2	1,2,3,4	-
pair_37_(1 John 4:8)	75_(1 John 4:8)-c2,81_(1 John 4:8)-c2	1,2,3,4	-
pair_38_(1 John 4:8)	86_(1 John 4:8)-c1,88_(1 John 4:8)-c1	1,2,3,4	-
pair_39_(1 John 4:8)	77_(1 John 4:8)-c2,88_(1 John 4:8)-c1	1,2,3,4	-
pair_40_(1 John 4:8)	80_(1 John 4:8)-c2,79_(1 John 4:8)-c1	1,2,3,4	-
pair_41_(1 John 4:8)	78_(1 John 4:8)-c1,80_(1 John 4:8)-c2	1,2,3,4	-
pair_42_(1 John 4:8)	86_(1 John 4:8)-c1,78_(1 John 4:8)-c2	1,2,3,4	-
pair_43_(1 John 4:8)	86_(1 John 4:8)-c1,89_(1 John 4:8)-c2	1,2,3,4	-
pair_44_(1 John 4:8)	81_(1 John 4:8)-c1,88_(1 John 4:8)-c2	1,2,3,4	-
pair_45_(1 John 4:8)	83_(1 John 4:8)-c2,87_(1 John 4:8)-c2	1,2,3,4	-
pair_46_(1 John 4:8)	79_(1 John 4:8)-c1,88_(1 John 4:8)-c1	1,2,3,4	-
pair_47_(1 John 4:8)	84_(1 John 4:8)-c1,79_(1 John 4:8)-c2	1,2,3,4	-
pair_48_(1 John 4:8)	80_(1 John 4:8)-c2,82_(1 John 4:8)-c1	1,2,3,4	-
pair_49_(1 John 4:8)	89_(1 John 4:8)-c1,78_(1 John 4:8)-c2	1,2,3,4	-
pair_50_(1 John 4:8)	77_(1 John 4:8)-c2,89_(1 John 4:8)-c2	1,2,3,4	-
