instanceID	dataIDs	label_set	non_label
pair_0_(Ecclesiastes 3:1)	279_(Ecclesiastes 3:1)-c2,273_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_1_(Ecclesiastes 3:1)	278_(Ecclesiastes 3:1)-c2,275_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_2_(Ecclesiastes 3:1)	283_(Ecclesiastes 3:1)-c2,272_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_3_(Ecclesiastes 3:1)	281_(Ecclesiastes 3:1)-c2,278_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_4_(Ecclesiastes 3:1)	282_(Ecclesiastes 3:1)-c2,273_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_5_(Ecclesiastes 3:1)	277_(Ecclesiastes 3:1)-c1,279_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_6_(Ecclesiastes 3:1)	275_(Ecclesiastes 3:1)-c2,278_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_7_(Ecclesiastes 3:1)	274_(Ecclesiastes 3:1)-c2,272_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_8_(Ecclesiastes 3:1)	273_(Ecclesiastes 3:1)-c2,273_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_9_(Ecclesiastes 3:1)	276_(Ecclesiastes 3:1)-c1,274_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_10_(Ecclesiastes 3:1)	283_(Ecclesiastes 3:1)-c2,280_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_11_(Ecclesiastes 3:1)	272_(Ecclesiastes 3:1)-c1,271_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_12_(Ecclesiastes 3:1)	272_(Ecclesiastes 3:1)-c1,275_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_13_(Ecclesiastes 3:1)	280_(Ecclesiastes 3:1)-c1,272_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_14_(Ecclesiastes 3:1)	277_(Ecclesiastes 3:1)-c2,280_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_15_(Ecclesiastes 3:1)	277_(Ecclesiastes 3:1)-c2,275_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_16_(Ecclesiastes 3:1)	279_(Ecclesiastes 3:1)-c1,283_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_17_(Ecclesiastes 3:1)	283_(Ecclesiastes 3:1)-c2,279_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_18_(Ecclesiastes 3:1)	277_(Ecclesiastes 3:1)-c2,275_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_19_(Ecclesiastes 3:1)	281_(Ecclesiastes 3:1)-c2,282_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_20_(Ecclesiastes 3:1)	281_(Ecclesiastes 3:1)-c1,276_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_21_(Ecclesiastes 3:1)	282_(Ecclesiastes 3:1)-c1,276_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_22_(Ecclesiastes 3:1)	282_(Ecclesiastes 3:1)-c1,280_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_23_(Ecclesiastes 3:1)	284_(Ecclesiastes 3:1)-c1,284_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_24_(Ecclesiastes 3:1)	273_(Ecclesiastes 3:1)-c1,280_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_25_(Ecclesiastes 3:1)	277_(Ecclesiastes 3:1)-c1,270_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_26_(Ecclesiastes 3:1)	272_(Ecclesiastes 3:1)-c2,275_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_27_(Ecclesiastes 3:1)	271_(Ecclesiastes 3:1)-c2,270_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_28_(Ecclesiastes 3:1)	270_(Ecclesiastes 3:1)-c2,275_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_29_(Ecclesiastes 3:1)	284_(Ecclesiastes 3:1)-c1,270_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_30_(Ecclesiastes 3:1)	283_(Ecclesiastes 3:1)-c2,278_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_31_(Ecclesiastes 3:1)	281_(Ecclesiastes 3:1)-c1,270_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_32_(Ecclesiastes 3:1)	274_(Ecclesiastes 3:1)-c2,278_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_33_(Ecclesiastes 3:1)	278_(Ecclesiastes 3:1)-c2,284_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_34_(Ecclesiastes 3:1)	282_(Ecclesiastes 3:1)-c2,280_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_35_(Ecclesiastes 3:1)	277_(Ecclesiastes 3:1)-c2,284_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_36_(Ecclesiastes 3:1)	274_(Ecclesiastes 3:1)-c2,274_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_37_(Ecclesiastes 3:1)	271_(Ecclesiastes 3:1)-c2,283_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_38_(Ecclesiastes 3:1)	278_(Ecclesiastes 3:1)-c2,279_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_39_(Ecclesiastes 3:1)	276_(Ecclesiastes 3:1)-c1,275_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_40_(Ecclesiastes 3:1)	274_(Ecclesiastes 3:1)-c1,271_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_41_(Ecclesiastes 3:1)	274_(Ecclesiastes 3:1)-c1,271_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_42_(Ecclesiastes 3:1)	270_(Ecclesiastes 3:1)-c2,283_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_43_(Ecclesiastes 3:1)	275_(Ecclesiastes 3:1)-c1,280_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_44_(Ecclesiastes 3:1)	273_(Ecclesiastes 3:1)-c1,271_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_45_(Ecclesiastes 3:1)	283_(Ecclesiastes 3:1)-c2,282_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_46_(Ecclesiastes 3:1)	278_(Ecclesiastes 3:1)-c2,270_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_47_(Ecclesiastes 3:1)	271_(Ecclesiastes 3:1)-c2,271_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_48_(Ecclesiastes 3:1)	280_(Ecclesiastes 3:1)-c2,283_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_49_(Ecclesiastes 3:1)	277_(Ecclesiastes 3:1)-c1,278_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_50_(Ecclesiastes 3:1)	275_(Ecclesiastes 3:1)-c1,276_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_51_(Ecclesiastes 3:1)	280_(Ecclesiastes 3:1)-c1,273_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_52_(Ecclesiastes 3:1)	282_(Ecclesiastes 3:1)-c1,278_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_53_(Ecclesiastes 3:1)	281_(Ecclesiastes 3:1)-c1,275_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_54_(Ecclesiastes 3:1)	276_(Ecclesiastes 3:1)-c1,278_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_55_(Ecclesiastes 3:1)	276_(Ecclesiastes 3:1)-c1,276_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_56_(Ecclesiastes 3:1)	279_(Ecclesiastes 3:1)-c1,280_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_57_(Ecclesiastes 3:1)	270_(Ecclesiastes 3:1)-c2,271_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_58_(Ecclesiastes 3:1)	275_(Ecclesiastes 3:1)-c1,284_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_59_(Ecclesiastes 3:1)	274_(Ecclesiastes 3:1)-c1,284_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_60_(Ecclesiastes 3:1)	282_(Ecclesiastes 3:1)-c2,284_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_61_(Ecclesiastes 3:1)	277_(Ecclesiastes 3:1)-c2,274_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_62_(Ecclesiastes 3:1)	271_(Ecclesiastes 3:1)-c1,276_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_63_(Ecclesiastes 3:1)	279_(Ecclesiastes 3:1)-c2,281_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_64_(Ecclesiastes 3:1)	279_(Ecclesiastes 3:1)-c1,284_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_65_(Ecclesiastes 3:1)	279_(Ecclesiastes 3:1)-c2,276_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_66_(Ecclesiastes 3:1)	283_(Ecclesiastes 3:1)-c2,271_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_67_(Ecclesiastes 3:1)	281_(Ecclesiastes 3:1)-c2,284_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_68_(Ecclesiastes 3:1)	283_(Ecclesiastes 3:1)-c2,276_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_69_(Ecclesiastes 3:1)	270_(Ecclesiastes 3:1)-c2,278_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_70_(Ecclesiastes 3:1)	275_(Ecclesiastes 3:1)-c2,276_(Ecclesiastes 3:1)-c2	1,2,3,4	-
pair_71_(Ecclesiastes 3:1)	283_(Ecclesiastes 3:1)-c2,274_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_72_(Ecclesiastes 3:1)	277_(Ecclesiastes 3:1)-c2,270_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_73_(Ecclesiastes 3:1)	277_(Ecclesiastes 3:1)-c2,273_(Ecclesiastes 3:1)-c1	1,2,3,4	-
pair_74_(Ecclesiastes 3:1)	281_(Ecclesiastes 3:1)-c2,276_(Ecclesiastes 3:1)-c2	1,2,3,4	-
