instanceID	dataIDs	label_set	non_label
pair_68_(Hosea 8:7)	234_(Hosea 8:7)-c1,228_(Hosea 8:7)-c2	1,2,3,4	-
pair_116_(Hosea 8:7)	225_(Hosea 8:7)-c1,233_(Hosea 8:7)-c1	1,2,3,4	-
pair_44_(Hosea 8:7)	239_(Hosea 8:7)-c1,229_(Hosea 8:7)-c1	1,2,3,4	-
pair_69_(Hosea 8:7)	236_(Hosea 8:7)-c1,229_(Hosea 8:7)-c1	1,2,3,4	-
pair_93_(Hosea 8:7)	229_(Hosea 8:7)-c2,229_(Hosea 8:7)-c1	1,2,3,4	-
pair_54_(Hosea 8:7)	237_(Hosea 8:7)-c2,229_(Hosea 8:7)-c1	1,2,3,4	-
pair_19_(Hosea 8:7)	238_(Hosea 8:7)-c2,226_(Hosea 8:7)-c1	1,2,3,4	-
pair_43_(Hosea 8:7)	239_(Hosea 8:7)-c1,234_(Hosea 8:7)-c1	1,2,3,4	-
pair_41_(Hosea 8:7)	231_(Hosea 8:7)-c1,234_(Hosea 8:7)-c1	1,2,3,4	-
pair_136_(Hosea 8:7)	239_(Hosea 8:7)-c2,234_(Hosea 8:7)-c1	1,2,3,4	-
pair_51_(Hosea 8:7)	230_(Hosea 8:7)-c1,234_(Hosea 8:7)-c1	1,2,3,4	-
pair_84_(Hosea 8:7)	229_(Hosea 8:7)-c2,235_(Hosea 8:7)-c2	1,2,3,4	-
pair_95_(Hosea 8:7)	239_(Hosea 8:7)-c2,235_(Hosea 8:7)-c2	1,2,3,4	-
pair_57_(Hosea 8:7)	225_(Hosea 8:7)-c2,237_(Hosea 8:7)-c2	1,2,3,4	-
pair_17_(1 Timothy 2:12)	10_(1 Timothy 2:12)-c2,4_(1 Timothy 2:12)-c2	1,2,3,4	-
pair_71_(1 Timothy 2:12)	0_(1 Timothy 2:12)-c2,2_(1 Timothy 2:12)-c2	1,2,3,4	-
pair_85_(1 Timothy 2:12)	8_(1 Timothy 2:12)-c2,1_(1 Timothy 2:12)-c1	1,2,3,4	-
pair_18_(1 Timothy 2:12)	7_(1 Timothy 2:12)-c1,1_(1 Timothy 2:12)-c1	1,2,3,4	-
pair_93_(1 Timothy 2:12)	1_(1 Timothy 2:12)-c2,7_(1 Timothy 2:12)-c1	1,2,3,4	-
pair_138_(Hosea 8:7)	235_(Hosea 8:7)-c2,228_(Hosea 8:7)-c1	1,2,3,4	-
pair_91_(Hosea 8:7)	230_(Hosea 8:7)-c2,232_(Hosea 8:7)-c2	1,2,3,4	-
