instanceID	dataIDs	label_set	non_label
pair_a_(Philippians 4:13)	30_(Philippians 4:13),31_(Philippians 4:13)	1,2,3,4	-
pair_b_(Job 1:1)	13_(Job 1:1),14_(Job 1:1)	1,2,3,4	-
pair_c_(Job 1:1)	14_(Job 1:1),15_(Job 1:1)	1,2,3,4	-
pair_d_(1 Peter 4:7)	16_(1 Peter 4:7),17_(1 Peter 4:7)	1,2,3,4	-
pair_e_(Job 1:1)	12_(Job 1:1),13_(Job 1:1)	1,2,3,4	-
pair_f_(Zechariah 10:1)	27_(Zechariah 10:1),28_(Zechariah 10:1)	1,2,3,4	-
pair_g_(Proverbs 1:8)	6_(Proverbs 1:8),7_(Proverbs 1:8)	1,2,3,4	-
pair_h_(Zechariah 10:1)	27_(Zechariah 10:1),29_(Zechariah 10:1)	1,2,3,4	-
pair_i_(1 Peter 4:7)	18_(1 Peter 4:7),19_(1 Peter 4:7)	1,2,3,4	-
pair_l_(Matthew 5:9)	21_(Matthew 5:9),25_(Matthew 5:9)	1,2,3,4	-
pair_m_(Luke 24:15)	0_(Luke 24:15),2_(Luke 24:15)	1,2,3,4	-
pair_n_(1 Peter 4:7)	16_(1 Peter 4:7),19_(1 Peter 4:7)	1,2,3,4	-
pair_o_(Luke 24:15)	1_(Luke 24:15),2_(Luke 24:15)	1,2,3,4	-
pair_p_(1 Timothy 6:10)	33_(1 Timothy 6:10),32_(1 Timothy 6:10)	1,2,3,4	-
pair_q_(Luke 24:15)	0_(Luke 24:15),3_(Luke 24:15)	1,2,3,4	-
pair_r_(Zechariah 10:1)	28_(Zechariah 10:1),29_(Zechariah 10:1)	1,2,3,4	-
pair_s_(Matthew 5:9)	21_(Matthew 5:9),23_(Matthew 5:9)	1,2,3,4	-
pair_t_(Song of songs 8:6)	11_(Song of songs 8:6),9_(Song of songs 8:6)	1,2,3,4	-
pair_u_(Proverbs 1:8)	7_(Proverbs 1:8),8_(Proverbs 1:8)	1,2,3,4	-
pair_v_(Revelation 12:3)	4_(Revelation 12:3),5_(Revelation 12:3)	1,2,3,4	-
pair_z_(Proverbs 1:8)	6_(Proverbs 1:8),8_(Proverbs 1:8)	1,2,3,4	-
pair_k_(Matthew 5:9)	22_(Matthew 5:9),23_(Matthew 5:9)	1,2,3,4	-
pair_w_(Song of songs 8:6)	10_(Song of songs 8:6),9_(Song of songs 8:6)	1,2,3,4	-
pair_j_(Matthew 6:9)	34_(Matthew 6:9),35_(Matthew 6:9)	1,2,3,4	-
pair_x_(Mark 11:24)	36_(Mark 11:24),37_(Mark 11:24)	1,2,3,4	-
