model	k_fold	train-spearman_corr	train-spearman_pvalue	train-pearson_corr	train-pearson_pvalue	train-f1_score	train-f1_scores_label1	train-f1_scores_label0	train-recall_label1	train-recall_label0	train-precision_label1	train-precision_label0	test-spearman_corr	test-spearman_pvalue	test-pearson_corr	test-pearson_pvalue	test-f1_score	test-f1_scores_label1	test-f1_scores_label0	test-recall_label1	test-recall_label0	test-precision_label1	test-precision_label0	test.iov-spearman_corr	test.iov-spearman_pvalue	test.iov-pearson_corr	test.iov-pearson_pvalue	test.iov-f1_score	test.iov-f1_scores_label1	test.iov-f1_scores_label0	test.iov-recall_label1	test.iov-recall_label0	test.iov-precision_label1	test.iov-precision_label0	test.oov-spearman_corr	test.oov-spearman_pvalue	test.oov-pearson_corr	test.oov-pearson_pvalue	test.oov-f1_score	test.oov-f1_scores_label1	test.oov-f1_scores_label0	test.oov-recall_label1	test.oov-recall_label0	test.oov-precision_label1	test.oov-precision_label0	dev-spearman_corr	dev-spearman_pvalue	dev-pearson_corr	dev-pearson_pvalue	dev-f1_score	dev-f1_scores_label1	dev-f1_scores_label0	dev-recall_label1	dev-recall_label0	dev-precision_label1	dev-precision_label0	dev.iov-spearman_corr	dev.iov-spearman_pvalue	dev.iov-pearson_corr	dev.iov-pearson_pvalue	dev.iov-f1_score	dev.iov-f1_scores_label1	dev.iov-f1_scores_label0	dev.iov-recall_label1	dev.iov-recall_label0	dev.iov-precision_label1	dev.iov-precision_label0	dev.oov-spearman_corr	dev.oov-spearman_pvalue	dev.oov-pearson_corr	dev.oov-pearson_pvalue	dev.oov-f1_score	dev.oov-f1_scores_label1	dev.oov-f1_scores_label0	dev.oov-recall_label1	dev.oov-recall_label0	dev.oov-precision_label1	dev.oov-precision_label0	thr
all-mpnet-base-v2	1	0.514	0.0	0.505	0.0	0.5412833274889546	0.5329171396140749	0.5445489762036525	0.937125748502994	0.38332684067004286	0.3723235527359239	0.9398280802292264	0.407	0.0	0.418	0.0	0.5556000956231238	0.46325167037861914	0.5808695652173913	0.9454545454545454	0.4154228855721393	0.30678466076696165	0.9653179190751445	0.487	0.0	0.474	0.0	0.5795453241013707	0.5267175572519084	0.5974025974025975	0.9583333333333334	0.431924882629108	0.3631578947368421	0.968421052631579	0.329	0.0	0.377	0.0	0.5304157454245821	0.37433155080213903	0.5617977528089887	0.9210526315789473	0.3968253968253968	0.2348993288590604	0.9615384615384616	0.587	0.0	0.592	0.0	0.6427215946446716	0.7521367521367521	0.5268065268065268	0.9595015576323987	0.37293729372937295	0.6184738955823293	0.8968253968253969	0.371	0.0	0.351	0.0	0.5108956497563124	0.4603773584905661	0.5280528052805281	0.8472222222222222	0.37735849056603776	0.3160621761658031	0.8791208791208791	0.583	0.0	0.661	0.0	0.7932328165923409	0.8916967509025271	0.5238095238095237	0.9919678714859438	0.3626373626373626	0.8098360655737705	0.9428571428571428	0.629
all-mpnet-base-v2_mask	1	0.649	0.0	0.656	0.0	0.7648269566403848	0.6433793663688059	0.8122326775021386	0.7904191616766467	0.7397740553174912	0.5424657534246575	0.9004267425320057	0.586	0.0	0.593	0.0	0.7715905230978262	0.5625	0.828804347826087	0.7363636363636363	0.7587064676616916	0.4550561797752809	0.9131736526946108	0.603	0.0	0.611	0.0	0.757858258251973	0.5966850828729281	0.8123393316195373	0.75	0.7417840375586855	0.4954128440366973	0.8977272727272727	0.565	0.0	0.564	0.0	0.7899124887002489	0.5046728971962617	0.8472622478386167	0.7105263157894737	0.7777777777777778	0.391304347826087	0.930379746835443	0.691	0.0	0.696	0.0	0.8204722054531255	0.826625386996904	0.813953488372093	0.8317757009345794	0.8085808580858086	0.8215384615384616	0.8193979933110368	0.54	0.0	0.568	0.0	0.7689790652310812	0.6057142857142858	0.8244274809160306	0.7361111111111112	0.7641509433962265	0.5145631067961165	0.8950276243093923	0.628	0.0	0.701	0.0	0.8780736114273218	0.9087048832271764	0.7942583732057416	0.8594377510040161	0.9120879120879121	0.963963963963964	0.7033898305084746	0.629
multi-qa-mpnet-base-dot-v1	1	0.508	0.0	0.503	0.0	0.5165827226495866	0.5249169435215947	0.51332955190017	0.9461077844311377	0.3525516166731593	0.3632183908045977	0.9436913451511991	0.436	0.0	0.436	0.0	0.5025925059804944	0.44537815126050423	0.5182481751824818	0.9636363636363636	0.35323383084577115	0.2896174863387978	0.9726027397260274	0.495	0.0	0.49	0.0	0.5665809868982167	0.5243445692883896	0.5808580858085808	0.9722222222222222	0.4131455399061033	0.358974358974359	0.9777777777777777	0.376	0.0	0.407	0.0	0.42469248812861143	0.34449760765550236	0.4408163265306122	0.9473684210526315	0.2857142857142857	0.21052631578947367	0.9642857142857143	0.506	0.0	0.51	0.0	0.59962841289115	0.7285886610373944	0.46300715990453456	0.940809968847352	0.3201320132013201	0.594488188976378	0.8362068965517241	0.373	0.0	0.348	0.0	0.4587942882206735	0.4444444444444445	0.4636678200692041	0.8611111111111112	0.3160377358490566	0.2995169082125604	0.8701298701298701	0.479	0.0	0.536	0.0	0.7626737967914439	0.8727272727272728	0.46153846153846156	0.963855421686747	0.32967032967032966	0.7973421926910299	0.7692307692307693	0.499
multi-qa-mpnet-base-dot-v1_mask	1	0.622	0.0	0.629	0.0	0.769818375084764	0.647203947368421	0.8176795580110497	0.7854291417165669	0.7495130502532139	0.5503496503496503	0.8994857410004675	0.583	0.0	0.574	0.0	0.768251432866673	0.5586206896551724	0.8256130790190737	0.7363636363636363	0.753731343283582	0.45	0.9126506024096386	0.592	0.0	0.61	0.0	0.7925109021238383	0.6395348837209303	0.8442211055276382	0.7638888888888888	0.7887323943661971	0.55	0.9081081081081082	0.57	0.0	0.524	0.0	0.7428227432240723	0.4406779661016949	0.8035714285714286	0.6842105263157895	0.7142857142857143	0.325	0.9183673469387755	0.664	0.0	0.67	0.0	0.8075537403675914	0.8159509202453987	0.7986577181208053	0.8286604361370716	0.7854785478547854	0.8036253776435045	0.8122866894197952	0.501	0.0	0.532	0.0	0.75917844730722	0.5909090909090908	0.8163265306122449	0.7222222222222222	0.7547169811320755	0.5	0.8888888888888888	0.65	0.0	0.704	0.0	0.8631735046959962	0.8991596638655462	0.7647058823529412	0.8594377510040161	0.8571428571428571	0.9427312775330396	0.6902654867256637	0.499
all-distilroberta-v1	1	0.551	0.0	0.546	0.0	0.4854665991424056	0.5227817745803358	0.4709010339734121	0.9790419161676647	0.3104791585508376	0.35659760087241005	0.9743276283618582	0.414	0.0	0.444	0.0	0.5008042279411765	0.45000000000000007	0.5147058823529412	0.9818181818181818	0.3482587064676617	0.2918918918918919	0.9859154929577465	0.495	0.0	0.509	0.0	0.5155718415965044	0.505338078291815	0.519031141868512	0.9861111111111112	0.352112676056338	0.3397129186602871	0.9868421052631579	0.335	0.0	0.386	0.0	0.48671186979208036	0.37185929648241206	0.5098039215686274	0.9736842105263158	0.3439153439153439	0.22981366459627328	0.9848484848484849	0.578	0.0	0.588	0.0	0.5855173719523128	0.737456242707118	0.42455242966751916	0.9844236760124611	0.2739273927392739	0.5895522388059702	0.9431818181818182	0.44	0.0	0.423	0.0	0.4673803655109006	0.4701754385964912	0.46643109540636046	0.9305555555555556	0.3113207547169811	0.3145539906103286	0.9295774647887324	0.505	0.0	0.577	0.0	0.7218672395142983	0.8706293706293706	0.3148148148148148	1.0	0.18681318681318682	0.7708978328173375	1.0	0.657
all-distilroberta-v1_mask	1	0.67	0.0	0.675	0.0	0.7589452238687638	0.6544482626956855	0.7997344545253375	0.8552894211576846	0.7039345539540319	0.5299938157081014	0.9257172131147541	0.615	0.0	0.622	0.0	0.7580777282146449	0.5659163987138264	0.8106591865357644	0.8	0.7189054726368159	0.43781094527363185	0.9292604501607717	0.625	0.0	0.638	0.0	0.7499670980478175	0.6082474226804123	0.7978723404255319	0.8194444444444444	0.704225352112676	0.48360655737704916	0.9202453987730062	0.612	0.0	0.592	0.0	0.7698175597625264	0.49572649572649574	0.8249258160237389	0.7631578947368421	0.7354497354497355	0.3670886075949367	0.9391891891891891	0.721	0.0	0.723	0.0	0.8198450854700855	0.8333333333333333	0.8055555555555556	0.8722741433021807	0.7656765676567657	0.7977207977207977	0.8498168498168498	0.6	0.0	0.62	0.0	0.7489915511593183	0.6082474226804123	0.7967914438502675	0.8194444444444444	0.7028301886792453	0.48360655737704916	0.9197530864197531	0.67	0.0	0.733	0.0	0.8971442357132589	0.9246861924686193	0.8217821782178218	0.8875502008032129	0.9120879120879121	0.9650655021834061	0.7477477477477478	0.657
all-MiniLM-L12-v2	1	0.523	0.0	0.514	0.0	0.4839983891682908	0.5162328950898847	0.47141600703605974	0.9600798403193613	0.3132060771328399	0.3530275229357798	0.95260663507109	0.392	0.0	0.418	0.0	0.5034651898734177	0.4430379746835443	0.5199999999999999	0.9545454545454546	0.35572139303482586	0.28846153846153844	0.9662162162162162	0.476	0.0	0.479	0.0	0.4956077280762232	0.49295774647887325	0.49650349650349646	0.9722222222222222	0.3333333333333333	0.330188679245283	0.9726027397260274	0.317	0.0	0.367	0.0	0.5158189827793351	0.368421052631579	0.5454545454545454	0.9210526315789473	0.38095238095238093	0.23026315789473684	0.96	0.53	0.0	0.531	0.0	0.5908910008603956	0.7343565525383706	0.43890274314214467	0.9688473520249221	0.29042904290429045	0.591254752851711	0.8979591836734694	0.398	0.0	0.367	0.0	0.47974418674116365	0.46594982078853053	0.4844290657439446	0.9027777777777778	0.330188679245283	0.3140096618357488	0.9090909090909091	0.425	0.0	0.493	0.0	0.7203914664457332	0.8661971830985915	0.32142857142857134	0.9879518072289156	0.1978021978021978	0.7711598746081505	0.8571428571428571	0.617
all-MiniLM-L12-v2_mask	1	0.672	0.0	0.679	0.0	0.804876688796352	0.6853146853146854	0.8515463917525773	0.782435129740519	0.8044409816906896	0.609642301710731	0.9045116075339465	0.64	0.0	0.633	0.0	0.8058928881474745	0.6007604562737643	0.8620236530880421	0.7181818181818181	0.8159203980099502	0.5163398692810458	0.9136490250696379	0.638	0.0	0.647	0.0	0.8044356686778379	0.6506024096385542	0.8564356435643563	0.75	0.812206572769953	0.574468085106383	0.9057591623036649	0.643	0.0	0.608	0.0	0.8092743432810702	0.5154639175257731	0.8683473389355743	0.6578947368421053	0.8201058201058201	0.423728813559322	0.9226190476190477	0.72	0.0	0.717	0.0	0.8237505482651114	0.8253968253968254	0.8220064724919095	0.8099688473520249	0.8382838283828383	0.8414239482200647	0.8063492063492064	0.581	0.0	0.596	0.0	0.7839839034205232	0.619047619047619	0.8400000000000001	0.7222222222222222	0.7924528301886793	0.5416666666666666	0.8936170212765957	0.669	0.0	0.733	0.0	0.8706057568982554	0.9004329004329004	0.7889908256880734	0.8353413654618473	0.945054945054945	0.9765258215962441	0.6771653543307087	0.617
multi-qa-distilbert-cos-v1	1	0.532	0.0	0.526	0.0	0.4643589355301978	0.5136698212407991	0.44511097780443915	0.9750499001996008	0.28905336969224776	0.34867951463240543	0.9674054758800521	0.409	0.0	0.427	0.0	0.4560340279342086	0.43058350100603615	0.4629981024667931	0.9727272727272728	0.3034825870646766	0.27648578811369506	0.976	0.484	0.0	0.484	0.0	0.48682370261317626	0.4895104895104895	0.48591549295774644	0.9722222222222222	0.323943661971831	0.32710280373831774	0.971830985915493	0.345	0.0	0.397	0.0	0.4219006989535415	0.35071090047393366	0.43621399176954734	0.9736842105263158	0.2804232804232804	0.2138728323699422	0.9814814814814815	0.559	0.0	0.565	0.0	0.5659885433321711	0.7285382830626449	0.3937823834196891	0.9781931464174455	0.2508250825082508	0.5804066543438078	0.9156626506024096	0.427	0.0	0.395	0.0	0.4308231767271329	0.45733788395904434	0.42181818181818187	0.9305555555555556	0.27358490566037735	0.3031674208144796	0.9206349206349206	0.485	0.0	0.567	0.0	0.7226258099306792	0.8681898066783831	0.3243243243243243	0.9919678714859438	0.1978021978021978	0.771875	0.9	0.621
multi-qa-distilbert-cos-v1_mask	1	0.67	0.0	0.68	0.0	0.8084575806699881	0.6862745098039216	0.8561503882304863	0.7684630738522954	0.8161277756135566	0.6199677938808373	0.9003008165019338	0.631	0.0	0.62	0.0	0.798264676548811	0.5955882352941176	0.8537234042553191	0.7363636363636363	0.7985074626865671	0.5	0.9171428571428571	0.626	0.0	0.639	0.0	0.8278008151692361	0.6909090909090909	0.874074074074074	0.7916666666666666	0.8309859154929577	0.6129032258064516	0.921875	0.633	0.0	0.591	0.0	0.766128996854994	0.4485981308411215	0.8299711815561959	0.631578947368421	0.7619047619047619	0.34782608695652173	0.9113924050632911	0.702	0.0	0.7	0.0	0.817345237351865	0.8201892744479495	0.8143322475570033	0.8099688473520249	0.8250825082508251	0.8306709265175719	0.8038585209003215	0.581	0.0	0.597	0.0	0.7746870991293111	0.608187134502924	0.8312342569269521	0.7222222222222222	0.7783018867924528	0.5252525252525253	0.8918918918918919	0.648	0.0	0.722	0.0	0.8676878373449289	0.898488120950324	0.7834101382488479	0.8353413654618473	0.9340659340659341	0.9719626168224299	0.6746031746031746	0.621
