dataID	context	indices_target_token	indices_target_sentence	lemma
31_(1 Corinthians 13:4)	Love is patient, love is kind and what our love express is true, no amount of tragedy can tear or break the love I have for you. Feel the presence of love wrapped up within a hug.	0:29	0:179	Love is patient, love is kind
32_(1 Corinthians 13:4)	Good morning Friends. Love is patient, love is kind... Not at first this morning. She found one little mistake I did to enter the garden... I was pretty mad at her for a few minutes..	22:51	0:183	Love is patient, love is kind
33_(1 Corinthians 13:4)	Gms Coach! Yep I apply it to anything I start too feel I'm holding on to to tight. Attachment is not love. As cliche as it is love is patient, love is kind and anything less than that is toxic.	126:155	0:193	Love is patient, love is kind
34_(1 Corinthians 13:4)	Do not take love for granted. Love is patient, love is kind, love is not self-serving, and love never fails. How do you love? Check your fruit. Be blessed and stay safe	30:59	0:168	Love is patient, love is kind
35_(1 Corinthians 13:4)	I hope my next man know his purpose & live through his purpose. Love is patient, love is kind	64:93	0:93	Love is patient, love is kind
36_(1 Corinthians 13:4)	Love is patient, love is kind, and happiness. But i might be one of the delusional ones who knows 🤣	0:29	0:99	Love is patient, love is kind
37_(1 Corinthians 13:4)	Love is patient, love is kind my boy . All forms #LGTBQ+	0:29	0:56	Love is patient, love is kind
38_(1 Corinthians 13:4)	Love is eternal, indestructible, and always worth fighting for. Love is patient, love is kind, and love endures forever. Father's rights are God-given.	64:93	0:151	Love is patient, love is kind
39_(1 Corinthians 13:4)	Love is patient, love is kind. Love always forgives, trusts, supports, and endures. Love never fails. When every star in the heavens grows cold, and when silence lies once more on the face of the deep, three things will endure: faith, hope, and love.	0:29	0:250	Love is patient, love is kind
40_(1 Corinthians 13:4)	Doing all this is everything the scripture says love is patient, love is kind, does not envy. Love is more than a kiss	48:77	0:118	Love is patient, love is kind
41_(1 Corinthians 13:4)	Beauty is in the eye of the beholder, but money can buy you a lot of beholders. Happiness is not everything, but money can buy a lot of happiness. Love is patient, love is kind, but money can buy you a lot of patience and kindness.	147:176	0:231	Love is patient, love is kind
42_(1 Corinthians 13:4)	Love is patient, love is kind. Love is deliberate. Love is hard. Love is pain and sacrifice. Above all, to me, its seeing the darkness in another person and defying the impulse to jump ship. My point is this, LOVE GENUINELY... LOVE BEYOND THE PHYSICAL. Real Life.	0:29	0:263	Love is patient, love is kind
43_(1 Corinthians 13:4)	So then Netflix doesn't love and value their customers??? Also Netflix Bible says "Love is patient, Love is kind..."	83:112	0:116	Love is patient, love is kind
44_(1 Corinthians 13:4)	Love is patient, love is kind and what our love express is true, no amount of tragedy can tear or break the love I have for you. Feel the presence of love wrapped up within a hug. 	0:29	0:180	Love is patient, love is kind
45_(1 Corinthians 13:4)	You are 100% responsible for it. Everyone is responsible for their love walk. The Lord holds you totally responsible for your emotional state, not the external influences in your life. Love is patient, love is kind. It does not envy, it does not boast	185:214	0:251	Love is patient, love is kind
46_(1 Corinthians 13:4)	Love is patient, love is kind. love is safe. love is no judgement. love is infinite.	0:29	0:84	Love is patient, love is kind
47_(1 Corinthians 13:4)	See love everywhere. There nothing that beats Love is patient, love is kind.	46:75	0:76	Love is patient, love is kind
48_(1 Corinthians 13:4)	LOVE IS NOT BLIND BECAUSE WE CAN SEE IT! The wicked world is wrong about the definition of LOVE, but the wise word is right! IT IS WRITTEN: Love is patient, love is kind. It does not envy, it does not boast, it is not proud... LOVE NEVER FAILS.	140:169	0:244	Love is patient, love is kind
49_(1 Corinthians 13:4)	In all seriousness, love is patient, love is kind but in all cynicalness i would like to spit in the face of everyone outside the lgbtq community	20:49	0:145	Love is patient, love is kind
50_(1 Corinthians 13:4)	love is patient, love is kind, love means slowly loosing ur mind	0:29	0:64	Love is patient, love is kind
51_(1 Corinthians 13:4)	Love is patient, love is kind; love does not envy or boast; it is not arrogant or rude. It does not insist on its own way; it is not irritable or resentful; it does not rejoice at wrongdoing, but rejoices with the truth. Does this sound like any #russians you know?	0:29	0:265	Love is patient, love is kind
52_(1 Corinthians 13:4)	love is patient, love is kind. so i whisper affirmations while rubbing on your spine	0:29	0:84	Love is patient, love is kind
53_(1 Corinthians 13:4)	love is kind and patient, does not seek applause, expects nothing in return, does not bend downward, love is like the wind, you cannot see it, but you feel it 	0:24	0:159	Love is patient, love is kind
54_(1 Corinthians 13:4)	Of course, love is patient, love is kind but also temperamental. Even mutual love is seasonal. Love has its moments, moments that can make us question it. I'm still learning that love is not an assumption, it's a practice	11:40	0:221	Love is patient, love is kind
55_(1 Corinthians 13:4)	Love is patient, love is kind, love is love - you understand that and they don't. May you find a community who sees living the Gospel as you do.	0:29	0:144	Love is patient, love is kind
56_(1 Corinthians 13:4)	What I use to think was love was not not love at all. It was a childhood trauma that looked normal so I accepted it from you... and others. Love is patient, love is kind. Love is restless.	140:169	0:188	Love is patient, love is kind
57_(1 Corinthians 13:4)	 Love is what the trite wedding readings say: love is patient, love is kind.	46:75	0:76	Love is patient, love is kind
58_(1 Corinthians 13:4)	love is PATIENT, love is kind. i am love	0:29	0:40	Love is patient, love is kind
59_(1 Corinthians 13:4)	Never being in love in the first place or not knowing what love is. Love is patient, love is kind; 	68:97	0:99	Love is patient, love is kind
60_(1 Corinthians 13:4)	Happy #MothersDay to all mothers 🥰 !!! May all the love you give to others come back to you. #LOVE is patient, love is kind. It does not envy, it does not boast, it is not proud.	94:123	0:178	Love is patient, love is kind
